Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1591948800000,1.15400000,1.27900000,1.12200000,1.19100000,201725.51700000,1591963199999,242547.15546000,830,78976.69000000,95129.81811300,0
1591963200000,1.18800000,1.34500000,1.16200000,1.24700000,619092.90400000,1591977599999,781129.70131800,2934,293678.30000000,370061.38791900,0
1591977600000,1.24500000,1.30500000,1.22200000,1.27900000,636154.88100000,1591991999999,807488.73692900,2404,314613.88000000,399202.98718100,0
1591992000000,1.27600000,1.29800000,1.25300000,1.27900000,327227.14100000,1592006399999,417183.39663400,1174,165266.59300000,211287.55112500,0
1592006400000,1.28200000,1.29600000,1.22800000,1.25000000,525942.27900000,1592020799999,662920.92751400,1320,271758.63700000,343263.13478200,0
1592020800000,1.24900000,1.26000000,1.21100000,1.25400000,162254.49200000,1592035199999,199891.26984400,908,85028.65300000,104604.04033600,0
1592035200000,1.25400000,1.26100000,1.21700000,1.23400000,108416.67100000,1592049599999,134819.93299100,696,65077.79500000,80942.70929100,0
1592049600000,1.23500000,1.23600000,1.17100000,1.21400000,290544.33300000,1592063999999,350111.83746800,1422,150243.58400000,180894.23522600,0
1592064000000,1.21500000,1.21700000,1.17800000,1.18300000,208872.25900000,1592078399999,248222.04621600,780,120298.80600000,142792.55741800,0
1592078400000,1.18300000,1.22100000,1.18000000,1.20300000,143746.93500000,1592092799999,172403.49515100,776,65555.11100000,78682.54837200,0
1592092800000,1.20400000,1.20700000,1.16200000,1.16300000,174060.65800000,1592107199999,205558.88255300,571,16239.14100000,19287.76724700,0
1592107200000,1.16500000,1.17600000,1.12100000,1.17200000,244660.64500000,1592121599999,283180.61404000,1088,109241.05600000,126586.60193600,0
1592121600000,1.17300000,1.17300000,1.12900000,1.16000000,125844.57700000,1592135999999,144429.04774000,617,68936.18900000,79093.30750500,0
1592136000000,1.16000000,1.24900000,1.15600000,1.19300000,438327.26000000,1592150399999,527825.36952900,2286,225395.83700000,271327.62119000,0
1592150400000,1.19300000,1.23800000,1.19200000,1.22600000,221456.15600000,1592164799999,268369.36182000,1115,124280.15600000,150479.24404400,0
1592164800000,1.22600000,1.23800000,1.16700000,1.17100000,334947.01800000,1592179199999,400923.10065800,1357,154707.07100000,185462.31436500,0
1592179200000,1.17100000,1.21800000,1.10000000,1.13300000,341682.59700000,1592193599999,397438.68540200,1281,141823.75700000,165116.83042100,0
1592193600000,1.12900000,1.15800000,1.05100000,1.14300000,480315.22200000,1592207999999,535097.61498300,1720,250143.17800000,279728.34556700,0
1592208000000,1.14100000,1.15000000,1.08600000,1.12000000,240840.67300000,1592222399999,270020.89516100,688,70695.61400000,79348.72075100,0
1592222400000,1.11700000,1.21200000,1.10000000,1.18700000,375341.55600000,1592236799999,432788.24915800,1228,158348.46700000,183091.72048000,0
1592236800000,1.18600000,1.20600000,1.15500000,1.18100000,278602.98400000,1592251199999,328680.92606300,909,124507.85900000,147486.96527400,0
1592251200000,1.18200000,1.18500000,1.15100000,1.16500000,124007.47400000,1592265599999,144542.40286000,393,50420.23800000,58902.03823700,0
1592265600000,1.16500000,1.20200000,1.14100000,1.20100000,221493.84600000,1592279999999,258495.03657200,580,105026.97100000,122956.46111000,0
1592280000000,1.20500000,1.23000000,1.18300000,1.19200000,451445.98300000,1592294399999,543963.44117000,1147,173304.95700000,209212.52017300,0
1592294400000,1.19100000,1.21100000,1.18000000,1.19800000,151751.39400000,1592308799999,180889.09660700,454,66097.07400000,78927.45055000,0
1592308800000,1.19800000,1.26700000,1.19000000,1.23300000,434297.46800000,1592323199999,534107.36743900,1322,204741.93700000,252145.33582000,0
1592323200000,1.23600000,1.24400000,1.21900000,1.24000000,110141.44700000,1592337599999,135606.69574200,381,52825.72500000,65066.23620500,0
1592337600000,1.24300000,1.25800000,1.20700000,1.25600000,165436.53300000,1592351999999,203033.31426400,552,92034.84300000,113050.78091800,0
1592352000000,1.25500000,1.25600000,1.19200000,1.19800000,169131.68500000,1592366399999,207265.65176200,583,51200.45500000,63062.67365900,0
1592366400000,1.19800000,1.21900000,1.17600000,1.21700000,194024.27800000,1592380799999,231501.57318200,512,81912.63800000,98000.36580000,0
1592380800000,1.21900000,1.22300000,1.19900000,1.21100000,130542.72500000,1592395199999,158084.07335700,309,83929.52000000,101609.88335700,0
1592395200000,1.20100000,1.21500000,1.17200000,1.18300000,164197.07500000,1592409599999,195110.78297000,507,61253.63500000,72979.86623600,0
1592409600000,1.18300000,1.19200000,1.17500000,1.17700000,79436.58800000,1592423999999,93746.85506800,352,26081.38600000,30855.10787400,0
1592424000000,1.17600000,1.19800000,1.16200000,1.19500000,85868.59100000,1592438399999,101618.87248100,270,41827.13000000,49661.55752600,0
1592438400000,1.19300000,1.19400000,1.16400000,1.18100000,176553.36300000,1592452799999,207645.54162400,522,66735.69000000,78423.59076700,0
1592452800000,1.18500000,1.18500000,1.16300000,1.16700000,54151.16700000,1592467199999,63355.60883600,216,21477.47600000,25154.00034400,0
1592467200000,1.17000000,1.17300000,1.16000000,1.16000000,51473.12300000,1592481599999,59980.19645200,198,23853.00800000,27795.09660500,0
1592481600000,1.16100000,1.19700000,1.15000000,1.18000000,159992.09800000,1592495999999,186733.73829800,622,59409.89200000,69619.91162100,0
1592496000000,1.18000000,1.18000000,1.15100000,1.17300000,115040.02900000,1592510399999,133893.62726500,393,45269.14500000,52829.07604500,0
1592510400000,1.17100000,1.17500000,1.14000000,1.15100000,132727.21800000,1592524799999,153140.42274500,458,56811.83700000,65711.66712800,0
1592524800000,1.15100000,1.17500000,1.14200000,1.15400000,77162.97600000,1592539199999,89541.17227600,276,40861.44300000,47372.39124600,0
