Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1551326400000,0.26500000,0.27700000,0.24910000,0.25190000,574034.04000000,1551340799999,145896.69765700,852,282591.66000000,71821.85703500,0
1551340800000,0.25220000,0.25220000,0.24310000,0.24810000,500895.29000000,1551355199999,124236.35205800,628,295337.70000000,73369.19521400,0
1551355200000,0.24810000,0.25690000,0.24600000,0.24920000,168278.84000000,1551369599999,42153.80580100,376,71498.15000000,17944.63747900,0
1551369600000,0.24890000,0.25220000,0.24650000,0.24670000,146326.47000000,1551383999999,36240.47777600,267,74071.56000000,18362.69583900,0
1551384000000,0.24680000,0.24940000,0.24670000,0.24770000,102407.50000000,1551398399999,25355.33151600,362,40866.01000000,10136.39937300,0
1551398400000,0.24780000,0.25090000,0.24550000,0.24840000,119653.00000000,1551412799999,29608.30721800,303,17979.36000000,4456.27847400,0
1551412800000,0.24750000,0.24780000,0.24510000,0.24780000,63884.94000000,1551427199999,15726.56749100,218,16588.63000000,4084.09899900,0
1551427200000,0.24720000,0.24860000,0.24500000,0.24660000,151914.56000000,1551441599999,37501.53957900,369,23550.69000000,5824.99142000,0
1551441600000,0.24660000,0.24810000,0.24500000,0.24560000,94242.31000000,1551455999999,23177.23426200,240,21367.80000000,5267.13167100,0
1551456000000,0.24530000,0.25000000,0.24530000,0.24710000,132036.29000000,1551470399999,32772.40610800,274,28495.71000000,7090.58539600,0
1551470400000,0.24710000,0.24980000,0.24620000,0.24830000,27510.47000000,1551484799999,6817.23743500,107,12067.18000000,2999.96712400,0
1551484800000,0.24770000,0.25880000,0.24710000,0.25230000,244345.31000000,1551499199999,61513.23759200,595,129949.38000000,32732.98658600,0
1551499200000,0.25140000,0.25160000,0.24550000,0.24550000,153741.97000000,1551513599999,38203.20910100,400,47514.78000000,11831.04023100,0
1551513600000,0.24550000,0.24580000,0.24100000,0.24400000,220767.06000000,1551527999999,53627.87018900,556,80639.73000000,19582.78954400,0
1551528000000,0.24490000,0.24670000,0.24260000,0.24320000,150188.12000000,1551542399999,36726.32749400,389,92019.21000000,22509.07207300,0
1551542400000,0.24320000,0.24410000,0.24120000,0.24210000,97968.89000000,1551556799999,23714.05069200,275,38794.47000000,9395.33793600,0
1551556800000,0.24210000,0.24360000,0.24030000,0.24320000,34085.28000000,1551571199999,8226.67750700,94,16000.35000000,3869.82656100,0
1551571200000,0.24320000,0.24360000,0.24170000,0.24320000,15531.98000000,1551585599999,3769.07836600,74,5246.17000000,1277.37660400,0
1551585600000,0.24470000,0.24470000,0.24210000,0.24430000,40022.28000000,1551599999999,9728.54252700,107,17468.84000000,4248.80986600,0
1551600000000,0.24430000,0.24450000,0.24200000,0.24200000,60456.31000000,1551614399999,14675.81444200,246,21572.36000000,5245.24230400,0
1551614400000,0.24190000,0.24340000,0.23860000,0.23970000,162356.26000000,1551628799999,39060.92405000,351,63109.00000000,15223.81457700,0
1551628800000,0.23980000,0.24440000,0.23720000,0.24130000,317383.87000000,1551643199999,76561.97218800,428,221859.05000000,53592.41245900,0
