2022-09-07 20:55:28.110 | DEBUG    | LVR.calcLVR:getTopMarketForEachCoin:82 - No markets were found for GTS. The following potential causes were detected: . API: https://http-api.livecoinwatch.com/markets?currency=USD&limit=30&search=&offset=0&sort=depth&order=descending&coin=GTS
2022-09-07 21:24:40.910 | DEBUG    | LVR.calcLVR:getTopMarketForEachCoin:82 - No markets were found for GTS. The following potential causes were detected: . API: https://http-api.livecoinwatch.com/markets?currency=USD&limit=30&search=&offset=0&sort=depth&order=descending&coin=GTS
2022-09-07 21:31:27.729 | DEBUG    | LVR.calcLVR:getTopMarketForEachCoin:82 - No markets were found for GTS. The following potential causes were detected: . API: https://http-api.livecoinwatch.com/markets?currency=USD&limit=30&search=&offset=0&sort=depth&order=descending&coin=GTS
2022-09-07 21:41:15.825 | DEBUG    | debtLimit.calcDebtLimits:getTopMarketForEachCoin:116 - No markets were found for GTS. The following potential causes were detected: . API: https://api.coinmarketcap.com/data-api/v3/cryptocurrency/market-pairs/latest?slug=gt-star-token&start=1&limit=100&category=spot&sort=cmc_rank_advanced
2022-09-07 21:47:40.794 | DEBUG    | LVR.calcLVR:getTopMarketForEachCoin:82 - No markets were found for GTC. The following potential causes were detected: a market is missing bid total | a market is missing bid total | a market is missing bid total. API: https://http-api.livecoinwatch.com/markets?currency=USD&limit=30&search=&offset=0&sort=depth&order=descending&coin=GTC
2022-09-07 21:55:37.534 | DEBUG    | debtLimit.calcDebtLimits:getTopMarketForEachCoin:116 - No markets were found for GTC. The following potential causes were detected: . API: https://api.coinmarketcap.com/data-api/v3/cryptocurrency/market-pairs/latest?slug=gastrocoin&start=1&limit=100&category=spot&sort=cmc_rank_advanced
2022-09-08 00:00:28.249 | DEBUG    | LVR.calcLVR:getTopMarketForEachCoin:82 - No markets were found for GTC. The following potential causes were detected: a market is missing bid total | a market is missing bid total. API: https://http-api.livecoinwatch.com/markets?currency=USD&limit=30&search=&offset=0&sort=depth&order=descending&coin=GTC
2022-09-08 00:12:45.953 | DEBUG    | debtLimit.calcDebtLimits:getTopMarketForEachCoin:116 - No markets were found for GTC. The following potential causes were detected: . API: https://api.coinmarketcap.com/data-api/v3/cryptocurrency/market-pairs/latest?slug=gastrocoin&start=1&limit=100&category=spot&sort=cmc_rank_advanced
2022-09-08 08:00:20.732 | DEBUG    | LVR.calcLVR:getTopMarketForEachCoin:82 - No markets were found for GTC. The following potential causes were detected: a market is missing bid total | a market is missing bid total. API: https://http-api.livecoinwatch.com/markets?currency=USD&limit=30&search=&offset=0&sort=depth&order=descending&coin=GTC
2022-09-08 08:12:17.042 | DEBUG    | debtLimit.calcDebtLimits:getTopMarketForEachCoin:116 - No markets were found for GTC. The following potential causes were detected: . API: https://api.coinmarketcap.com/data-api/v3/cryptocurrency/market-pairs/latest?slug=gastrocoin&start=1&limit=100&category=spot&sort=cmc_rank_advanced
2022-09-08 14:17:22.665 | DEBUG    | LVR.calcLVR:getTopMarketForEachCoin:82 - No markets were found for GTC. The following potential causes were detected: a market is missing bid total | a market is missing bid total | a market is missing bid total | a market is missing bid total. API: https://http-api.livecoinwatch.com/markets?currency=USD&limit=30&search=&offset=0&sort=depth&order=descending&coin=GTC
2022-09-08 14:19:51.036 | DEBUG    | debtLimit.calcDebtLimits:getTopMarketForEachCoin:116 - No markets were found for GTC. The following potential causes were detected: . API: https://api.coinmarketcap.com/data-api/v3/cryptocurrency/market-pairs/latest?slug=gastrocoin&start=1&limit=100&category=spot&sort=cmc_rank_advanced
