unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,3116802.25,11609419.35
1657807946.3195548,07/15/2022--00:12:26,910099.3,2905658.15
1657865324.281464,07/15/2022--16:08:44,1777432.45,9838819.35
1657894118.107123,07/16/2022--00:08:38,1321434.15,7851024.75
1658812815.1912007,07/26/2022--15:20:15,1000477.8,4736155.5
1658815736.5710416,07/26/2022--16:08:56,1046849.35,4780030.95
1658844889.9973571,07/27/2022--00:14:49,1361136.05,6715998.35
1658848005.9232907,07/27/2022--01:06:45,982159.5,4732018.1
1658876959.8061535,07/27/2022--09:09:19,2063137.1,10585930.15
1658906431.1616275,07/27/2022--17:20:31,1502899.25,7549814.7
1658964011.7123463,07/28/2022--09:20:11,724243.85,4129369.5
1658991790.2457771,07/28/2022--17:03:10,1474274.6,7945903.25
1659049859.7900746,07/29/2022--09:10:59,1107870.05,7869200.8
1659079050.0223944,07/29/2022--17:17:30,850345.2,5371932.85
1659135989.7470224,07/30/2022--09:06:29,1191999.95,5173366.0
1659164560.1930625,07/30/2022--17:02:40,959151.3,4428244.25
1659193295.8534577,07/31/2022--01:01:35,1006645.0,4514052.5
1659223175.87765,07/31/2022--09:19:35,2093219.1,9076331.25
1659394922.9589896,08/02/2022--09:02:02,1150373.95,5575351.75
1659423710.70845,08/02/2022--17:01:50,1163492.5,5649254.1
1659452479.933005,08/03/2022--01:01:19,1259206.55,6100361.95
1659481254.5834172,08/03/2022--09:00:54,1289413.85,7217100.3
1659510483.5113194,08/03/2022--17:08:03,1574865.5,8315256.1
1659539025.8442419,08/04/2022--01:03:45,1185816.25,6894911.55
1659567977.65322,08/04/2022--09:06:17,1546024.55,8613033.85
1659596737.4315803,08/04/2022--17:05:37,1607607.15,11305170.75
1659625544.4629736,08/05/2022--01:05:44,1200536.75,9491339.9
1659654487.963708,08/05/2022--09:08:07,1205407.75,9578830.25
1659683098.9748487,08/05/2022--17:04:58,1203413.1,10402990.6
1659798058.491692,08/07/2022--01:00:58,979118.45,8791430.0
1659826821.1099102,08/07/2022--09:00:21,1478073.4,10453173.1
1659886109.5671794,08/08/2022--01:28:29,1412589.9,11727018.0
1659915489.3146017,08/08/2022--09:38:09,1171371.85,8047124.65
1659942684.7980738,08/08/2022--17:11:24,1368255.3,9578734.05
1659971568.7314563,08/09/2022--01:12:48,1133616.0,8494088.9
1660030295.9264836,08/09/2022--17:31:35,1183311.4,9907963.85
1660172904.0226371,08/11/2022--09:08:24,1044738.65,7353068.6
1660202153.9173074,08/11/2022--17:15:53,1238408.4,9765723.05
1660260089.9444501,08/12/2022--09:21:29,1343627.1,9931843.55
1660288029.6810946,08/12/2022--17:07:09,905591.3,6790177.7
1660316972.8768725,08/13/2022--01:09:32,1062488.9,5887908.6
1660347292.7260678,08/13/2022--09:34:52,843693.0,7073941.7
1660374586.0104291,08/13/2022--17:09:46,950344.15,7039961.9
1660434289.4885554,08/14/2022--09:44:49,954379.45,7038222.8
1660462690.270382,08/14/2022--17:38:10,1036016.3,8001213.7
1660490144.9181502,08/15/2022--01:15:44,795969.95,6269185.45
1660520035.3389182,08/15/2022--09:33:55,1400722.75,10655546.3
1660548110.1855645,08/15/2022--17:21:50,1293881.5,9046826.0
1660633733.4457946,08/16/2022--17:08:53,992293.6,7316945.25
1660662258.480969,08/17/2022--01:04:18,901501.7,6354817.95
1660692425.9171295,08/17/2022--09:27:05,781045.25,5977053.7
1660720046.0474148,08/17/2022--17:07:26,746838.0,4383952.95
1660748548.0576525,08/18/2022--01:02:28,1091672.0,8235430.75
1660778179.3441532,08/18/2022--09:16:19,749030.5,6519358.4
1660807681.1939256,08/18/2022--17:28:01,757380.45,6493446.3
1660835293.140338,08/19/2022--01:08:13,1079881.85,8164769.45
1660864583.2861524,08/19/2022--09:16:23,790553.25,7035784.0
1660892982.9673333,08/19/2022--17:09:42,867212.85,8252245.0
1660921520.297617,08/20/2022--01:05:20,919329.7,6067678.65
1660950648.5543876,08/20/2022--09:10:48,728223.1,6372160.95
1660979282.6113882,08/20/2022--17:08:02,956455.55,8187481.05
1661036095.206883,08/21/2022--08:54:55,883543.2,8275363.85
1661064380.1041234,08/21/2022--16:46:20,655348.15,6464241.9
1661123013.330709,08/22/2022--09:03:33,687767.7,6356177.8
1661208404.7366545,08/23/2022--08:46:44,716299.9,6317615.0
1661237565.4076488,08/23/2022--16:52:45,609627.15,5599943.3
1661266871.3852978,08/24/2022--01:01:11,1156134.75,9952834.4
1661296200.2926245,08/24/2022--09:10:00,827116.55,7070945.55
1661352340.4753387,08/25/2022--00:45:40,740915.8,7724587.05
1661381476.9667122,08/25/2022--08:51:16,735820.85,7763825.2
1661468398.2601244,08/26/2022--08:59:58,717457.25,6518621.65
1661526117.894191,08/27/2022--01:01:57,491761.7,6941006.05
1661554881.5495105,08/27/2022--09:01:21,831136.4,6446937.6
1661727756.8158545,08/29/2022--09:02:36,872030.15,7056316.15
1661756562.5978346,08/29/2022--17:02:42,938902.75,5652902.85
1661785309.2744918,08/30/2022--01:01:49,1135024.85,6276646.05
1661814174.102714,08/30/2022--09:02:54,960013.65,6228423.55
1661842454.955498,08/30/2022--16:54:14,909721.45,6064953.85
1661900684.184366,08/31/2022--09:04:44,898475.15,5630292.8
1661958420.0029917,09/01/2022--01:07:00,685296.65,6494666.45
1662015716.7539146,09/01/2022--17:01:56,764605.85,5859121.6
1662076772.6337636,09/02/2022--09:59:32,746200.6,6716276.25
