unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,4386756.05,3100280.55
1657807946.3195548,07/15/2022--00:12:26,1664468.3,1626998.85
1657865324.281464,07/15/2022--16:08:44,2177814.3,2721306.8
1657894118.107123,07/16/2022--00:08:38,1970789.55,2164310.25
1658812815.1912007,07/26/2022--15:20:15,2321370.35,1413337.25
1658815736.5710416,07/26/2022--16:08:56,2281990.25,1360377.7
1658844889.9973571,07/27/2022--00:14:49,4370269.05,2480813.0
1658848005.9232907,07/27/2022--01:06:45,5416583.8,3101230.3
1658876959.8061535,07/27/2022--09:09:19,722572.75,1282283.85
1658906431.1616275,07/27/2022--17:20:31,3066188.05,2369495.9
1658964011.7123463,07/28/2022--09:20:11,2800806.45,2998272.2
1658991790.2457771,07/28/2022--17:03:10,526828.35,1740386.15
1659049859.7900746,07/29/2022--09:10:59,1439920.3,4217327.3
1659079050.0223944,07/29/2022--17:17:30,564396.9,1712703.4
1659135989.7470224,07/30/2022--09:06:29,439047.1,1010787.85
1659164560.1930625,07/30/2022--17:02:40,1270271.6,2707758.65
1659193295.8534577,07/31/2022--01:01:35,1361418.45,3061949.65
1659223175.87765,07/31/2022--09:19:35,1100852.05,1691289.9
1659394922.9589896,08/02/2022--09:02:02,480923.35,2349069.6
1659423710.70845,08/02/2022--17:01:50,2494534.7,2148254.0
1659452479.933005,08/03/2022--01:01:19,2484469.65,1889476.9
1659481254.5834172,08/03/2022--09:00:54,747853.8,2630512.85
1659510483.5113194,08/03/2022--17:08:03,4236531.75,3573474.7
1659539025.8442419,08/04/2022--01:03:45,3141443.0,2799582.85
1659567977.65322,08/04/2022--09:06:17,3137958.1,2386479.9
1659596737.4315803,08/04/2022--17:05:37,4118876.6,8572927.35
1659625544.4629736,08/05/2022--01:05:44,2653590.15,5842763.1
1659654487.963708,08/05/2022--09:08:07,5411306.25,12824617.7
1659683098.9748487,08/05/2022--17:04:58,669871.25,2359225.35
1659798058.491692,08/07/2022--01:00:58,1936160.3,7063616.75
1659826821.1099102,08/07/2022--09:00:21,2163221.1,5548270.85
1659886109.5671794,08/08/2022--01:28:29,2193783.4,6407694.9
1659915489.3146017,08/08/2022--09:38:09,2082734.2,5634746.6
1659942684.7980738,08/08/2022--17:11:24,2421246.65,5994725.05
1659971568.7314563,08/09/2022--01:12:48,3385956.6,8470833.1
1660030295.9264836,08/09/2022--17:31:35,2586023.1,8080803.8
1660172904.0226371,08/11/2022--09:08:24,2927035.95,11756344.0
1660202153.9173074,08/11/2022--17:15:53,714044.5,2431668.15
1660260089.9444501,08/12/2022--09:21:29,777396.35,2955730.6
1660288029.6810946,08/12/2022--17:07:09,1510669.7,4641305.25
1660316972.8768725,08/13/2022--01:09:32,656822.9,1560171.95
1660347292.7260678,08/13/2022--09:34:52,2322857.3,6840841.5
1660374586.0104291,08/13/2022--17:09:46,1329370.1,4262723.75
1660434289.4885554,08/14/2022--09:44:49,2737609.45,8799352.7
1660462690.270382,08/14/2022--17:38:10,789647.55,950403.4
1660490144.9181502,08/15/2022--01:15:44,920945.25,1235017.65
1660520035.3389182,08/15/2022--09:33:55,640398.85,857440.45
1660548110.1855645,08/15/2022--17:21:50,2491030.0,8505574.2
1660633733.4457946,08/16/2022--17:08:53,2523610.1,8312544.65
1660662258.480969,08/17/2022--01:04:18,581232.6,898236.6
1660692425.9171295,08/17/2022--09:27:05,2798485.85,9615877.95
1660720046.0474148,08/17/2022--17:07:26,2395049.7,8035951.1
1660748548.0576525,08/18/2022--01:02:28,2483027.85,7577995.65
1660778179.3441532,08/18/2022--09:16:19,2087814.5,5842093.4
1660807681.1939256,08/18/2022--17:28:01,2904214.6,8072252.25
1660835293.140338,08/19/2022--01:08:13,152206.25,27648.75
1660864583.2861524,08/19/2022--09:16:23,554656.85,2434156.8
1660892982.9673333,08/19/2022--17:09:42,1039810.05,5016766.2
1660921520.297617,08/20/2022--01:05:20,1047612.1,5047564.9
1660950648.5543876,08/20/2022--09:10:48,1601301.75,6429844.0
1660979282.6113882,08/20/2022--17:08:02,1150308.5,8125055.3
1661036095.206883,08/21/2022--08:54:55,1252344.4,6803783.9
1661064380.1041234,08/21/2022--16:46:20,512472.6,1715890.3
1661123013.330709,08/22/2022--09:03:33,1645742.5,8907032.15
1661208404.7366545,08/23/2022--08:46:44,852337.45,12521697.7
1661237565.4076488,08/23/2022--16:52:45,465751.1,1627387.6
1661266871.3852978,08/24/2022--01:01:11,666739.55,8665831.05
1661296200.2926245,08/24/2022--09:10:00,805266.85,11465128.3
1661352340.4753387,08/25/2022--00:45:40,1356925.2,17762202.15
1661381476.9667122,08/25/2022--08:51:16,666107.8,1437299.0
1661468398.2601244,08/26/2022--08:59:58,768485.9,15129546.35
1661526117.894191,08/27/2022--01:01:57,1014173.1,912256.4
1661554881.5495105,08/27/2022--09:01:21,720968.95,17975415.85
1661727756.8158545,08/29/2022--09:02:36,739255.3,813740.7
1661756562.5978346,08/29/2022--17:02:42,617909.15,14761278.4
1661785309.2744918,08/30/2022--01:01:49,877789.0,15908592.75
1661814174.102714,08/30/2022--09:02:54,711364.5,19460010.0
1661842454.955498,08/30/2022--16:54:14,681869.2,1417347.45
1661900684.184366,08/31/2022--09:04:44,503417.75,12671814.75
1661958420.0029917,09/01/2022--01:07:00,582992.85,16665948.9
1662015716.7539146,09/01/2022--17:01:56,622738.5,17682290.2
1662076772.6337636,09/02/2022--09:59:32,555579.45,12043646.2
