unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,801900.7,4357798.3
1657807946.3195548,07/15/2022--00:12:26,728451.05,4446605.55
1657865324.281464,07/15/2022--16:08:44,871353.05,4454132.7
1657894118.107123,07/16/2022--00:08:38,1120020.65,5252793.45
1658812815.1912007,07/26/2022--15:20:15,934472.15,3280679.9
1658815736.5710416,07/26/2022--16:08:56,903280.05,3023802.65
1658844889.9973571,07/27/2022--00:14:49,894370.95,3616871.25
1658848005.9232907,07/27/2022--01:06:45,863845.25,3300992.2
1658876959.8061535,07/27/2022--09:09:19,844417.0,2949900.45
1658906431.1616275,07/27/2022--17:20:31,1036374.85,3632815.4
1658964011.7123463,07/28/2022--09:20:11,939326.45,4144475.75
1658991790.2457771,07/28/2022--17:03:10,1033992.65,4065020.0
1659049859.7900746,07/29/2022--09:10:59,1121049.0,6457635.45
1659079050.0223944,07/29/2022--17:17:30,1245341.4,7509899.55
1659135989.7470224,07/30/2022--09:06:29,934277.45,4717491.65
1659164560.1930625,07/30/2022--17:02:40,1098651.55,6290928.2
1659193295.8534577,07/31/2022--01:01:35,1057841.3,3883985.1
1659223175.87765,07/31/2022--09:19:35,1201327.05,4259433.45
1659394922.9589896,08/02/2022--09:02:02,1245476.95,6802547.5
1659423710.70845,08/02/2022--17:01:50,1418118.15,4145934.5
1659452479.933005,08/03/2022--01:01:19,1207456.6,5978823.8
1659481254.5834172,08/03/2022--09:00:54,1217500.45,5668888.9
1659510483.5113194,08/03/2022--17:08:03,1062115.85,4510334.7
1659539025.8442419,08/04/2022--01:03:45,2426722.85,5394424.05
1659567977.65322,08/04/2022--09:06:17,1231658.45,4597738.3
1659596737.4315803,08/04/2022--17:05:37,858984.0,4455005.05
1659625544.4629736,08/05/2022--01:05:44,1867238.9,7299122.5
1659654487.963708,08/05/2022--09:08:07,1181249.45,5953975.2
1659683098.9748487,08/05/2022--17:04:58,1319463.0,3808810.3
1659798058.491692,08/07/2022--01:00:58,1618445.85,5340005.5
1659826821.1099102,08/07/2022--09:00:21,1431369.45,5815067.65
1659886109.5671794,08/08/2022--01:28:29,1303381.85,3853104.55
1659915489.3146017,08/08/2022--09:38:09,1717164.9,5439720.3
1659942684.7980738,08/08/2022--17:11:24,1225949.4,4239540.1
1659971568.7314563,08/09/2022--01:12:48,1309896.3,4550869.8
1660030295.9264836,08/09/2022--17:31:35,1661723.8,6736209.25
1660172904.0226371,08/11/2022--09:08:24,1539195.5,6970019.45
1660202153.9173074,08/11/2022--17:15:53,1779553.7,7309799.65
1660260089.9444501,08/12/2022--09:21:29,1726783.7,8434006.4
1660288029.6810946,08/12/2022--17:07:09,3157197.9,7681447.3
1660316972.8768725,08/13/2022--01:09:32,4169740.8,10555499.55
1660347292.7260678,08/13/2022--09:34:52,4585381.55,9172426.55
1660374586.0104291,08/13/2022--17:09:46,5082072.2,8774894.95
1660434289.4885554,08/14/2022--09:44:49,4043928.4,9663175.95
1660462690.270382,08/14/2022--17:38:10,2820276.65,9957026.4
1660490144.9181502,08/15/2022--01:15:44,6451068.75,9650652.05
1660520035.3389182,08/15/2022--09:33:55,3408665.45,12139914.35
1660548110.1855645,08/15/2022--17:21:50,2808870.35,10633967.95
1660633733.4457946,08/16/2022--17:08:53,4663429.4,13713958.7
1660662258.480969,08/17/2022--01:04:18,3430336.4,9526640.5
1660692425.9171295,08/17/2022--09:27:05,6498525.95,13827653.6
1660720046.0474148,08/17/2022--17:07:26,4924051.8,11599788.6
1660748548.0576525,08/18/2022--01:02:28,2445492.75,7054756.85
1660778179.3441532,08/18/2022--09:16:19,2332884.1,8257222.25
1660807681.1939256,08/18/2022--17:28:01,2870319.05,7212456.6
1660835293.140338,08/19/2022--01:08:13,4926920.25,12700244.25
1660864583.2861524,08/19/2022--09:16:23,3796794.7,10213313.6
1660892982.9673333,08/19/2022--17:09:42,2122597.05,8560931.05
1660921520.297617,08/20/2022--01:05:20,3154372.85,9383934.0
1660950648.5543876,08/20/2022--09:10:48,6157274.2,19820539.9
1660979282.6113882,08/20/2022--17:08:02,2602738.2,9148648.7
1661036095.206883,08/21/2022--08:54:55,3111132.5,11194570.75
1661064380.1041234,08/21/2022--16:46:20,3500026.2,13128826.1
1661123013.330709,08/22/2022--09:03:33,1917808.3,7661982.4
1661208404.7366545,08/23/2022--08:46:44,2911715.85,11378571.75
1661237565.4076488,08/23/2022--16:52:45,3268085.4,10187450.95
1661266871.3852978,08/24/2022--01:01:11,3817830.2,13123990.75
1661296200.2926245,08/24/2022--09:10:00,2559060.45,8927444.4
1661352340.4753387,08/25/2022--00:45:40,3350757.0,10958869.6
1661381476.9667122,08/25/2022--08:51:16,3275816.25,13363675.85
1661468398.2601244,08/26/2022--08:59:58,2924265.25,14541339.8
1661526117.894191,08/27/2022--01:01:57,4194031.35,21361711.0
1661554881.5495105,08/27/2022--09:01:21,2986808.5,12117457.55
1661727756.8158545,08/29/2022--09:02:36,2537158.1,11657903.85
1661756562.5978346,08/29/2022--17:02:42,2911267.85,11231496.6
1661785309.2744918,08/30/2022--01:01:49,2898671.2,12376691.95
1661814174.102714,08/30/2022--09:02:54,2232470.15,10836884.25
1661842454.955498,08/30/2022--16:54:14,2407738.45,10319207.15
1661900684.184366,08/31/2022--09:04:44,1971307.25,7351922.9
1661958420.0029917,09/01/2022--01:07:00,2225864.45,8153365.1
1662015716.7539146,09/01/2022--17:01:56,2881908.2,11059050.1
1662076772.6337636,09/02/2022--09:59:32,2594965.0,12010569.9
