unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,1665032.65,8801415.55
1657807946.3195548,07/15/2022--00:12:26,1560448.8,7908896.4
1657865324.281464,07/15/2022--16:08:44,1716381.05,11593544.05
1657894118.107123,07/16/2022--00:08:38,1415186.45,10128274.4
1658812815.1912007,07/26/2022--15:20:15,3676264.5,24234043.05
1658815736.5710416,07/26/2022--16:08:56,3461895.5,19640647.25
1658844889.9973571,07/27/2022--00:14:49,2154557.35,14499938.3
1658848005.9232907,07/27/2022--01:06:45,2820689.45,19288371.3
1658876959.8061535,07/27/2022--09:09:19,3616702.55,20954999.85
1658906431.1616275,07/27/2022--17:20:31,4173349.8,23764042.9
1658964011.7123463,07/28/2022--09:20:11,3263248.9,25691569.45
1658991790.2457771,07/28/2022--17:03:10,2642356.35,21697650.5
1659049859.7900746,07/29/2022--09:10:59,4805475.95,38792645.3
1659079050.0223944,07/29/2022--17:17:30,2608270.0,15137414.7
1659135989.7470224,07/30/2022--09:06:29,3445611.3,27182296.2
1659164560.1930625,07/30/2022--17:02:40,2912553.55,21159314.95
1659193295.8534577,07/31/2022--01:01:35,3600092.1,28285570.15
1659223175.87765,07/31/2022--09:19:35,3944734.45,28339222.05
1659394922.9589896,08/02/2022--09:02:02,3926336.65,24692568.45
1659423710.70845,08/02/2022--17:01:50,2373626.3,15489388.05
1659452479.933005,08/03/2022--01:01:19,2702681.1,22231754.9
1659481254.5834172,08/03/2022--09:00:54,3086101.15,23281851.55
1659510483.5113194,08/03/2022--17:08:03,2255623.65,17101650.05
1659539025.8442419,08/04/2022--01:03:45,2312965.35,18061531.9
1659567977.65322,08/04/2022--09:06:17,2615458.85,21967660.45
1659596737.4315803,08/04/2022--17:05:37,2786531.9,22833710.6
1659625544.4629736,08/05/2022--01:05:44,2954515.35,21303957.45
1659654487.963708,08/05/2022--09:08:07,1674017.15,12133632.0
1659683098.9748487,08/05/2022--17:04:58,2659206.75,19907515.2
1659798058.491692,08/07/2022--01:00:58,2480011.65,20257625.05
1659826821.1099102,08/07/2022--09:00:21,1449115.0,9805753.6
1659886109.5671794,08/08/2022--01:28:29,2618254.8,19931575.7
1659915489.3146017,08/08/2022--09:38:09,2544067.35,19488902.1
1659942684.7980738,08/08/2022--17:11:24,2905205.5,22584231.15
1659971568.7314563,08/09/2022--01:12:48,2316320.8,19161062.7
1660030295.9264836,08/09/2022--17:31:35,1834357.35,15432422.8
1660172904.0226371,08/11/2022--09:08:24,1699683.65,10554673.3
1660202153.9173074,08/11/2022--17:15:53,2001241.6,14241778.1
1660260089.9444501,08/12/2022--09:21:29,1522636.65,9929860.35
1660288029.6810946,08/12/2022--17:07:09,1557534.6,10899423.55
1660316972.8768725,08/13/2022--01:09:32,1605060.8,10716337.7
1660347292.7260678,08/13/2022--09:34:52,2238180.55,15362726.4
1660374586.0104291,08/13/2022--17:09:46,2377031.6,15776218.25
1660434289.4885554,08/14/2022--09:44:49,2472196.35,14768681.9
1660462690.270382,08/14/2022--17:38:10,1972486.1,14607910.3
1660490144.9181502,08/15/2022--01:15:44,2132747.3,14400296.2
1660520035.3389182,08/15/2022--09:33:55,2130366.9,14712367.5
1660548110.1855645,08/15/2022--17:21:50,2282778.7,15544417.25
1660633733.4457946,08/16/2022--17:08:53,2505703.05,15762194.25
1660662258.480969,08/17/2022--01:04:18,2217138.7,13029048.0
1660692425.9171295,08/17/2022--09:27:05,1808526.2,11157037.15
1660720046.0474148,08/17/2022--17:07:26,2125594.9,12657390.0
1660748548.0576525,08/18/2022--01:02:28,1987648.75,10516595.0
1660778179.3441532,08/18/2022--09:16:19,2520810.45,14452328.3
1660807681.1939256,08/18/2022--17:28:01,2404424.75,13336439.2
1660835293.140338,08/19/2022--01:08:13,2206637.4,12447715.9
1660864583.2861524,08/19/2022--09:16:23,2346861.5,13289654.4
1660892982.9673333,08/19/2022--17:09:42,2097048.5,14273385.55
1660921520.297617,08/20/2022--01:05:20,1392729.2,8657331.45
1660950648.5543876,08/20/2022--09:10:48,4146662.2,22052619.4
1660979282.6113882,08/20/2022--17:08:02,2777846.05,15318290.3
1661036095.206883,08/21/2022--08:54:55,3083369.25,18914111.15
1661064380.1041234,08/21/2022--16:46:20,2386328.5,15743437.65
1661123013.330709,08/22/2022--09:03:33,1664316.5,11939015.25
1661208404.7366545,08/23/2022--08:46:44,2885327.55,11203723.25
1661237565.4076488,08/23/2022--16:52:45,3640887.6,15219961.95
1661266871.3852978,08/24/2022--01:01:11,2642297.35,17322918.05
1661296200.2926245,08/24/2022--09:10:00,3256551.65,21574603.45
1661352340.4753387,08/25/2022--00:45:40,3472265.35,21241086.85
1661381476.9667122,08/25/2022--08:51:16,2769902.15,19586715.65
1661468398.2601244,08/26/2022--08:59:58,2891717.75,16566616.4
1661526117.894191,08/27/2022--01:01:57,2733814.2,22700336.0
1661554881.5495105,08/27/2022--09:01:21,1480249.0,15239126.85
1661727756.8158545,08/29/2022--09:02:36,1209184.75,16803527.95
1661756562.5978346,08/29/2022--17:02:42,1908233.0,25937895.5
1661785309.2744918,08/30/2022--01:01:49,1362000.0,17435629.1
1661814174.102714,08/30/2022--09:02:54,1691443.6,19774485.3
1661842454.955498,08/30/2022--16:54:14,1338841.95,18259678.8
1661900684.184366,08/31/2022--09:04:44,1733373.05,16760968.8
1661958420.0029917,09/01/2022--01:07:00,1429076.8,18657232.5
1662015716.7539146,09/01/2022--17:01:56,1655528.8,16969512.45
1662076772.6337636,09/02/2022--09:59:32,1680366.5,16400010.8
