unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,7278528.55,1785186.3
1657807946.3195548,07/15/2022--00:12:26,9738149.95,1624869.8
1657865324.281464,07/15/2022--16:08:44,7536156.35,2177322.35
1657894118.107123,07/16/2022--00:08:38,8980370.55,2162505.5
1658812815.1912007,07/26/2022--15:20:15,16237433.1,5670630.3
1658815736.5710416,07/26/2022--16:08:56,16005989.5,5781177.3
1658844889.9973571,07/27/2022--00:14:49,19568278.85,5560929.35
1658848005.9232907,07/27/2022--01:06:45,20097453.25,5486149.7
1658876959.8061535,07/27/2022--09:09:19,15587069.35,4549947.35
1658906431.1616275,07/27/2022--17:20:31,16067720.4,5351035.6
1658964011.7123463,07/28/2022--09:20:11,9603792.45,6362858.15
1658991790.2457771,07/28/2022--17:03:10,13004329.85,3748606.95
1659049859.7900746,07/29/2022--09:10:59,16653415.25,6259039.95
1659079050.0223944,07/29/2022--17:17:30,16580026.05,6154400.85
1659135989.7470224,07/30/2022--09:06:29,1551559.1,2019573.95
1659164560.1930625,07/30/2022--17:02:40,15358788.25,6257534.7
1659193295.8534577,07/31/2022--01:01:35,15573156.8,5881816.7
1659223175.87765,07/31/2022--09:19:35,14135512.05,6105060.9
1659394922.9589896,08/02/2022--09:02:02,13726599.3,3920289.95
1659423710.70845,08/02/2022--17:01:50,21843385.85,5962219.95
1659452479.933005,08/03/2022--01:01:19,14910472.85,4158304.0
1659481254.5834172,08/03/2022--09:00:54,16143220.55,4052794.35
1659510483.5113194,08/03/2022--17:08:03,15760847.55,4726465.45
1659539025.8442419,08/04/2022--01:03:45,15327451.6,7021480.6
1659567977.65322,08/04/2022--09:06:17,13859265.05,6250772.4
1659596737.4315803,08/04/2022--17:05:37,18394768.95,8843278.2
1659625544.4629736,08/05/2022--01:05:44,30607398.95,11363200.55
1659654487.963708,08/05/2022--09:08:07,15401525.15,6634788.15
1659683098.9748487,08/05/2022--17:04:58,20748688.9,10237389.55
1659798058.491692,08/07/2022--01:00:58,17541739.55,8695316.4
1659826821.1099102,08/07/2022--09:00:21,17338266.15,8299352.4
1659886109.5671794,08/08/2022--01:28:29,15438804.3,8500640.1
1659915489.3146017,08/08/2022--09:38:09,16629803.3,8545549.95
1659942684.7980738,08/08/2022--17:11:24,18020665.75,7356842.7
1659971568.7314563,08/09/2022--01:12:48,18342087.35,8976207.1
1660030295.9264836,08/09/2022--17:31:35,17739972.2,7086308.25
1660172904.0226371,08/11/2022--09:08:24,15369012.75,10585771.6
1660202153.9173074,08/11/2022--17:15:53,16386285.6,7090054.95
1660260089.9444501,08/12/2022--09:21:29,14864109.3,7419990.05
1660288029.6810946,08/12/2022--17:07:09,13755717.5,6231219.75
1660316972.8768725,08/13/2022--01:09:32,14648903.25,9138889.75
1660347292.7260678,08/13/2022--09:34:52,13214391.75,7659596.05
1660374586.0104291,08/13/2022--17:09:46,14426577.0,6968772.4
1660434289.4885554,08/14/2022--09:44:49,10695780.25,5825885.25
1660462690.270382,08/14/2022--17:38:10,12868214.1,6103212.45
1660490144.9181502,08/15/2022--01:15:44,11414722.35,5054864.55
1660520035.3389182,08/15/2022--09:33:55,12101132.65,4006730.65
1660548110.1855645,08/15/2022--17:21:50,11221219.15,4794780.7
1660633733.4457946,08/16/2022--17:08:53,15648039.85,7040777.9
1660662258.480969,08/17/2022--01:04:18,17175991.3,6589848.2
1660692425.9171295,08/17/2022--09:27:05,14026368.15,7968200.75
1660720046.0474148,08/17/2022--17:07:26,10775603.5,9407201.3
1660748548.0576525,08/18/2022--01:02:28,14781331.15,15880326.75
1660778179.3441532,08/18/2022--09:16:19,14054950.6,15633554.7
1660807681.1939256,08/18/2022--17:28:01,13083740.2,10122197.75
1660835293.140338,08/19/2022--01:08:13,17271212.7,16118354.7
1660864583.2861524,08/19/2022--09:16:23,15970730.05,16313750.55
1660892982.9673333,08/19/2022--17:09:42,11450337.1,21139997.55
1660921520.297617,08/20/2022--01:05:20,12632349.05,16746178.3
1660950648.5543876,08/20/2022--09:10:48,12603460.2,14571880.8
1660979282.6113882,08/20/2022--17:08:02,13001534.3,20795516.3
1661036095.206883,08/21/2022--08:54:55,11696639.1,17431583.95
1661064380.1041234,08/21/2022--16:46:20,8822797.2,13852351.9
1661123013.330709,08/22/2022--09:03:33,13466419.05,17180050.4
1661208404.7366545,08/23/2022--08:46:44,13205128.9,21929711.55
1661237565.4076488,08/23/2022--16:52:45,13856120.2,16629296.7
1661266871.3852978,08/24/2022--01:01:11,15555498.05,31207556.65
1661296200.2926245,08/24/2022--09:10:00,14414235.85,19280070.45
1661352340.4753387,08/25/2022--00:45:40,12386765.5,20494878.95
1661381476.9667122,08/25/2022--08:51:16,13308569.0,20703782.85
1661468398.2601244,08/26/2022--08:59:58,14213607.4,18939675.15
1661526117.894191,08/27/2022--01:01:57,11125489.95,19927641.2
1661554881.5495105,08/27/2022--09:01:21,8494741.25,2104187.75
1661727756.8158545,08/29/2022--09:02:36,16369320.25,7291592399.9
1661756562.5978346,08/29/2022--17:02:42,6662417.2,18106.05
1661785309.2744918,08/30/2022--01:01:49,11367032.1,27578937589.7
1661814174.102714,08/30/2022--09:02:54,16065246.6,20554675.45
1661842454.955498,08/30/2022--16:54:14,19702609.4,1217367317771.95
1661900684.184366,08/31/2022--09:04:44,18182477.6,11183339121.4
1661958420.0029917,09/01/2022--01:07:00,13062257.75,2380060494.9
1662015716.7539146,09/01/2022--17:01:56,11379025.35,817440328.8
1662076772.6337636,09/02/2022--09:59:32,14087858.6,699931157.05
