unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,673419.0,4458983.35
1657807946.3195548,07/15/2022--00:12:26,1028870.85,5246604.9
1657865324.281464,07/15/2022--16:08:44,892142.85,5163165.45
1657894118.107123,07/16/2022--00:08:38,869335.1,5550519.05
1658812815.1912007,07/26/2022--15:20:15,1439006.85,3055971.85
1658815736.5710416,07/26/2022--16:08:56,2072967.45,3351466.1
1658844889.9973571,07/27/2022--00:14:49,1646846.05,4828124.9
1658848005.9232907,07/27/2022--01:06:45,1598375.35,4124472.05
1658876959.8061535,07/27/2022--09:09:19,1369357.4,3065831.2
1658906431.1616275,07/27/2022--17:20:31,1737378.0,4636540.05
1658964011.7123463,07/28/2022--09:20:11,1207867.35,4694793.3
1658991790.2457771,07/28/2022--17:03:10,1208228.85,4225724.4
1659049859.7900746,07/29/2022--09:10:59,1293715.65,6801858.3
1659079050.0223944,07/29/2022--17:17:30,859250.3,4823005.0
1659135989.7470224,07/30/2022--09:06:29,1479662.0,8725663.55
1659164560.1930625,07/30/2022--17:02:40,847855.8,4953035.35
1659193295.8534577,07/31/2022--01:01:35,1507426.85,8713715.05
1659223175.87765,07/31/2022--09:19:35,1130326.65,6968956.55
1659394922.9589896,08/02/2022--09:02:02,307396.95,1370730.4
1659423710.70845,08/02/2022--17:01:50,1761417.9,7156156.5
1659452479.933005,08/03/2022--01:01:19,2627708.7,10143280.1
1659481254.5834172,08/03/2022--09:00:54,2884184.7,5929386.15
1659510483.5113194,08/03/2022--17:08:03,1556809.9,4755580.45
1659539025.8442419,08/04/2022--01:03:45,1239990.95,5192202.45
1659567977.65322,08/04/2022--09:06:17,1080829.55,4961921.2
1659596737.4315803,08/04/2022--17:05:37,1229438.9,5894034.25
1659625544.4629736,08/05/2022--01:05:44,1154736.3,5242764.35
1659654487.963708,08/05/2022--09:08:07,1771263.0,5707311.05
1659683098.9748487,08/05/2022--17:04:58,1078066.8,5285207.7
1659798058.491692,08/07/2022--01:00:58,1381192.0,6360668.6
1659826821.1099102,08/07/2022--09:00:21,1386301.7,7872201.05
1659886109.5671794,08/08/2022--01:28:29,1194504.8,6253665.75
1659915489.3146017,08/08/2022--09:38:09,1333113.1,6804416.25
1659942684.7980738,08/08/2022--17:11:24,1817583.6,7155199.85
1659971568.7314563,08/09/2022--01:12:48,1819811.85,7184418.5
1660030295.9264836,08/09/2022--17:31:35,1412219.25,7027521.0
1660172904.0226371,08/11/2022--09:08:24,1250317.0,8173164.7
1660202153.9173074,08/11/2022--17:15:53,1360827.35,6300744.05
1660260089.9444501,08/12/2022--09:21:29,1561494.3,5866999.3
1660288029.6810946,08/12/2022--17:07:09,1494624.45,6021679.3
1660316972.8768725,08/13/2022--01:09:32,1979593.45,8815804.25
1660347292.7260678,08/13/2022--09:34:52,1288112.6,6269874.85
1660374586.0104291,08/13/2022--17:09:46,1685103.6,8659331.8
1660434289.4885554,08/14/2022--09:44:49,1559239.85,8281508.2
1660462690.270382,08/14/2022--17:38:10,1343666.3,8988194.2
1660490144.9181502,08/15/2022--01:15:44,1638579.9,10493688.8
1660520035.3389182,08/15/2022--09:33:55,1860269.1,9125110.35
1660548110.1855645,08/15/2022--17:21:50,1289630.45,8468448.95
1660633733.4457946,08/16/2022--17:08:53,1481204.25,8412842.35
1660662258.480969,08/17/2022--01:04:18,1446374.9,9036816.8
1660692425.9171295,08/17/2022--09:27:05,1431332.0,9184750.1
1660720046.0474148,08/17/2022--17:07:26,1042581.45,8138226.1
1660748548.0576525,08/18/2022--01:02:28,1932469.1,12284339.85
1660778179.3441532,08/18/2022--09:16:19,1870013.5,10975923.95
1660807681.1939256,08/18/2022--17:28:01,1691216.0,10505543.3
1660835293.140338,08/19/2022--01:08:13,1246736.4,8567551.9
1660864583.2861524,08/19/2022--09:16:23,1546320.05,9083700.1
1660892982.9673333,08/19/2022--17:09:42,957069.2,8806954.2
1660921520.297617,08/20/2022--01:05:20,1186594.75,10423371.3
1660950648.5543876,08/20/2022--09:10:48,900604.5,8068689.95
1660979282.6113882,08/20/2022--17:08:02,881157.75,6648771.7
1661036095.206883,08/21/2022--08:54:55,1055400.1,8071396.45
1661064380.1041234,08/21/2022--16:46:20,820509.35,8516184.65
1661123013.330709,08/22/2022--09:03:33,1200520.4,10726374.95
1661208404.7366545,08/23/2022--08:46:44,846959.65,7686025.65
1661237565.4076488,08/23/2022--16:52:45,1145728.8,9684434.1
1661266871.3852978,08/24/2022--01:01:11,939748.5,9591377.95
1661296200.2926245,08/24/2022--09:10:00,950762.7,10268099.45
1661352340.4753387,08/25/2022--00:45:40,957584.35,10715168.55
1661381476.9667122,08/25/2022--08:51:16,822752.0,7989300.5
1661468398.2601244,08/26/2022--08:59:58,736303.85,6749990.5
1661526117.894191,08/27/2022--01:01:57,557918.0,5057494.05
1661554881.5495105,08/27/2022--09:01:21,1180332.9,8590601.8
1661727756.8158545,08/29/2022--09:02:36,833125.1,6392104.1
1661756562.5978346,08/29/2022--17:02:42,993430.15,7684516.25
1661785309.2744918,08/30/2022--01:01:49,1163711.35,7049937.15
1661814174.102714,08/30/2022--09:02:54,1382248.95,7011784.75
1661842454.955498,08/30/2022--16:54:14,912505.5,5453427.65
1661900684.184366,08/31/2022--09:04:44,1043928.45,6774903.75
1661958420.0029917,09/01/2022--01:07:00,1047015.6,7380972.05
1662015716.7539146,09/01/2022--17:01:56,999911.3,7705444.95
1662076772.6337636,09/02/2022--09:59:32,1149984.15,7555767.75
