unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,796601.25,1406208.5
1657807946.3195548,07/15/2022--00:12:26,1228037.1,2278444.6
1657865324.281464,07/15/2022--16:08:44,1910028.0,3597166.9
1657894118.107123,07/16/2022--00:08:38,1958561.1,3419411.25
1658812815.1912007,07/26/2022--15:20:15,3855726.45,1756031.1
1658815736.5710416,07/26/2022--16:08:56,3721627.35,1685942.2
1658844889.9973571,07/27/2022--00:14:49,5933250.6,2573096.7
1658848005.9232907,07/27/2022--01:06:45,4248981.85,1818242.3
1658876959.8061535,07/27/2022--09:09:19,1498545.25,2190360.3
1658906431.1616275,07/27/2022--17:20:31,5260787.1,2314606.1
1658964011.7123463,07/28/2022--09:20:11,1136990.5,2352483.3
1658991790.2457771,07/28/2022--17:03:10,1336694.5,2522096.0
1659049859.7900746,07/29/2022--09:10:59,1190760.5,2906110.4
1659079050.0223944,07/29/2022--17:17:30,1520536.45,3395647.65
1659135989.7470224,07/30/2022--09:06:29,1202207.25,3501843.9
1659164560.1930625,07/30/2022--17:02:40,1528807.65,4107744.25
1659193295.8534577,07/31/2022--01:01:35,1606975.6,5080868.8
1659223175.87765,07/31/2022--09:19:35,1125934.8,2935655.2
1659394922.9589896,08/02/2022--09:02:02,1639817.4,4608146.05
1659423710.70845,08/02/2022--17:01:50,1374203.45,3437303.95
1659452479.933005,08/03/2022--01:01:19,960981.5,4057284.85
1659481254.5834172,08/03/2022--09:00:54,1297746.3,4774283.8
1659510483.5113194,08/03/2022--17:08:03,1262639.5,4215498.25
1659539025.8442419,08/04/2022--01:03:45,1308230.3,4781658.25
1659567977.65322,08/04/2022--09:06:17,1263647.55,4678749.35
1659596737.4315803,08/04/2022--17:05:37,1314827.7,5262404.0
1659625544.4629736,08/05/2022--01:05:44,1405063.35,5381151.65
1659654487.963708,08/05/2022--09:08:07,1339628.35,4862839.65
1659683098.9748487,08/05/2022--17:04:58,1162716.35,5084391.95
1659798058.491692,08/07/2022--01:00:58,1517103.45,5890847.75
1659826821.1099102,08/07/2022--09:00:21,1236767.85,5633771.4
1659886109.5671794,08/08/2022--01:28:29,1399873.1,5610315.25
1659915489.3146017,08/08/2022--09:38:09,1222420.8,5231841.95
1659942684.7980738,08/08/2022--17:11:24,1384384.2,5536507.15
1659971568.7314563,08/09/2022--01:12:48,2045226.5,8928787.45
1660030295.9264836,08/09/2022--17:31:35,1392307.1,6994138.15
1660172904.0226371,08/11/2022--09:08:24,1476931.25,9889387.4
1660202153.9173074,08/11/2022--17:15:53,1409047.75,7777927.3
1660260089.9444501,08/12/2022--09:21:29,1512887.35,8426926.4
1660288029.6810946,08/12/2022--17:07:09,1461321.75,8737630.7
1660316972.8768725,08/13/2022--01:09:32,5874680.55,9290382.35
1660347292.7260678,08/13/2022--09:34:52,2482251.0,12366257.5
1660374586.0104291,08/13/2022--17:09:46,1553693.0,8725461.7
1660434289.4885554,08/14/2022--09:44:49,1664431.4,11989666.3
1660462690.270382,08/14/2022--17:38:10,1752159.3,14270446.1
1660490144.9181502,08/15/2022--01:15:44,1493762.7,9929432.1
1660520035.3389182,08/15/2022--09:33:55,1572407.75,11486566.55
1660548110.1855645,08/15/2022--17:21:50,1674335.25,13871740.75
1660633733.4457946,08/16/2022--17:08:53,1501773.45,11953232.2
1660662258.480969,08/17/2022--01:04:18,1875225.7,12712485.6
1660692425.9171295,08/17/2022--09:27:05,1751454.9,14766584.4
1660720046.0474148,08/17/2022--17:07:26,1507980.0,11882954.25
1660748548.0576525,08/18/2022--01:02:28,2049365.4,11764951.05
1660778179.3441532,08/18/2022--09:16:19,1777355.55,12754854.7
1660807681.1939256,08/18/2022--17:28:01,1407016.9,10054602.9
1660835293.140338,08/19/2022--01:08:13,1614473.35,11704025.6
1660864583.2861524,08/19/2022--09:16:23,1257085.05,10117011.65
1660892982.9673333,08/19/2022--17:09:42,1366059.95,7536666.9
1660921520.297617,08/20/2022--01:05:20,1184155.1,5643080.15
1660950648.5543876,08/20/2022--09:10:48,1204340.05,6654828.6
1660979282.6113882,08/20/2022--17:08:02,1930999.85,6759367.45
1661036095.206883,08/21/2022--08:54:55,1231643.55,1196.85
1661064380.1041234,08/21/2022--16:46:20,1022133.9,799.4
1661123013.330709,08/22/2022--09:03:33,1429800.45,10906737.2
1661208404.7366545,08/23/2022--08:46:44,1154200.9,6633554.25
1661237565.4076488,08/23/2022--16:52:45,1655089.15,7967093.75
1661266871.3852978,08/24/2022--01:01:11,1273571.95,8296356.65
1661296200.2926245,08/24/2022--09:10:00,1396246.65,7601490.3
1661352340.4753387,08/25/2022--00:45:40,1370943.65,7569803.15
1661381476.9667122,08/25/2022--08:51:16,1332034.1,9502251.0
1661468398.2601244,08/26/2022--08:59:58,1136739.2,6515831.9
1661526117.894191,08/27/2022--01:01:57,1247505.6,6393338.95
1661554881.5495105,08/27/2022--09:01:21,1326046.25,5508958.7
1661727756.8158545,08/29/2022--09:02:36,1171141.05,5933788.1
1661756562.5978346,08/29/2022--17:02:42,1320685.4,5692439.7
1661785309.2744918,08/30/2022--01:01:49,2046096.7,7771441.1
1661814174.102714,08/30/2022--09:02:54,1148836.05,5929369.75
1661842454.955498,08/30/2022--16:54:14,1442036.8,7043179.1
1661900684.184366,08/31/2022--09:04:44,1905754.45,7697369.1
1661958420.0029917,09/01/2022--01:07:00,2101652.7,7304567.65
1662015716.7539146,09/01/2022--17:01:56,2751987.55,8049807.5
1662076772.6337636,09/02/2022--09:59:32,1643444.8,10574377.15
