unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,1198432.2,2277884.55
1657807946.3195548,07/15/2022--00:12:26,1183047.45,3362489.85
1657865324.281464,07/15/2022--16:08:44,732232.7,2802438.4
1657894118.107123,07/16/2022--00:08:38,1691757.6,5721728.3
1658812815.1912007,07/26/2022--15:20:15,1256613.5,4191095.0
1658815736.5710416,07/26/2022--16:08:56,1115214.5,3894876.5
1658844889.9973571,07/27/2022--00:14:49,1488202.35,6983562.15
1658848005.9232907,07/27/2022--01:06:45,1165300.5,5224159.15
1658876959.8061535,07/27/2022--09:09:19,1475499.6,5527210.9
1658906431.1616275,07/27/2022--17:20:31,1685507.65,7124776.4
1658964011.7123463,07/28/2022--09:20:11,1181131.3,4815014.75
1658991790.2457771,07/28/2022--17:03:10,2064410.8,8170348.15
1659049859.7900746,07/29/2022--09:10:59,1907651.3,5515634.8
1659079050.0223944,07/29/2022--17:17:30,2087933.05,6451403.3
1659135989.7470224,07/30/2022--09:06:29,1413214.05,5743659.55
1659164560.1930625,07/30/2022--17:02:40,1319934.0,4567594.9
1659193295.8534577,07/31/2022--01:01:35,3018796.0,13754117.35
1659223175.87765,07/31/2022--09:19:35,1727909.0,7650179.35
1659394922.9589896,08/02/2022--09:02:02,1546223.7,7771739.9
1659423710.70845,08/02/2022--17:01:50,1657912.25,5597739.8
1659452479.933005,08/03/2022--01:01:19,1475383.5,5459999.0
1659481254.5834172,08/03/2022--09:00:54,2310742.7,6239899.65
1659510483.5113194,08/03/2022--17:08:03,1890627.25,5576353.45
1659539025.8442419,08/04/2022--01:03:45,1348992.7,5135311.9
1659567977.65322,08/04/2022--09:06:17,2891434.75,10559304.9
1659596737.4315803,08/04/2022--17:05:37,1734932.4,6125887.35
1659625544.4629736,08/05/2022--01:05:44,1840927.85,6258025.1
1659654487.963708,08/05/2022--09:08:07,1956262.1,6540624.6
1659683098.9748487,08/05/2022--17:04:58,2052185.9,8017503.1
1659798058.491692,08/07/2022--01:00:58,1616192.3,6912338.9
1659826821.1099102,08/07/2022--09:00:21,1544350.65,7306205.9
1659886109.5671794,08/08/2022--01:28:29,1828520.9,7534116.35
1659915489.3146017,08/08/2022--09:38:09,1515443.85,6099967.45
1659942684.7980738,08/08/2022--17:11:24,1452750.55,6092793.45
1659971568.7314563,08/09/2022--01:12:48,1780820.85,7486371.35
1660030295.9264836,08/09/2022--17:31:35,1339853.7,6196076.35
1660172904.0226371,08/11/2022--09:08:24,1462134.3,8858139.8
1660202153.9173074,08/11/2022--17:15:53,1654505.3,10550286.4
1660260089.9444501,08/12/2022--09:21:29,1669955.8,8685436.8
1660288029.6810946,08/12/2022--17:07:09,2343248.35,12237739.3
1660316972.8768725,08/13/2022--01:09:32,1888413.05,8318013.8
1660347292.7260678,08/13/2022--09:34:52,2072791.85,9238392.4
1660374586.0104291,08/13/2022--17:09:46,1841784.9,9512770.0
1660434289.4885554,08/14/2022--09:44:49,1803486.7,8543428.05
1660462690.270382,08/14/2022--17:38:10,3223192.65,13860063.2
1660490144.9181502,08/15/2022--01:15:44,1717969.95,8001299.65
1660520035.3389182,08/15/2022--09:33:55,756278.95,5139408.2
1660548110.1855645,08/15/2022--17:21:50,1539001.1,9097429.25
1660633733.4457946,08/16/2022--17:08:53,1415075.2,8256111.1
1660662258.480969,08/17/2022--01:04:18,1433667.85,9555884.35
1660692425.9171295,08/17/2022--09:27:05,1847325.9,11477387.5
1660720046.0474148,08/17/2022--17:07:26,1773088.75,12481469.5
1660748548.0576525,08/18/2022--01:02:28,1586597.2,8369307.05
1660778179.3441532,08/18/2022--09:16:19,1743345.45,8444575.15
1660807681.1939256,08/18/2022--17:28:01,1826525.1,9021772.85
1660835293.140338,08/19/2022--01:08:13,1741851.15,9161167.55
1660864583.2861524,08/19/2022--09:16:23,1415958.1,7470544.0
1660892982.9673333,08/19/2022--17:09:42,1483538.55,11070085.05
1660921520.297617,08/20/2022--01:05:20,1518190.7,8855093.75
1660950648.5543876,08/20/2022--09:10:48,1647205.75,8736497.45
1660979282.6113882,08/20/2022--17:08:02,1601129.5,9019073.55
1661036095.206883,08/21/2022--08:54:55,1452993.95,9027627.55
1661064380.1041234,08/21/2022--16:46:20,1370376.45,9319591.95
1661123013.330709,08/22/2022--09:03:33,1621079.0,9843847.5
1661208404.7366545,08/23/2022--08:46:44,1530659.6,10943428.65
1661237565.4076488,08/23/2022--16:52:45,2294326.85,12043523.75
1661266871.3852978,08/24/2022--01:01:11,1724108.65,9693697.5
1661296200.2926245,08/24/2022--09:10:00,1431674.25,10415235.65
1661352340.4753387,08/25/2022--00:45:40,1399745.25,9852608.7
1661381476.9667122,08/25/2022--08:51:16,1208669.75,7431815.05
1661468398.2601244,08/26/2022--08:59:58,1267760.25,8291582.15
1661526117.894191,08/27/2022--01:01:57,1314661.6,11453062.25
1661554881.5495105,08/27/2022--09:01:21,1348429.75,8214890.65
1661727756.8158545,08/29/2022--09:02:36,1966055.6,10190507.6
1661756562.5978346,08/29/2022--17:02:42,1224917.15,7171707.45
1661785309.2744918,08/30/2022--01:01:49,1300471.45,8732208.05
1661814174.102714,08/30/2022--09:02:54,1484131.95,9035653.85
1661842454.955498,08/30/2022--16:54:14,1521657.7,9242319.7
1661900684.184366,08/31/2022--09:04:44,1205611.3,6342315.1
1661958420.0029917,09/01/2022--01:07:00,1135491.35,6749015.05
1662015716.7539146,09/01/2022--17:01:56,1117168.4,6314123.3
1662076772.6337636,09/02/2022--09:59:32,1215589.45,7994455.35
