unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,1288281.4,6598411.2
1657807946.3195548,07/15/2022--00:12:26,1026594.1,4850542.0
1657865324.281464,07/15/2022--16:08:44,855668.65,4497961.05
1657894118.107123,07/16/2022--00:08:38,863457.8,4726626.9
1658812815.1912007,07/26/2022--15:20:15,790119.3,7400989.8
1658815736.5710416,07/26/2022--16:08:56,706855.35,6331689.1
1658844889.9973571,07/27/2022--00:14:49,621827.65,5095436.85
1658848005.9232907,07/27/2022--01:06:45,838874.7,6648966.55
1658876959.8061535,07/27/2022--09:09:19,751153.1,7244662.85
1658906431.1616275,07/27/2022--17:20:31,783543.65,6968516.85
1658964011.7123463,07/28/2022--09:20:11,1091598.65,6719133.75
1658991790.2457771,07/28/2022--17:03:10,792078.7,6473846.55
1659049859.7900746,07/29/2022--09:10:59,1063054.5,7498398.2
1659079050.0223944,07/29/2022--17:17:30,685759.55,6101204.2
1659135989.7470224,07/30/2022--09:06:29,773412.65,8387789.4
1659164560.1930625,07/30/2022--17:02:40,897113.7,7311945.65
1659193295.8534577,07/31/2022--01:01:35,1002734.6,7298770.45
1659223175.87765,07/31/2022--09:19:35,1179495.0,7079398.4
1659394922.9589896,08/02/2022--09:02:02,1222624.8,8683698.15
1659423710.70845,08/02/2022--17:01:50,1152138.75,7954190.0
1659452479.933005,08/03/2022--01:01:19,1001412.3,7200283.15
1659481254.5834172,08/03/2022--09:00:54,1202462.9,7087073.7
1659510483.5113194,08/03/2022--17:08:03,1294475.0,8075334.65
1659539025.8442419,08/04/2022--01:03:45,1147735.0,8027129.05
1659567977.65322,08/04/2022--09:06:17,1217686.9,7293157.1
1659596737.4315803,08/04/2022--17:05:37,1256978.6,6290974.15
1659625544.4629736,08/05/2022--01:05:44,1294010.0,5648811.7
1659654487.963708,08/05/2022--09:08:07,2498731.7,7944090.85
1659683098.9748487,08/05/2022--17:04:58,2332570.3,9887152.65
1659798058.491692,08/07/2022--01:00:58,2013069.65,8376573.4
1659826821.1099102,08/07/2022--09:00:21,2023294.05,7055270.2
1659886109.5671794,08/08/2022--01:28:29,2900483.85,7766015.4
1659915489.3146017,08/08/2022--09:38:09,2306176.15,7905118.4
1659942684.7980738,08/08/2022--17:11:24,2347857.65,9007534.25
1659971568.7314563,08/09/2022--01:12:48,2193025.05,7367673.45
1660030295.9264836,08/09/2022--17:31:35,2552695.6,6381889.7
1660172904.0226371,08/11/2022--09:08:24,1553745.2,7537108.45
1660202153.9173074,08/11/2022--17:15:53,1405207.3,7182240.95
1660260089.9444501,08/12/2022--09:21:29,1487800.7,8058943.75
1660288029.6810946,08/12/2022--17:07:09,1258545.85,7126903.1
1660316972.8768725,08/13/2022--01:09:32,1278425.2,6982510.5
1660347292.7260678,08/13/2022--09:34:52,1359129.65,7047197.1
1660374586.0104291,08/13/2022--17:09:46,1206736.6,6335486.65
1660434289.4885554,08/14/2022--09:44:49,1416383.95,8068108.1
1660462690.270382,08/14/2022--17:38:10,1284962.7,7553586.65
1660490144.9181502,08/15/2022--01:15:44,1463723.25,7603523.9
1660520035.3389182,08/15/2022--09:33:55,1466453.5,7181714.0
1660548110.1855645,08/15/2022--17:21:50,1612699.2,7620466.3
1660633733.4457946,08/16/2022--17:08:53,1399377.15,6254368.9
1660662258.480969,08/17/2022--01:04:18,962656.25,4725686.4
1660692425.9171295,08/17/2022--09:27:05,1275030.45,5788782.95
1660720046.0474148,08/17/2022--17:07:26,1381148.75,7726029.85
1660748548.0576525,08/18/2022--01:02:28,1310654.55,6524776.0
1660778179.3441532,08/18/2022--09:16:19,1172491.5,6466031.5
1660807681.1939256,08/18/2022--17:28:01,1242739.15,7756079.7
1660835293.140338,08/19/2022--01:08:13,1192575.9,8095828.25
1660864583.2861524,08/19/2022--09:16:23,1030210.2,6709561.35
1660892982.9673333,08/19/2022--17:09:42,1135249.45,8674263.6
1660921520.297617,08/20/2022--01:05:20,1191706.2,5855185.6
1660950648.5543876,08/20/2022--09:10:48,1170520.95,6173759.55
1660979282.6113882,08/20/2022--17:08:02,935959.2,4648545.9
1661036095.206883,08/21/2022--08:54:55,1525422.35,9534580.8
1661064380.1041234,08/21/2022--16:46:20,1445235.7,8410144.4
1661123013.330709,08/22/2022--09:03:33,1734038.2,10303725.3
1661208404.7366545,08/23/2022--08:46:44,1438924.7,6687925.8
1661237565.4076488,08/23/2022--16:52:45,1510256.55,6805097.6
1661266871.3852978,08/24/2022--01:01:11,1910502.35,8737272.3
1661296200.2926245,08/24/2022--09:10:00,1426251.35,7953961.2
1661352340.4753387,08/25/2022--00:45:40,1395529.4,8288763.15
1661381476.9667122,08/25/2022--08:51:16,1828457.55,7140667.55
1661468398.2601244,08/26/2022--08:59:58,1996396.35,8832584.55
1661526117.894191,08/27/2022--01:01:57,1545180.75,7030723.2
1661554881.5495105,08/27/2022--09:01:21,1744025.35,7140791.65
1661727756.8158545,08/29/2022--09:02:36,1213214.9,7683830.3
1661756562.5978346,08/29/2022--17:02:42,1334900.15,10334376.3
1661785309.2744918,08/30/2022--01:01:49,1331307.55,7371329.3
1661814174.102714,08/30/2022--09:02:54,1082402.85,6646443.55
1661842454.955498,08/30/2022--16:54:14,1339751.2,6927902.25
1661900684.184366,08/31/2022--09:04:44,1130196.4,6452364.0
1661958420.0029917,09/01/2022--01:07:00,1104022.85,6577667.45
1662015716.7539146,09/01/2022--17:01:56,1383857.2,6950336.2
1662076772.6337636,09/02/2022--09:59:32,1136561.35,6669757.15
