unixTime,dateTime,7,priceManip
1657894118.107123,07/16/2022--00:08:38,12378.55,26484.05
1658812815.1912007,07/26/2022--15:20:15,95708.8,231418.35
1658815736.5710416,07/26/2022--16:08:56,37044.3,117009.25
1658844889.9973571,07/27/2022--00:14:49,36978.7,109511.75
1658848005.9232907,07/27/2022--01:06:45,43996.45,105120.7
1658876959.8061535,07/27/2022--09:09:19,8445.55,28334.55
1658906431.1616275,07/27/2022--17:20:31,112387.3,173120.95
1658964011.7123463,07/28/2022--09:20:11,25583.7,64331.95
1658991790.2457771,07/28/2022--17:03:10,3409.5,1923.05
1659049859.7900746,07/29/2022--09:10:59,16186.5,91803.15
1659079050.0223944,07/29/2022--17:17:30,25914.4,89719.05
1659135989.7470224,07/30/2022--09:06:29,29849.65,136044.25
1659164560.1930625,07/30/2022--17:02:40,28372.3,47425.65
1659193295.8534577,07/31/2022--01:01:35,41073.25,277710.4
1659223175.87765,07/31/2022--09:19:35,230912.65,428963.85
1659394922.9589896,08/02/2022--09:02:02,64464.15,69144.6
1659423710.70845,08/02/2022--17:01:50,124881.6,133767.15
1659452479.933005,08/03/2022--01:01:19,129133.8,142413.95
1659481254.5834172,08/03/2022--09:00:54,13210.7,9575.0
1659510483.5113194,08/03/2022--17:08:03,66926.7,82770.65
1659539025.8442419,08/04/2022--01:03:45,15791.45,54407.55
1659567977.65322,08/04/2022--09:06:17,14449.3,53667.1
1659596737.4315803,08/04/2022--17:05:37,19874.95,44213.0
1659625544.4629736,08/05/2022--01:05:44,13664.25,136992.7
1659654487.963708,08/05/2022--09:08:07,107017.5,385554.7
1659683098.9748487,08/05/2022--17:04:58,9933.45,3779.6
1659798058.491692,08/07/2022--01:00:58,13326.65,6464.0
1659826821.1099102,08/07/2022--09:00:21,83309.05,439506.5
1659886109.5671794,08/08/2022--01:28:29,35231.2,223281.0
1659915489.3146017,08/08/2022--09:38:09,56083.55,313121.6
1659942684.7980738,08/08/2022--17:11:24,19115.45,157098.1
1659971568.7314563,08/09/2022--01:12:48,47750.6,318383.8
1660030295.9264836,08/09/2022--17:31:35,24821.35,156520.7
1660172904.0226371,08/11/2022--09:08:24,59383.0,188760.7
1660202153.9173074,08/11/2022--17:15:53,47560.65,273605.4
1660260089.9444501,08/12/2022--09:21:29,52061.0,179469.35
1660288029.6810946,08/12/2022--17:07:09,6400.65,1855.75
1660316972.8768725,08/13/2022--01:09:32,42356.05,159016.8
1660347292.7260678,08/13/2022--09:34:52,31110.85,114882.75
1660374586.0104291,08/13/2022--17:09:46,25479.1,120123.2
1660434289.4885554,08/14/2022--09:44:49,12265.6,2074.05
1660462690.270382,08/14/2022--17:38:10,13431.8,2435.7
1660490144.9181502,08/15/2022--01:15:44,64053.6,231176.1
1660520035.3389182,08/15/2022--09:33:55,32618.0,108801.15
1660548110.1855645,08/15/2022--17:21:50,24027.95,111260.95
1660633733.4457946,08/16/2022--17:08:53,45208.8,207992.5
1660662258.480969,08/17/2022--01:04:18,22582.6,105525.85
1660692425.9171295,08/17/2022--09:27:05,18938.5,2918.2
1660720046.0474148,08/17/2022--17:07:26,44425.85,230817.75
1660748548.0576525,08/18/2022--01:02:28,49280.95,236933.7
1660778179.3441532,08/18/2022--09:16:19,86423.95,393623.2
1660807681.1939256,08/18/2022--17:28:01,13456.35,57953.1
1660835293.140338,08/19/2022--01:08:13,36565.2,124154.2
1660864583.2861524,08/19/2022--09:16:23,26707.85,95854.5
1660892982.9673333,08/19/2022--17:09:42,20390.35,150302.9
1660921520.297617,08/20/2022--01:05:20,27282.4,169468.95
1660950648.5543876,08/20/2022--09:10:48,24702.5,177390.25
1660979282.6113882,08/20/2022--17:08:02,59826.0,412913.15
1661036095.206883,08/21/2022--08:54:55,18078.7,142140.9
1661064380.1041234,08/21/2022--16:46:20,9598.85,1819.7
1661123013.330709,08/22/2022--09:03:33,29559.1,200103.8
1661208404.7366545,08/23/2022--08:46:44,21372.55,102447.2
1661237565.4076488,08/23/2022--16:52:45,40332.3,182187.55
1661266871.3852978,08/24/2022--01:01:11,21253.1,79280.6
1661296200.2926245,08/24/2022--09:10:00,20694.15,74131.15
1661352340.4753387,08/25/2022--00:45:40,15063.95,1729.45
1661381476.9667122,08/25/2022--08:51:16,31698.45,120929.55
1661468398.2601244,08/26/2022--08:59:58,20135.7,131827.6
1661526117.894191,08/27/2022--01:01:57,21141.05,145878.8
1661554881.5495105,08/27/2022--09:01:21,12489.4,1799.5
1661727756.8158545,08/29/2022--09:02:36,6356.25,40827.2
1661756562.5978346,08/29/2022--17:02:42,8195.95,72662.9
1661785309.2744918,08/30/2022--01:01:49,7939.1,68758.9
1661814174.102714,08/30/2022--09:02:54,30244.75,217708.0
1661842454.955498,08/30/2022--16:54:14,4900.2,45950.3
1661900684.184366,08/31/2022--09:04:44,4672.55,749.4
1661958420.0029917,09/01/2022--01:07:00,9222.55,51258.95
1662015716.7539146,09/01/2022--17:01:56,19258.45,97371.2
1662076772.6337636,09/02/2022--09:59:32,61165.45,322677.95
