unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,4597719.65,10926317.9
1657807946.3195548,07/15/2022--00:12:26,6254673.9,10313799.15
1657865324.281464,07/15/2022--16:08:44,6863378.35,12927870.85
1657894118.107123,07/16/2022--00:08:38,2358929.8,11632.1
1658812815.1912007,07/26/2022--15:20:15,2690793.05,21120.75
1658815736.5710416,07/26/2022--16:08:56,2383083.7,20076.3
1658844889.9973571,07/27/2022--00:14:49,2799464.55,17088.8
1658848005.9232907,07/27/2022--01:06:45,2318234.45,15652.4
1658876959.8061535,07/27/2022--09:09:19,2399256.2,17074.75
1658906431.1616275,07/27/2022--17:20:31,5826041.5,23645686.35
1658964011.7123463,07/28/2022--09:20:11,5691414.85,27352663.5
1658991790.2457771,07/28/2022--17:03:10,6480807.95,27102018.3
1659049859.7900746,07/29/2022--09:10:59,5161508.85,27970868.75
1659079050.0223944,07/29/2022--17:17:30,8361872.75,31378259.7
1659135989.7470224,07/30/2022--09:06:29,2695920.5,16361.05
1659164560.1930625,07/30/2022--17:02:40,6680254.7,27786766.45
1659193295.8534577,07/31/2022--01:01:35,6035655.25,27524254.05
1659223175.87765,07/31/2022--09:19:35,2453921.85,15486.55
1659394922.9589896,08/02/2022--09:02:02,8317687.2,29369771.55
1659423710.70845,08/02/2022--17:01:50,7572307.6,30064224.3
1659452479.933005,08/03/2022--01:01:19,6864712.45,26687434.65
1659481254.5834172,08/03/2022--09:00:54,6945844.0,32536975.35
1659510483.5113194,08/03/2022--17:08:03,6264154.8,33058655.45
1659539025.8442419,08/04/2022--01:03:45,6652291.75,31090066.85
1659567977.65322,08/04/2022--09:06:17,6287673.8,31150781.35
1659596737.4315803,08/04/2022--17:05:37,6144016.55,27865796.1
1659625544.4629736,08/05/2022--01:05:44,6288447.55,32380397.05
1659654487.963708,08/05/2022--09:08:07,6674720.35,32785991.9
1659683098.9748487,08/05/2022--17:04:58,6394277.2,28271884.1
1659798058.491692,08/07/2022--01:00:58,6466593.35,24946061.15
1659826821.1099102,08/07/2022--09:00:21,7243270.4,31276099.0
1659886109.5671794,08/08/2022--01:28:29,7735866.05,30263134.5
1659915489.3146017,08/08/2022--09:38:09,7546941.35,31390417.0
1659942684.7980738,08/08/2022--17:11:24,7232082.25,32774124.05
1659971568.7314563,08/09/2022--01:12:48,2898507.25,13603.15
1660030295.9264836,08/09/2022--17:31:35,5419698.85,30131664.6
1660172904.0226371,08/11/2022--09:08:24,5398889.35,26689332.95
1660202153.9173074,08/11/2022--17:15:53,5268674.9,25510314.5
1660260089.9444501,08/12/2022--09:21:29,6336968.5,26166741.15
1660288029.6810946,08/12/2022--17:07:09,6361084.75,25758206.95
1660316972.8768725,08/13/2022--01:09:32,2556288.75,10497.2
1660347292.7260678,08/13/2022--09:34:52,2716351.2,9625.6
1660374586.0104291,08/13/2022--17:09:46,7002810.5,24278861.6
1660434289.4885554,08/14/2022--09:44:49,9002885.3,28718303.9
1660462690.270382,08/14/2022--17:38:10,8290443.85,31317746.2
1660490144.9181502,08/15/2022--01:15:44,9565269.05,28994349.2
1660520035.3389182,08/15/2022--09:33:55,2501288.2,14185.6
1660548110.1855645,08/15/2022--17:21:50,5240098.35,21013650.65
1660633733.4457946,08/16/2022--17:08:53,2531554.0,11034.85
1660662258.480969,08/17/2022--01:04:18,12972952.05,27446447.95
1660692425.9171295,08/17/2022--09:27:05,10950226.0,21640133.55
1660720046.0474148,08/17/2022--17:07:26,2562243.85,11348.2
1660748548.0576525,08/18/2022--01:02:28,10432877.55,31282898.85
1660778179.3441532,08/18/2022--09:16:19,8935007.3,26876012.7
1660807681.1939256,08/18/2022--17:28:01,8576896.65,23916643.7
1660835293.140338,08/19/2022--01:08:13,4171282.05,23792767.25
1660864583.2861524,08/19/2022--09:16:23,4012426.35,20663201.4
1660892982.9673333,08/19/2022--17:09:42,4221043.0,27652752.45
1660921520.297617,08/20/2022--01:05:20,5336110.15,29813210.75
1660950648.5543876,08/20/2022--09:10:48,5276553.95,30516935.0
1660979282.6113882,08/20/2022--17:08:02,4818617.5,27663266.9
1661036095.206883,08/21/2022--08:54:55,3898315.5,22257246.25
1661064380.1041234,08/21/2022--16:46:20,3970342.6,24158469.55
1661123013.330709,08/22/2022--09:03:33,5226516.35,27800357.6
1661208404.7366545,08/23/2022--08:46:44,4970477.95,21834950.6
1661237565.4076488,08/23/2022--16:52:45,6256403.9,21102524.45
1661266871.3852978,08/24/2022--01:01:11,4961365.2,23416756.85
1661296200.2926245,08/24/2022--09:10:00,6911006.75,22268296.85
1661352340.4753387,08/25/2022--00:45:40,5435571.1,26272979.65
1661381476.9667122,08/25/2022--08:51:16,5687812.45,26618700.05
1661468398.2601244,08/26/2022--08:59:58,4425229.6,20054163.9
1661526117.894191,08/27/2022--01:01:57,6436110.95,29885047.65
1661554881.5495105,08/27/2022--09:01:21,5876465.35,23974347.4
1661727756.8158545,08/29/2022--09:02:36,6837076.75,26204262.4
1661756562.5978346,08/29/2022--17:02:42,6404493.75,27348666.65
1661785309.2744918,08/30/2022--01:01:49,6131567.6,28051020.95
1661814174.102714,08/30/2022--09:02:54,6422406.1,25535941.95
1661842454.955498,08/30/2022--16:54:14,6772775.3,32918981.25
1661900684.184366,08/31/2022--09:04:44,6096025.1,26013997.3
1661958420.0029917,09/01/2022--01:07:00,6030707.2,26350159.95
1662015716.7539146,09/01/2022--17:01:56,7982990.15,30253765.85
1662076772.6337636,09/02/2022--09:59:32,6463163.65,27466468.85
