unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,858721.8,5096454.5
1657807946.3195548,07/15/2022--00:12:26,997572.6,5779657.1
1657865324.281464,07/15/2022--16:08:44,1340110.4,8077487.95
1657894118.107123,07/16/2022--00:08:38,1592814.95,7573508.4
1658812815.1912007,07/26/2022--15:20:15,1650653.35,8474603.0
1658815736.5710416,07/26/2022--16:08:56,1253090.8,2593438.15
1658844889.9973571,07/27/2022--00:14:49,3044922.6,13141838.6
1658848005.9232907,07/27/2022--01:06:45,3734251.15,14328425.0
1658876959.8061535,07/27/2022--09:09:19,2354756.8,14686509.65
1658906431.1616275,07/27/2022--17:20:31,1133196.65,561726.7
1658964011.7123463,07/28/2022--09:20:11,1795777.0,11143981.6
1658991790.2457771,07/28/2022--17:03:10,1332958.3,9985970.25
1659049859.7900746,07/29/2022--09:10:59,1924134.7,20495129.6
1659079050.0223944,07/29/2022--17:17:30,1831501.35,14749348.25
1659135989.7470224,07/30/2022--09:06:29,1397600.8,561363.5
1659164560.1930625,07/30/2022--17:02:40,2078259.7,12227948.55
1659193295.8534577,07/31/2022--01:01:35,1062939.5,459050.0
1659223175.87765,07/31/2022--09:19:35,1347048.35,393698.2
1659394922.9589896,08/02/2022--09:02:02,1865547.1,11392349.0
1659423710.70845,08/02/2022--17:01:50,2058455.5,9890270.0
1659452479.933005,08/03/2022--01:01:19,2009393.5,11408179.5
1659481254.5834172,08/03/2022--09:00:54,2512112.2,15105365.9
1659510483.5113194,08/03/2022--17:08:03,2364847.15,11264919.85
1659539025.8442419,08/04/2022--01:03:45,1885319.55,10808190.2
1659567977.65322,08/04/2022--09:06:17,3344292.5,18159924.15
1659596737.4315803,08/04/2022--17:05:37,730277.3,3416326.75
1659625544.4629736,08/05/2022--01:05:44,1538079.0,3902020.35
1659654487.963708,08/05/2022--09:08:07,1300438.05,10735350.9
1659683098.9748487,08/05/2022--17:04:58,1640931.7,10283224.45
1659798058.491692,08/07/2022--01:00:58,2107064.95,11406327.35
1659826821.1099102,08/07/2022--09:00:21,746535.1,3850809.3
1659886109.5671794,08/08/2022--01:28:29,1739003.75,11694159.85
1659915489.3146017,08/08/2022--09:38:09,2385690.1,14863528.15
1659942684.7980738,08/08/2022--17:11:24,1664425.8,11435711.05
1659971568.7314563,08/09/2022--01:12:48,1390726.35,12269082.5
1660030295.9264836,08/09/2022--17:31:35,1413705.15,10349444.8
1660172904.0226371,08/11/2022--09:08:24,1165088.0,2603753.45
1660202153.9173074,08/11/2022--17:15:53,1568967.2,13621665.0
1660260089.9444501,08/12/2022--09:21:29,1911794.2,11429250.45
1660288029.6810946,08/12/2022--17:07:09,2012481.7,11366267.55
1660316972.8768725,08/13/2022--01:09:32,1146812.05,11536043.35
1660347292.7260678,08/13/2022--09:34:52,1085168.75,11577016.15
1660374586.0104291,08/13/2022--17:09:46,469145.3,5255700.35
1660434289.4885554,08/14/2022--09:44:49,1149371.1,11149224.1
1660462690.270382,08/14/2022--17:38:10,1480150.15,7699720.4
1660490144.9181502,08/15/2022--01:15:44,241657.4,4629981.55
1660520035.3389182,08/15/2022--09:33:55,1018222.55,11618591.85
1660548110.1855645,08/15/2022--17:21:50,887086.3,9262237.3
1660633733.4457946,08/16/2022--17:08:53,1765969.0,11107087.3
1660662258.480969,08/17/2022--01:04:18,2318118.15,14843009.1
1660692425.9171295,08/17/2022--09:27:05,2150746.2,10642529.3
1660720046.0474148,08/17/2022--17:07:26,1614150.85,15254639.3
1660748548.0576525,08/18/2022--01:02:28,1348193.65,7351407.95
1660778179.3441532,08/18/2022--09:16:19,745888.8,143249.5
1660807681.1939256,08/18/2022--17:28:01,1130123.0,7894148.6
1660835293.140338,08/19/2022--01:08:13,1014794.0,7380845.9
1660864583.2861524,08/19/2022--09:16:23,801758.75,9116669.5
1660892982.9673333,08/19/2022--17:09:42,1016460.65,8810959.15
1660921520.297617,08/20/2022--01:05:20,984037.2,9545403.5
1660950648.5543876,08/20/2022--09:10:48,726777.0,9168346.9
1660979282.6113882,08/20/2022--17:08:02,984847.7,6842324.85
1661036095.206883,08/21/2022--08:54:55,595827.2,78761.8
1661064380.1041234,08/21/2022--16:46:20,188390.95,39060.1
1661123013.330709,08/22/2022--09:03:33,463966.1,6184785.3
1661208404.7366545,08/23/2022--08:46:44,1447478.3,8916111.0
1661237565.4076488,08/23/2022--16:52:45,1198449.1,7180387.9
1661266871.3852978,08/24/2022--01:01:11,1003284.5,8693750.8
1661296200.2926245,08/24/2022--09:10:00,1139009.5,8619788.15
1661352340.4753387,08/25/2022--00:45:40,1007324.95,8547958.25
1661381476.9667122,08/25/2022--08:51:16,898004.2,8423287.65
1661468398.2601244,08/26/2022--08:59:58,1053513.65,9373713.95
1661526117.894191,08/27/2022--01:01:57,1087426.4,7550005.45
1661554881.5495105,08/27/2022--09:01:21,1174094.1,10995982.8
1661727756.8158545,08/29/2022--09:02:36,895030.6,7114607.05
1661756562.5978346,08/29/2022--17:02:42,519704.95,5678513.1
1661785309.2744918,08/30/2022--01:01:49,857121.25,7087873.45
1661814174.102714,08/30/2022--09:02:54,660092.9,7032688.7
1661842454.955498,08/30/2022--16:54:14,674207.6,7020438.3
1661900684.184366,08/31/2022--09:04:44,752422.55,7860204.2
1661958420.0029917,09/01/2022--01:07:00,780778.25,7725013.95
1662015716.7539146,09/01/2022--17:01:56,757294.65,6494705.05
1662076772.6337636,09/02/2022--09:59:32,150186.2,57545.8
