unixTime,dateTime,7,priceManip
1658812815.1912007,07/26/2022--15:20:15,922362.25,3287678.25
1658815736.5710416,07/26/2022--16:08:56,615638.95,2498769.95
1658844889.9973571,07/27/2022--00:14:49,493361.65,2057432.55
1658848005.9232907,07/27/2022--01:06:45,1108225.6,12152723.75
1658876959.8061535,07/27/2022--09:09:19,657767.1,2810723.45
1658906431.1616275,07/27/2022--17:20:31,608228.15,2475816.75
1658964011.7123463,07/28/2022--09:20:11,577981.8,3119932.5
1658991790.2457771,07/28/2022--17:03:10,902446.95,12353869.45
1659049859.7900746,07/29/2022--09:10:59,1057559.45,3359780.35
1659079050.0223944,07/29/2022--17:17:30,1115952.0,3200995.8
1659135989.7470224,07/30/2022--09:06:29,1616114.1,19533539.15
1659164560.1930625,07/30/2022--17:02:40,697232.9,3367731.1
1659193295.8534577,07/31/2022--01:01:35,653188.5,3610576.85
1659223175.87765,07/31/2022--09:19:35,651543.95,2812531.95
1659394922.9589896,08/02/2022--09:02:02,809299.7,3243640.3
1659423710.70845,08/02/2022--17:01:50,1425345.2,21369893.35
1659452479.933005,08/03/2022--01:01:19,833521.5,3853381.55
1659481254.5834172,08/03/2022--09:00:54,596356.3,2950470.4
1659510483.5113194,08/03/2022--17:08:03,664979.15,2907047.85
1659539025.8442419,08/04/2022--01:03:45,754146.6,3784030.75
1659567977.65322,08/04/2022--09:06:17,1269854.5,17685019.7
1659596737.4315803,08/04/2022--17:05:37,1305236.75,20293536.6
1659625544.4629736,08/05/2022--01:05:44,1057186.85,3343468.15
1659654487.963708,08/05/2022--09:08:07,1438457.05,4153569.2
1659683098.9748487,08/05/2022--17:04:58,1648906.35,17775388.75
1659798058.491692,08/07/2022--01:00:58,901483.9,3058348.05
1659826821.1099102,08/07/2022--09:00:21,1005732.7,3367347.35
1659886109.5671794,08/08/2022--01:28:29,1256040.7,4280407.8
1659915489.3146017,08/08/2022--09:38:09,1006153.6,3415788.35
1659942684.7980738,08/08/2022--17:11:24,1472271.75,22857918.5
1659971568.7314563,08/09/2022--01:12:48,1222961.1,16820464.8
1660030295.9264836,08/09/2022--17:31:35,268628.5,178704.15
1660172904.0226371,08/11/2022--09:08:24,798173.5,4142979.35
1660202153.9173074,08/11/2022--17:15:53,1063132.65,5543672.7
1660260089.9444501,08/12/2022--09:21:29,1619803.0,19922099.05
1660288029.6810946,08/12/2022--17:07:09,802193.15,4852683.75
1660316972.8768725,08/13/2022--01:09:32,1790236.7,20971467.65
1660347292.7260678,08/13/2022--09:34:52,800983.85,4495311.05
1660374586.0104291,08/13/2022--17:09:46,1634432.1,21112772.25
1660434289.4885554,08/14/2022--09:44:49,830487.1,4726929.15
1660462690.270382,08/14/2022--17:38:10,1352166.35,19769885.0
1660490144.9181502,08/15/2022--01:15:44,1234343.3,15780463.45
1660520035.3389182,08/15/2022--09:33:55,1441617.65,22384760.5
1660548110.1855645,08/15/2022--17:21:50,1199824.2,20955897.7
1660633733.4457946,08/16/2022--17:08:53,1397852.8,22379549.6
1660662258.480969,08/17/2022--01:04:18,826741.7,4973828.85
1660692425.9171295,08/17/2022--09:27:05,307112.7,267487.65
1660720046.0474148,08/17/2022--17:07:26,1263415.45,21389494.35
1660748548.0576525,08/18/2022--01:02:28,1765134.3,20292026.05
1660778179.3441532,08/18/2022--09:16:19,724191.9,4462100.7
1660807681.1939256,08/18/2022--17:28:01,1616187.0,16924901.65
1660835293.140338,08/19/2022--01:08:13,1750211.2,18589619.7
1660864583.2861524,08/19/2022--09:16:23,1202928.85,11056194.7
1660892982.9673333,08/19/2022--17:09:42,3269198.95,39901031.45
1660921520.297617,08/20/2022--01:05:20,1147909.55,8180474.55
1660950648.5543876,08/20/2022--09:10:48,1718165.95,13008328.65
1660979282.6113882,08/20/2022--17:08:02,862621.1,10787369.5
1661036095.206883,08/21/2022--08:54:55,1242638.3,13820423.1
1661064380.1041234,08/21/2022--16:46:20,959237.8,11968127.75
1661123013.330709,08/22/2022--09:03:33,1555440.9,12144627.4
1661208404.7366545,08/23/2022--08:46:44,820050.5,5218943.4
1661237565.4076488,08/23/2022--16:52:45,1049956.35,10245423.65
1661266871.3852978,08/24/2022--01:01:11,755064.8,4778276.0
1661296200.2926245,08/24/2022--09:10:00,544344.2,2978036.4
1661352340.4753387,08/25/2022--00:45:40,631283.7,9711995.55
1661381476.9667122,08/25/2022--08:51:16,613658.0,10074883.25
1661468398.2601244,08/26/2022--08:59:58,833138.4,10411785.05
1661526117.894191,08/27/2022--01:01:57,870892.75,12539655.95
1661554881.5495105,08/27/2022--09:01:21,9679692.0,47812616.35
1661727756.8158545,08/29/2022--09:02:36,723413.55,4815517.3
1661756562.5978346,08/29/2022--17:02:42,633597.3,4070237.35
1661785309.2744918,08/30/2022--01:01:49,597101.15,5272568.4
1661814174.102714,08/30/2022--09:02:54,678813.0,9834487.55
1661842454.955498,08/30/2022--16:54:14,704414.95,12665370.85
1661900684.184366,08/31/2022--09:04:44,6171834.1,96079618.05
1661958420.0029917,09/01/2022--01:07:00,674036.6,12207154.55
1662015716.7539146,09/01/2022--17:01:56,652295.85,9760283.25
1662076772.6337636,09/02/2022--09:59:32,876385.7,13066629.85
