unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,3941593.4,9338993.8
1657807946.3195548,07/15/2022--00:12:26,2902311.8,7803421.45
1657865324.281464,07/15/2022--16:08:44,5966305.85,12550683.1
1657894118.107123,07/16/2022--00:08:38,4140768.65,10368100.6
1658812815.1912007,07/26/2022--15:20:15,5283041.65,13076861.7
1658815736.5710416,07/26/2022--16:08:56,4905598.3,12400299.45
1658844889.9973571,07/27/2022--00:14:49,5691479.2,11343793.0
1658848005.9232907,07/27/2022--01:06:45,6081786.35,12083759.0
1658876959.8061535,07/27/2022--09:09:19,5795998.2,10520514.15
1658906431.1616275,07/27/2022--17:20:31,6074841.1,12707020.9
1658964011.7123463,07/28/2022--09:20:11,4228790.0,13999587.35
1658991790.2457771,07/28/2022--17:03:10,4958615.15,15342046.5
1659049859.7900746,07/29/2022--09:10:59,7310090.65,22481753.2
1659079050.0223944,07/29/2022--17:17:30,5069853.95,11205567.6
1659135989.7470224,07/30/2022--09:06:29,5252853.0,16382279.75
1659164560.1930625,07/30/2022--17:02:40,5149298.5,17542938.6
1659193295.8534577,07/31/2022--01:01:35,6245655.9,21423022.55
1659223175.87765,07/31/2022--09:19:35,5904161.4,22208032.0
1659394922.9589896,08/02/2022--09:02:02,5909829.8,17997179.1
1659423710.70845,08/02/2022--17:01:50,5412045.3,14970915.4
1659452479.933005,08/03/2022--01:01:19,6137398.7,20713137.6
1659481254.5834172,08/03/2022--09:00:54,5565821.45,18408045.1
1659510483.5113194,08/03/2022--17:08:03,6261481.3,14885329.9
1659539025.8442419,08/04/2022--01:03:45,5292459.5,16985898.15
1659567977.65322,08/04/2022--09:06:17,5865698.1,16787609.5
1659596737.4315803,08/04/2022--17:05:37,4727062.6,13629331.4
1659625544.4629736,08/05/2022--01:05:44,4124847.8,9591892.0
1659654487.963708,08/05/2022--09:08:07,7091731.95,15811000.65
1659683098.9748487,08/05/2022--17:04:58,5558416.2,18130244.05
1659798058.491692,08/07/2022--01:00:58,5533872.95,21011559.65
1659826821.1099102,08/07/2022--09:00:21,5591944.3,20189773.2
1659886109.5671794,08/08/2022--01:28:29,5737862.75,19511577.15
1659915489.3146017,08/08/2022--09:38:09,5658606.1,18301445.5
1659942684.7980738,08/08/2022--17:11:24,6329873.4,22225422.3
1659971568.7314563,08/09/2022--01:12:48,5713514.2,20099228.35
1660030295.9264836,08/09/2022--17:31:35,5945110.25,23700227.1
1660172904.0226371,08/11/2022--09:08:24,5285069.0,25626318.1
1660202153.9173074,08/11/2022--17:15:53,10539706.5,23259991.5
1660260089.9444501,08/12/2022--09:21:29,6468395.45,23086576.0
1660288029.6810946,08/12/2022--17:07:09,5803210.35,17285548.85
1660316972.8768725,08/13/2022--01:09:32,7005411.65,24950287.65
1660347292.7260678,08/13/2022--09:34:52,5697542.2,23113807.45
1660374586.0104291,08/13/2022--17:09:46,6136125.95,21168818.95
1660434289.4885554,08/14/2022--09:44:49,6310316.15,22483293.3
1660462690.270382,08/14/2022--17:38:10,5725867.65,19762654.15
1660490144.9181502,08/15/2022--01:15:44,5938806.65,19453426.95
1660520035.3389182,08/15/2022--09:33:55,5540572.8,19332932.65
1660548110.1855645,08/15/2022--17:21:50,5459753.6,18437971.65
1660633733.4457946,08/16/2022--17:08:53,6511978.05,22818621.85
1660662258.480969,08/17/2022--01:04:18,5731557.4,17604093.95
1660692425.9171295,08/17/2022--09:27:05,5648064.1,15143148.75
1660720046.0474148,08/17/2022--17:07:26,5522366.15,13209925.75
1660748548.0576525,08/18/2022--01:02:28,5113498.05,10953859.75
1660778179.3441532,08/18/2022--09:16:19,5051267.2,12082633.55
1660807681.1939256,08/18/2022--17:28:01,5271589.0,11331015.3
1660835293.140338,08/19/2022--01:08:13,4581267.1,10394694.35
1660864583.2861524,08/19/2022--09:16:23,5364975.15,12675523.05
1660892982.9673333,08/19/2022--17:09:42,8655390.55,23439186.35
1660921520.297617,08/20/2022--01:05:20,4629291.75,10767261.7
1660950648.5543876,08/20/2022--09:10:48,5122208.75,11081226.4
1660979282.6113882,08/20/2022--17:08:02,5259226.9,15156558.5
1661036095.206883,08/21/2022--08:54:55,5045869.5,10963413.95
1661064380.1041234,08/21/2022--16:46:20,11657655.3,25617790.5
1661123013.330709,08/22/2022--09:03:33,5881026.75,12331809.95
1661208404.7366545,08/23/2022--08:46:44,5276745.25,11387093.15
1661237565.4076488,08/23/2022--16:52:45,11364664.2,25918971.05
1661266871.3852978,08/24/2022--01:01:11,4173011.25,18280736.6
1661296200.2926245,08/24/2022--09:10:00,6290188.35,13529247.55
1661352340.4753387,08/25/2022--00:45:40,5562429.3,13330713.4
1661381476.9667122,08/25/2022--08:51:16,4351604.8,13334116.65
1661468398.2601244,08/26/2022--08:59:58,6087545.55,16930099.4
1661526117.894191,08/27/2022--01:01:57,5553487.15,15656501.45
1661554881.5495105,08/27/2022--09:01:21,4202307.85,17578054.75
1661727756.8158545,08/29/2022--09:02:36,5201851.35,15708453.4
1661756562.5978346,08/29/2022--17:02:42,5857804.95,25338621.15
1661785309.2744918,08/30/2022--01:01:49,4916198.55,17228077.8
1661814174.102714,08/30/2022--09:02:54,5022389.4,22388774.15
1661842454.955498,08/30/2022--16:54:14,5344498.7,23054468.5
1661900684.184366,08/31/2022--09:04:44,5039772.0,21206701.25
1661958420.0029917,09/01/2022--01:07:00,4697461.8,29368773.2
1662015716.7539146,09/01/2022--17:01:56,4649237.0,27811117.55
1662076772.6337636,09/02/2022--09:59:32,4718621.05,16247766.15
