unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,4868.75,64418.85
1657807946.3195548,07/15/2022--00:12:26,4739.55,62709.65
1657894118.107123,07/16/2022--00:08:38,1500.2,6282.55
1658812815.1912007,07/26/2022--15:20:15,4251.6,56253.15
1658815736.5710416,07/26/2022--16:08:56,4255.55,56305.2
1658844889.9973571,07/27/2022--00:14:49,5149.25,68130.3
1658848005.9232907,07/27/2022--01:06:45,5152.05,68167.15
1658876959.8061535,07/27/2022--09:09:19,5211.25,68950.15
1658906431.1616275,07/27/2022--17:20:31,1659.2,13418.0
1658964011.7123463,07/28/2022--09:20:11,9332.15,123474.35
1658991790.2457771,07/28/2022--17:03:10,4643.5,61438.4
1659049859.7900746,07/29/2022--09:10:59,4873.55,64482.55
1659079050.0223944,07/29/2022--17:17:30,5091.9,67371.25
1659135989.7470224,07/30/2022--09:06:29,6312.6,83522.8
1659164560.1930625,07/30/2022--17:02:40,4468.25,59119.8
1659193295.8534577,07/31/2022--01:01:35,9057.1,119835.1
1659223175.87765,07/31/2022--09:19:35,6892.55,91195.75
1659394922.9589896,08/02/2022--09:02:02,7226.15,95609.6
1659423710.70845,08/02/2022--17:01:50,1592.65,3892.6
1659452479.933005,08/03/2022--01:01:19,4803.55,63556.0
1659481254.5834172,08/03/2022--09:00:54,5242.0,69357.25
1659510483.5113194,08/03/2022--17:08:03,1999.6,5938.2
1659539025.8442419,08/04/2022--01:03:45,1199.05,4217.5
1659567977.65322,08/04/2022--09:06:17,4048.55,53566.7
1659596737.4315803,08/04/2022--17:05:37,4906.05,64912.5
1659625544.4629736,08/05/2022--01:05:44,4654.15,61579.7
1659654487.963708,08/05/2022--09:08:07,5894.05,77984.85
1659683098.9748487,08/05/2022--17:04:58,7580.55,100299.15
1659798058.491692,08/07/2022--01:00:58,4315.7,57101.05
1659826821.1099102,08/07/2022--09:00:21,4421.65,58503.0
1659886109.5671794,08/08/2022--01:28:29,4893.55,64746.65
1659915489.3146017,08/08/2022--09:38:09,5908.15,78171.25
1659942684.7980738,08/08/2022--17:11:24,5227.3,69162.9
1659971568.7314563,08/09/2022--01:12:48,4927.4,65194.65
1660030295.9264836,08/09/2022--17:31:35,5160.45,68278.65
1660172904.0226371,08/11/2022--09:08:24,6408.2,84787.2
1660202153.9173074,08/11/2022--17:15:53,6313.7,83536.85
1660260089.9444501,08/12/2022--09:21:29,5882.55,77832.7
1660288029.6810946,08/12/2022--17:07:09,4854.05,64224.2
1660316972.8768725,08/13/2022--01:09:32,8175.9,108175.8
1660347292.7260678,08/13/2022--09:34:52,5896.1,78012.05
1660374586.0104291,08/13/2022--17:09:46,6316.8,9862.5
1660434289.4885554,08/14/2022--09:44:49,4821.35,63791.65
1660462690.270382,08/14/2022--17:38:10,5018.75,66403.8
1660490144.9181502,08/15/2022--01:15:44,4033.6,53368.65
1660520035.3389182,08/15/2022--09:33:55,5196.95,68761.2
1660548110.1855645,08/15/2022--17:21:50,10920.2,144486.2
1660633733.4457946,08/16/2022--17:08:53,7785.35,103008.45
1660662258.480969,08/17/2022--01:04:18,6964.6,92148.85
1660692425.9171295,08/17/2022--09:27:05,1414.5,5488.2
1660720046.0474148,08/17/2022--17:07:26,1706.5,5092.5
1660748548.0576525,08/18/2022--01:02:28,1394.9,4959.1
1660778179.3441532,08/18/2022--09:16:19,3674.4,48616.15
1660807681.1939256,08/18/2022--17:28:01,5921.05,78342.15
1660835293.140338,08/19/2022--01:08:13,6363.8,84200.15
1660864583.2861524,08/19/2022--09:16:23,4333.35,57334.8
1660892982.9673333,08/19/2022--17:09:42,5851.1,77416.45
1660921520.297617,08/20/2022--01:05:20,6486.5,85823.7
1660950648.5543876,08/20/2022--09:10:48,4798.2,63485.55
1660979282.6113882,08/20/2022--17:08:02,2079.45,8200.15
1661036095.206883,08/21/2022--08:54:55,7171.25,94883.05
1661064380.1041234,08/21/2022--16:46:20,1304.95,5795.1
1661123013.330709,08/22/2022--09:03:33,1696.7,10136.85
1661208404.7366545,08/23/2022--08:46:44,6256.75,82783.4
1661237565.4076488,08/23/2022--16:52:45,4805.0,63575.45
1661266871.3852978,08/24/2022--01:01:11,4556.4,60286.3
1661296200.2926245,08/24/2022--09:10:00,4349.5,57548.7
1661352340.4753387,08/25/2022--00:45:40,6398.0,84652.7
1661381476.9667122,08/25/2022--08:51:16,4276.45,56581.85
1661468398.2601244,08/26/2022--08:59:58,4981.65,65912.5
1661526117.894191,08/27/2022--01:01:57,4278.55,56609.65
1661554881.5495105,08/27/2022--09:01:21,3689.15,48811.2
1661727756.8158545,08/29/2022--09:02:36,1138.0,7513.65
1661756562.5978346,08/29/2022--17:02:42,4238.55,56080.75
1661785309.2744918,08/30/2022--01:01:49,3702.85,48993.0
1661814174.102714,08/30/2022--09:02:54,1095.9,6676.05
1661842454.955498,08/30/2022--16:54:14,1513.75,8078.0
1661900684.184366,08/31/2022--09:04:44,5730.8,75825.0
1661958420.0029917,09/01/2022--01:07:00,5364.55,70978.8
1662015716.7539146,09/01/2022--17:01:56,4157.1,55002.95
1662076772.6337636,09/02/2022--09:59:32,4164.55,55101.2
