unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,6376013.6,25007963.65
1657807946.3195548,07/15/2022--00:12:26,5479668.5,77738.5
1657865324.281464,07/15/2022--16:08:44,4739138.85,24071920.8
1657894118.107123,07/16/2022--00:08:38,8712440.35,46876225.95
1658812815.1912007,07/26/2022--15:20:15,12443451.15,51579543.9
1658815736.5710416,07/26/2022--16:08:56,11623306.1,46792099.25
1658844889.9973571,07/27/2022--00:14:49,10648555.4,50100574.9
1658848005.9232907,07/27/2022--01:06:45,11288264.7,44387036.2
1658876959.8061535,07/27/2022--09:09:19,12017599.65,44008782.6
1658906431.1616275,07/27/2022--17:20:31,5488679.15,35714.4
1658964011.7123463,07/28/2022--09:20:11,7684014.3,56456889.35
1658991790.2457771,07/28/2022--17:03:10,11675516.95,45875374.7
1659049859.7900746,07/29/2022--09:10:59,7523255.65,54613611.95
1659079050.0223944,07/29/2022--17:17:30,10361909.25,51794619.4
1659135989.7470224,07/30/2022--09:06:29,7132016.85,56071523.2
1659164560.1930625,07/30/2022--17:02:40,9552847.4,42406924.65
1659193295.8534577,07/31/2022--01:01:35,9342543.65,45764514.95
1659223175.87765,07/31/2022--09:19:35,9754136.75,52083958.15
1659394922.9589896,08/02/2022--09:02:02,10302253.25,48432303.4
1659423710.70845,08/02/2022--17:01:50,8187515.5,47265844.4
1659452479.933005,08/03/2022--01:01:19,12191586.85,44382668.05
1659481254.5834172,08/03/2022--09:00:54,13131662.4,45908938.45
1659510483.5113194,08/03/2022--17:08:03,6393798.5,54461.35
1659539025.8442419,08/04/2022--01:03:45,5219199.85,46871.2
1659567977.65322,08/04/2022--09:06:17,5259889.8,46422.65
1659596737.4315803,08/04/2022--17:05:37,7609597.65,48911451.5
1659625544.4629736,08/05/2022--01:05:44,12392108.35,59624455.7
1659654487.963708,08/05/2022--09:08:07,13494104.55,37199142.05
1659683098.9748487,08/05/2022--17:04:58,9129695.15,41680789.45
1659798058.491692,08/07/2022--01:00:58,8439800.35,57690400.55
1659826821.1099102,08/07/2022--09:00:21,10566060.5,60484733.35
1659886109.5671794,08/08/2022--01:28:29,8200333.55,50787083.6
1659915489.3146017,08/08/2022--09:38:09,8776983.15,52517818.9
1659942684.7980738,08/08/2022--17:11:24,8071544.75,45640049.3
1659971568.7314563,08/09/2022--01:12:48,8784899.8,49375947.8
1660030295.9264836,08/09/2022--17:31:35,10928886.35,43788438.6
1660172904.0226371,08/11/2022--09:08:24,5420999.15,32040.45
1660202153.9173074,08/11/2022--17:15:53,9644654.3,46784139.2
1660260089.9444501,08/12/2022--09:21:29,4047898.8,31854.5
1660288029.6810946,08/12/2022--17:07:09,5804788.1,47632.75
1660316972.8768725,08/13/2022--01:09:32,9830488.3,46612846.6
1660347292.7260678,08/13/2022--09:34:52,9364442.35,47726167.05
1660374586.0104291,08/13/2022--17:09:46,8678653.95,54057411.55
1660434289.4885554,08/14/2022--09:44:49,5628155.55,20028.05
1660462690.270382,08/14/2022--17:38:10,5795559.7,18702.15
1660490144.9181502,08/15/2022--01:15:44,7029827.65,54950545.15
1660520035.3389182,08/15/2022--09:33:55,6871327.85,51289515.35
1660548110.1855645,08/15/2022--17:21:50,7868638.55,53206551.75
1660633733.4457946,08/16/2022--17:08:53,5656037.55,47348.35
1660662258.480969,08/17/2022--01:04:18,8512747.2,51908664.55
1660692425.9171295,08/17/2022--09:27:05,9976487.7,46249186.45
1660720046.0474148,08/17/2022--17:07:26,8544238.85,39475793.8
1660748548.0576525,08/18/2022--01:02:28,7383781.05,41099383.05
1660778179.3441532,08/18/2022--09:16:19,10222938.6,50622285.0
1660807681.1939256,08/18/2022--17:28:01,9268720.75,55817128.05
1660835293.140338,08/19/2022--01:08:13,8240984.9,57220160.7
1660864583.2861524,08/19/2022--09:16:23,6156683.25,15406.45
1660892982.9673333,08/19/2022--17:09:42,4280663.8,77379.4
1660921520.297617,08/20/2022--01:05:20,4138726.3,75563.95
1660950648.5543876,08/20/2022--09:10:48,4462889.3,79402.4
1660979282.6113882,08/20/2022--17:08:02,4077781.7,38917.25
1661036095.206883,08/21/2022--08:54:55,5424626.3,40879.9
1661064380.1041234,08/21/2022--16:46:20,5858894.6,51638.3
1661123013.330709,08/22/2022--09:03:33,5352474.9,41425.7
1661208404.7366545,08/23/2022--08:46:44,8585774.5,34373257.3
1661237565.4076488,08/23/2022--16:52:45,11116224.85,47523366.0
1661266871.3852978,08/24/2022--01:01:11,4077628.75,39440.75
1661296200.2926245,08/24/2022--09:10:00,4298822.25,43126846.85
1661352340.4753387,08/25/2022--00:45:40,8544369.65,42695491.1
1661381476.9667122,08/25/2022--08:51:16,4489453.65,26052460.5
1661468398.2601244,08/26/2022--08:59:58,9908769.25,42018700.0
1661526117.894191,08/27/2022--01:01:57,8154175.95,37755144.35
1661554881.5495105,08/27/2022--09:01:21,5528495.7,51708.45
1661727756.8158545,08/29/2022--09:02:36,7275626.85,40746386.6
1661756562.5978346,08/29/2022--17:02:42,5271200.1,45689.1
1661785309.2744918,08/30/2022--01:01:49,10775158.65,43457909.9
1661814174.102714,08/30/2022--09:02:54,8924287.9,51249471.85
1661842454.955498,08/30/2022--16:54:14,5855458.3,36301.65
1661900684.184366,08/31/2022--09:04:44,4084954.2,35195.05
1661958420.0029917,09/01/2022--01:07:00,4474525.85,63628.9
1662015716.7539146,09/01/2022--17:01:56,3590783.6,42859.6
1662076772.6337636,09/02/2022--09:59:32,5110166.4,26601.1
