unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,390973.9,1399365.45
1657807946.3195548,07/15/2022--00:12:26,571979.75,409834.5
1657865324.281464,07/15/2022--16:08:44,346537.65,2137808.85
1657894118.107123,07/16/2022--00:08:38,358527.1,2341337.45
1658812815.1912007,07/26/2022--15:20:15,396946.0,1340823.9
1658815736.5710416,07/26/2022--16:08:56,357315.25,1326777.85
1658844889.9973571,07/27/2022--00:14:49,450036.85,37839.9
1658848005.9232907,07/27/2022--01:06:45,483469.4,38486.9
1658876959.8061535,07/27/2022--09:09:19,492321.7,1541949.75
1658906431.1616275,07/27/2022--17:20:31,559628.2,428100.8
1658964011.7123463,07/28/2022--09:20:11,674614.6,2171981.8
1658991790.2457771,07/28/2022--17:03:10,510626.35,498395.45
1659049859.7900746,07/29/2022--09:10:59,539644.2,2852456.0
1659079050.0223944,07/29/2022--17:17:30,538063.2,3717007.0
1659135989.7470224,07/30/2022--09:06:29,530285.3,3718788.7
1659164560.1930625,07/30/2022--17:02:40,1213857.9,4907494.85
1659193295.8534577,07/31/2022--01:01:35,723089.85,639340.8
1659223175.87765,07/31/2022--09:19:35,860914.15,792011.5
1659394922.9589896,08/02/2022--09:02:02,474103.85,2865709.55
1659423710.70845,08/02/2022--17:01:50,573744.85,3717233.3
1659452479.933005,08/03/2022--01:01:19,618331.95,3965538.9
1659481254.5834172,08/03/2022--09:00:54,601470.35,3346355.45
1659510483.5113194,08/03/2022--17:08:03,876216.35,4415709.85
1659539025.8442419,08/04/2022--01:03:45,1192421.25,3730895.85
1659567977.65322,08/04/2022--09:06:17,835604.5,4403772.2
1659596737.4315803,08/04/2022--17:05:37,503129.7,2292847.75
1659625544.4629736,08/05/2022--01:05:44,560693.7,2998583.35
1659654487.963708,08/05/2022--09:08:07,644681.1,2998588.15
1659683098.9748487,08/05/2022--17:04:58,983778.95,4946062.05
1659798058.491692,08/07/2022--01:00:58,533848.1,1961457.4
1659826821.1099102,08/07/2022--09:00:21,580878.65,330958.25
1659886109.5671794,08/08/2022--01:28:29,496673.05,3053923.75
1659915489.3146017,08/08/2022--09:38:09,593509.15,2989605.25
1659942684.7980738,08/08/2022--17:11:24,417806.85,2367495.25
1659971568.7314563,08/09/2022--01:12:48,627997.15,3242268.5
1660030295.9264836,08/09/2022--17:31:35,494513.2,2534099.95
1660172904.0226371,08/11/2022--09:08:24,608078.7,3662232.4
1660202153.9173074,08/11/2022--17:15:53,761216.25,5012107.7
1660260089.9444501,08/12/2022--09:21:29,503837.55,3419013.85
1660288029.6810946,08/12/2022--17:07:09,471973.85,3455385.8
1660316972.8768725,08/13/2022--01:09:32,652491.85,4275864.9
1660347292.7260678,08/13/2022--09:34:52,580641.35,4069861.75
1660374586.0104291,08/13/2022--17:09:46,624865.5,4073414.95
1660434289.4885554,08/14/2022--09:44:49,575188.25,4741189.65
1660462690.270382,08/14/2022--17:38:10,425449.4,329600.65
1660490144.9181502,08/15/2022--01:15:44,607408.05,4219694.25
1660520035.3389182,08/15/2022--09:33:55,528627.75,3282430.85
1660548110.1855645,08/15/2022--17:21:50,805766.95,5415019.25
1660633733.4457946,08/16/2022--17:08:53,444620.85,3166013.9
1660662258.480969,08/17/2022--01:04:18,512633.15,3254972.5
1660692425.9171295,08/17/2022--09:27:05,547201.55,4085724.9
1660720046.0474148,08/17/2022--17:07:26,944845.9,6479730.5
1660748548.0576525,08/18/2022--01:02:28,569972.65,3879402.45
1660778179.3441532,08/18/2022--09:16:19,751305.75,3034102.95
1660807681.1939256,08/18/2022--17:28:01,936522.35,3609405.85
1660835293.140338,08/19/2022--01:08:13,1156124.45,4072574.3
1660864583.2861524,08/19/2022--09:16:23,345261.55,1190036.15
