unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,4645249.7,10353331.55
1657807946.3195548,07/15/2022--00:12:26,1060505.55,2341940.9
1657865324.281464,07/15/2022--16:08:44,2740811.05,5486501.8
1657894118.107123,07/16/2022--00:08:38,3081363.45,5625246.0
1658812815.1912007,07/26/2022--15:20:15,889706.05,1455979.85
1658815736.5710416,07/26/2022--16:08:56,890949.45,1450754.95
1658844889.9973571,07/27/2022--00:14:49,1270870.55,1998385.15
1658848005.9232907,07/27/2022--01:06:45,1214767.35,1706182.75
1658876959.8061535,07/27/2022--09:09:19,1115498.85,1622540.6
1658906431.1616275,07/27/2022--17:20:31,1493002.55,2085859.15
1658964011.7123463,07/28/2022--09:20:11,2758602.35,3971537.5
1658991790.2457771,07/28/2022--17:03:10,2164878.9,2760704.05
1659049859.7900746,07/29/2022--09:10:59,2273213.9,2989137.55
1659079050.0223944,07/29/2022--17:17:30,2092154.15,2786860.2
1659135989.7470224,07/30/2022--09:06:29,2179516.15,2644142.7
1659164560.1930625,07/30/2022--17:02:40,1919666.0,2280859.15
1659193295.8534577,07/31/2022--01:01:35,2160457.75,2660107.4
1659223175.87765,07/31/2022--09:19:35,2095920.95,2680612.65
1659394922.9589896,08/02/2022--09:02:02,1851958.95,2236078.5
1659423710.70845,08/02/2022--17:01:50,1880111.25,2404225.3
1659452479.933005,08/03/2022--01:01:19,3161028.85,3759281.2
1659481254.5834172,08/03/2022--09:00:54,2845374.85,3548032.0
1659510483.5113194,08/03/2022--17:08:03,2240490.55,2517720.4
1659539025.8442419,08/04/2022--01:03:45,1939832.65,2256258.25
1659567977.65322,08/04/2022--09:06:17,1890000.35,2227437.05
1659596737.4315803,08/04/2022--17:05:37,2301293.05,2816317.25
1659625544.4629736,08/05/2022--01:05:44,1957330.1,2407526.9
1659654487.963708,08/05/2022--09:08:07,1989529.55,2627732.95
1659683098.9748487,08/05/2022--17:04:58,2218685.15,2930551.25
1659798058.491692,08/07/2022--01:00:58,2735745.8,3465074.15
1659826821.1099102,08/07/2022--09:00:21,2315728.2,2790863.3
1659886109.5671794,08/08/2022--01:28:29,2113245.7,2713528.4
1659915489.3146017,08/08/2022--09:38:09,2211295.3,2829320.6
1659942684.7980738,08/08/2022--17:11:24,2904612.95,3618266.6
1659971568.7314563,08/09/2022--01:12:48,1891073.05,2099949.85
1660030295.9264836,08/09/2022--17:31:35,2820699.95,3428376.5
1660172904.0226371,08/11/2022--09:08:24,2862375.9,3792927.15
1660202153.9173074,08/11/2022--17:15:53,3004069.25,4064973.75
1660260089.9444501,08/12/2022--09:21:29,2133223.7,3411025.55
1660288029.6810946,08/12/2022--17:07:09,2145427.1,3321049.15
1660316972.8768725,08/13/2022--01:09:32,1881967.15,2930605.9
1660347292.7260678,08/13/2022--09:34:52,2198744.95,3461231.9
1660374586.0104291,08/13/2022--17:09:46,2058993.6,3309342.6
1660434289.4885554,08/14/2022--09:44:49,2313837.9,3450439.75
1660462690.270382,08/14/2022--17:38:10,2302746.6,3314238.15
1660490144.9181502,08/15/2022--01:15:44,2333135.9,3416364.45
1660520035.3389182,08/15/2022--09:33:55,2034143.6,3080199.85
1660548110.1855645,08/15/2022--17:21:50,2061607.5,3104720.1
1660633733.4457946,08/16/2022--17:08:53,1688854.35,2319202.75
1660662258.480969,08/17/2022--01:04:18,1239294.15,1844895.2
1660692425.9171295,08/17/2022--09:27:05,1531661.45,2300390.65
1660720046.0474148,08/17/2022--17:07:26,1987749.45,2829788.95
1660748548.0576525,08/18/2022--01:02:28,1348473.2,2137458.55
1660778179.3441532,08/18/2022--09:16:19,1205378.2,2018427.35
1660807681.1939256,08/18/2022--17:28:01,1247262.95,2087071.5
1660835293.140338,08/19/2022--01:08:13,1091910.05,1890961.8
1660864583.2861524,08/19/2022--09:16:23,1222173.15,2118841.2
1660892982.9673333,08/19/2022--17:09:42,911752.0,2136668.85
1660921520.297617,08/20/2022--01:05:20,1138689.15,1929896.15
1660950648.5543876,08/20/2022--09:10:48,2266061.5,4498342.35
1660979282.6113882,08/20/2022--17:08:02,1488245.2,2951822.4
1661036095.206883,08/21/2022--08:54:55,1039839.7,2587581.1
1661064380.1041234,08/21/2022--16:46:20,1049569.95,2716617.45
1661123013.330709,08/22/2022--09:03:33,758073.65,1933422.55
1661208404.7366545,08/23/2022--08:46:44,1121064.5,2588310.3
1661237565.4076488,08/23/2022--16:52:45,985480.7,2471896.35
1661266871.3852978,08/24/2022--01:01:11,1067450.95,2698744.65
1661296200.2926245,08/24/2022--09:10:00,933061.6,2345238.5
1661352340.4753387,08/25/2022--00:45:40,979499.75,2445949.4
1661381476.9667122,08/25/2022--08:51:16,897700.1,2368223.4
1661468398.2601244,08/26/2022--08:59:58,466451.4,2711469.0
1661526117.894191,08/27/2022--01:01:57,463191.7,3017870.9
1661554881.5495105,08/27/2022--09:01:21,640909.85,2550307.6
1661727756.8158545,08/29/2022--09:02:36,448642.15,2385253.75
1661756562.5978346,08/29/2022--17:02:42,686195.8,2855885.35
1661785309.2744918,08/30/2022--01:01:49,547087.3,2284207.8
1661814174.102714,08/30/2022--09:02:54,572429.4,2368239.0
1661842454.955498,08/30/2022--16:54:14,616382.4,2519133.35
1661900684.184366,08/31/2022--09:04:44,2887154.5,12928772.1
1661958420.0029917,09/01/2022--01:07:00,586856.05,1958867.1
1662015716.7539146,09/01/2022--17:01:56,566031.2,2500703.3
1662076772.6337636,09/02/2022--09:59:32,333394.0,2654543.55
