unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,124371.2,1725125.05
1657807946.3195548,07/15/2022--00:12:26,99994.75,974058.15
1657865324.281464,07/15/2022--16:08:44,70504.55,1290133.9
1657894118.107123,07/16/2022--00:08:38,160992.0,2984909.75
1658812815.1912007,07/26/2022--15:20:15,104810.85,2645005.15
1658815736.5710416,07/26/2022--16:08:56,88790.2,2095004.6
1658844889.9973571,07/27/2022--00:14:49,106445.0,2073575.2
1658848005.9232907,07/27/2022--01:06:45,120675.7,2372823.45
1658876959.8061535,07/27/2022--09:09:19,76897.45,1358634.75
1658906431.1616275,07/27/2022--17:20:31,146632.8,2299312.15
1658964011.7123463,07/28/2022--09:20:11,99446.55,2062416.95
1658991790.2457771,07/28/2022--17:03:10,102827.35,1928444.95
1659049859.7900746,07/29/2022--09:10:59,249178.9,2232571.5
1659079050.0223944,07/29/2022--17:17:30,172320.6,154637.4
1659135989.7470224,07/30/2022--09:06:29,320812.7,3502757.85
1659164560.1930625,07/30/2022--17:02:40,199926.95,2337565.0
1659193295.8534577,07/31/2022--01:01:35,140791.5,118741.8
1659223175.87765,07/31/2022--09:19:35,229206.35,3843437.75
1659394922.9589896,08/02/2022--09:02:02,88891.2,2921731.3
1659423710.70845,08/02/2022--17:01:50,94031.95,68753.35
1659452479.933005,08/03/2022--01:01:19,47134.1,1103388.4
1659481254.5834172,08/03/2022--09:00:54,132010.95,3459448.25
1659510483.5113194,08/03/2022--17:08:03,104748.95,100072.45
1659539025.8442419,08/04/2022--01:03:45,106613.6,2725193.35
1659567977.65322,08/04/2022--09:06:17,76494.85,84278.2
1659596737.4315803,08/04/2022--17:05:37,65457.85,79805.2
1659625544.4629736,08/05/2022--01:05:44,66123.2,64769.05
1659654487.963708,08/05/2022--09:08:07,66418.6,1497163.8
1659683098.9748487,08/05/2022--17:04:58,146830.05,112862.75
1659798058.491692,08/07/2022--01:00:58,142233.45,101581.1
1659826821.1099102,08/07/2022--09:00:21,365783.9,2277991.65
1659886109.5671794,08/08/2022--01:28:29,215969.0,177130.7
1659915489.3146017,08/08/2022--09:38:09,413309.65,4116417.2
1659942684.7980738,08/08/2022--17:11:24,387878.35,2964593.7
1659971568.7314563,08/09/2022--01:12:48,345744.95,3575366.95
1660030295.9264836,08/09/2022--17:31:35,163750.3,145587.7
1660172904.0226371,08/11/2022--09:08:24,134150.1,100920.65
1660202153.9173074,08/11/2022--17:15:53,93046.4,90626.65
1660260089.9444501,08/12/2022--09:21:29,398830.25,3902103.8
1660288029.6810946,08/12/2022--17:07:09,159642.05,142957.15
1660316972.8768725,08/13/2022--01:09:32,420331.5,4513938.8
1660347292.7260678,08/13/2022--09:34:52,398499.5,4162966.6
1660374586.0104291,08/13/2022--17:09:46,367903.25,5762761.15
1660434289.4885554,08/14/2022--09:44:49,549071.25,8225949.35
1660462690.270382,08/14/2022--17:38:10,333395.55,4140924.45
1660490144.9181502,08/15/2022--01:15:44,427231.0,5806420.4
1660520035.3389182,08/15/2022--09:33:55,316232.6,3625217.35
1660548110.1855645,08/15/2022--17:21:50,377879.65,3995245.6
1660633733.4457946,08/16/2022--17:08:53,433678.65,4217702.35
1660662258.480969,08/17/2022--01:04:18,502070.85,4893596.95
1660692425.9171295,08/17/2022--09:27:05,506088.95,4671345.3
1660720046.0474148,08/17/2022--17:07:26,284442.9,5334174.45
1660748548.0576525,08/18/2022--01:02:28,271369.65,199777.85
1660778179.3441532,08/18/2022--09:16:19,181094.2,125935.75
1660807681.1939256,08/18/2022--17:28:01,301275.95,2922470.85
1660835293.140338,08/19/2022--01:08:13,173431.05,1819573.95
1660864583.2861524,08/19/2022--09:16:23,77280.55,88295.1
1660892982.9673333,08/19/2022--17:09:42,54045.2,53646.55
1660921520.297617,08/20/2022--01:05:20,297445.05,3388232.2
1660950648.5543876,08/20/2022--09:10:48,539619.95,4190793.55
1660979282.6113882,08/20/2022--17:08:02,222300.5,2240994.05
1661036095.206883,08/21/2022--08:54:55,106468.85,128319.7
1661064380.1041234,08/21/2022--16:46:20,204958.25,2701280.3
1661123013.330709,08/22/2022--09:03:33,201446.1,1704957.8
1661208404.7366545,08/23/2022--08:46:44,137777.0,1703948.9
1661237565.4076488,08/23/2022--16:52:45,197648.6,3867038.75
1661266871.3852978,08/24/2022--01:01:11,303444.45,3793762.2
1661296200.2926245,08/24/2022--09:10:00,460703.9,4078596.85
1661352340.4753387,08/25/2022--00:45:40,226294.75,1963556.95
1661381476.9667122,08/25/2022--08:51:16,297239.75,2770539.7
1661468398.2601244,08/26/2022--08:59:58,241879.15,1730817.7
1661526117.894191,08/27/2022--01:01:57,128042.1,916659.95
1661554881.5495105,08/27/2022--09:01:21,117854.55,1042294.25
1661727756.8158545,08/29/2022--09:02:36,218744.25,2541027.5
1661756562.5978346,08/29/2022--17:02:42,50268.05,901810.0
1661785309.2744918,08/30/2022--01:01:49,201341.4,1364922.35
1661814174.102714,08/30/2022--09:02:54,137021.35,1730040.55
1661842454.955498,08/30/2022--16:54:14,163030.05,1084668.25
1661900684.184366,08/31/2022--09:04:44,148296.1,890390.95
1661958420.0029917,09/01/2022--01:07:00,128335.25,1141795.2
1662015716.7539146,09/01/2022--17:01:56,141833.15,114591.35
1662076772.6337636,09/02/2022--09:59:32,135855.2,813166.3
