unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,2723927.85,6418713.95
1657807946.3195548,07/15/2022--00:12:26,3146225.75,7855873.6
1657865324.281464,07/15/2022--16:08:44,3195397.75,6113347.45
1657894118.107123,07/16/2022--00:08:38,3075771.65,5747539.0
1658812815.1912007,07/26/2022--15:20:15,26270410.45,10883600.75
1658815736.5710416,07/26/2022--16:08:56,26776435.2,10841927.3
1658844889.9973571,07/27/2022--00:14:49,22619124.5,8554559.1
1658848005.9232907,07/27/2022--01:06:45,21608599.05,8787933.35
1658876959.8061535,07/27/2022--09:09:19,20180624.75,8837666.15
1658906431.1616275,07/27/2022--17:20:31,9398652.95,9572440.25
1658964011.7123463,07/28/2022--09:20:11,3884621.1,6134833.7
1658991790.2457771,07/28/2022--17:03:10,3032504.0,312685.85
1659049859.7900746,07/29/2022--09:10:59,3881714.8,7688121.0
1659079050.0223944,07/29/2022--17:17:30,3164361.05,576531.15
1659135989.7470224,07/30/2022--09:06:29,3846629.85,10935462.9
1659164560.1930625,07/30/2022--17:02:40,3080076.75,502594.2
1659193295.8534577,07/31/2022--01:01:35,4548461.15,14563957.05
1659223175.87765,07/31/2022--09:19:35,3669819.8,608860.1
1659394922.9589896,08/02/2022--09:02:02,4425732.6,669191.7
1659423710.70845,08/02/2022--17:01:50,3097662.1,13171232.35
1659452479.933005,08/03/2022--01:01:19,3508393.7,10550552.15
1659481254.5834172,08/03/2022--09:00:54,4977815.1,12635307.05
1659510483.5113194,08/03/2022--17:08:03,5296345.35,14045862.55
1659539025.8442419,08/04/2022--01:03:45,4761508.85,13456641.3
1659567977.65322,08/04/2022--09:06:17,4358534.7,11288750.15
1659596737.4315803,08/04/2022--17:05:37,3397439.25,9257138.7
1659625544.4629736,08/05/2022--01:05:44,5457309.1,14217365.6
1659654487.963708,08/05/2022--09:08:07,4302412.95,10354204.55
1659683098.9748487,08/05/2022--17:04:58,4916391.0,12600000.45
1659798058.491692,08/07/2022--01:00:58,2866799.5,600408.35
1659826821.1099102,08/07/2022--09:00:21,2814539.95,609233.2
1659886109.5671794,08/08/2022--01:28:29,2727400.05,502523.45
1659915489.3146017,08/08/2022--09:38:09,4036469.35,10142808.4
1659942684.7980738,08/08/2022--17:11:24,2657805.95,453145.5
1659971568.7314563,08/09/2022--01:12:48,5920118.4,12482183.6
1660030295.9264836,08/09/2022--17:31:35,6530344.3,12900501.05
1660172904.0226371,08/11/2022--09:08:24,5209991.85,18339726.55
1660202153.9173074,08/11/2022--17:15:53,2728999.45,585025.2
1660260089.9444501,08/12/2022--09:21:29,4123025.35,16124448.85
1660288029.6810946,08/12/2022--17:07:09,5195238.55,13344084.9
1660316972.8768725,08/13/2022--01:09:32,6192727.3,15800992.9
1660347292.7260678,08/13/2022--09:34:52,4422128.1,14934065.9
1660374586.0104291,08/13/2022--17:09:46,8679596.25,28575897.25
1660434289.4885554,08/14/2022--09:44:49,8283642.55,28282288.8
1660462690.270382,08/14/2022--17:38:10,8284854.2,27394154.9
1660490144.9181502,08/15/2022--01:15:44,7999994.55,25025717.15
1660520035.3389182,08/15/2022--09:33:55,8527909.2,26409211.35
1660548110.1855645,08/15/2022--17:21:50,6803058.25,25543272.55
1660633733.4457946,08/16/2022--17:08:53,7159211.95,24889669.65
1660662258.480969,08/17/2022--01:04:18,6452089.7,21974231.65
1660692425.9171295,08/17/2022--09:27:05,8896959.6,32560621.25
1660720046.0474148,08/17/2022--17:07:26,9254616.3,36465250.85
1660748548.0576525,08/18/2022--01:02:28,10605890.15,31436493.6
1660778179.3441532,08/18/2022--09:16:19,10995108.3,34304286.55
1660807681.1939256,08/18/2022--17:28:01,6976808.95,25550928.35
1660835293.140338,08/19/2022--01:08:13,7619433.35,24011156.45
1660864583.2861524,08/19/2022--09:16:23,7415326.85,23404740.55
1660892982.9673333,08/19/2022--17:09:42,15101494.0,38300962.55
1660921520.297617,08/20/2022--01:05:20,7017477.35,21247345.25
1660950648.5543876,08/20/2022--09:10:48,6856286.35,21628723.95
1660979282.6113882,08/20/2022--17:08:02,7199175.4,20388163.55
1661036095.206883,08/21/2022--08:54:55,6674087.1,21022658.35
1661064380.1041234,08/21/2022--16:46:20,4639565.95,14477226.25
1661123013.330709,08/22/2022--09:03:33,6608447.0,26251007.3
1661208404.7366545,08/23/2022--08:46:44,8055447.5,23930532.0
1661237565.4076488,08/23/2022--16:52:45,4302632.7,1806228.9
1661266871.3852978,08/24/2022--01:01:11,6330373.25,31093664.25
1661296200.2926245,08/24/2022--09:10:00,9377210.35,19249726.4
1661352340.4753387,08/25/2022--00:45:40,4279780.5,987952.2
1661381476.9667122,08/25/2022--08:51:16,4412315.8,1000331.35
1661468398.2601244,08/26/2022--08:59:58,5176900.8,1052406.1
1661526117.894191,08/27/2022--01:01:57,3951631.4,18213.8
1661554881.5495105,08/27/2022--09:01:21,4963461.35,764065.55
1661727756.8158545,08/29/2022--09:02:36,7659445.05,16553781.0
1661756562.5978346,08/29/2022--17:02:42,3908637.4,906652.95
1661785309.2744918,08/30/2022--01:01:49,3763256.65,19123.9
1661814174.102714,08/30/2022--09:02:54,3905538.7,11717.15
1661842454.955498,08/30/2022--16:54:14,5943467.95,17334132.7
1661900684.184366,08/31/2022--09:04:44,3591910.0,491062.75
1661958420.0029917,09/01/2022--01:07:00,11001656.25,17492278.35
1662015716.7539146,09/01/2022--17:01:56,4836049.5,9911010.65
1662076772.6337636,09/02/2022--09:59:32,9428693.3,18190579.2
