unixTime,dateTime,7,priceManip
1662610963.4657726,09/08/2022--14:22:43,504607.65,4773301.65
1662611794.007232,09/08/2022--14:36:34,4638249.7,40402537.9
1662611943.0167503,09/08/2022--14:39:03,5045731.65,40399286.3
1662621986.2405047,09/08/2022--17:26:26,32957401.4,140347990.9
1662622218.293981,09/08/2022--17:30:18,34235235.55,140353627.9
1662622778.1498172,09/08/2022--17:39:38,4827378.9,24743596.75
1662623809.4544508,09/08/2022--17:56:49,686628.5,4257916.85
1662624448.4393318,09/08/2022--18:07:28,1039846.65,7645911.2
1662627963.9267988,09/08/2022--19:06:03,1100411.9,8597501.6
1662647099.1538022,09/09/2022--00:24:59,11379850.7,49901854.3
1662648603.7050903,09/09/2022--00:50:03,966054.8,9922094.45
1662653232.5196137,09/09/2022--02:07:12,869298.9,6968585.1
1662653543.4232605,09/09/2022--02:12:23,713112.8,5740011.2
