unixTime,dateTime,7,priceManip
1658844889.9973571,07/27/2022--00:14:49,7859.8,103993.85
1658848005.9232907,07/27/2022--01:06:45,4662.9,45238.3
1658876959.8061535,07/27/2022--09:09:19,11430.15,151233.2
1658906431.1616275,07/27/2022--17:20:31,32858.95,434759.55
1658964011.7123463,07/28/2022--09:20:11,18391.5,543.2
1658991790.2457771,07/28/2022--17:03:10,9380.4,75787.4
1659049859.7900746,07/29/2022--09:10:59,12039.95,87379.7
1659079050.0223944,07/29/2022--17:17:30,9743.3,67527.25
1659135989.7470224,07/30/2022--09:06:29,24158.4,319641.75
1659164560.1930625,07/30/2022--17:02:40,38383.5,507855.35
1659193295.8534577,07/31/2022--01:01:35,13398.2,107406.4
1659223175.87765,07/31/2022--09:19:35,9365.0,95415.5
1659394922.9589896,08/02/2022--09:02:02,4873.25,62742.35
1659423710.70845,08/02/2022--17:01:50,14412.6,190694.35
1659452479.933005,08/03/2022--01:01:19,15077.85,199496.15
1659481254.5834172,08/03/2022--09:00:54,5014.8,49148.9
1659510483.5113194,08/03/2022--17:08:03,8074.25,68761.65
1659539025.8442419,08/04/2022--01:03:45,7572.55,60422.05
1659567977.65322,08/04/2022--09:06:17,8941.55,118306.3
1659596737.4315803,08/04/2022--17:05:37,10404.15,137658.2
1659625544.4629736,08/05/2022--01:05:44,15536.65,205566.6
1659654487.963708,08/05/2022--09:08:07,8568.95,113376.55
1659683098.9748487,08/05/2022--17:04:58,29439.65,389518.65
1659798058.491692,08/07/2022--01:00:58,9735.4,60832.5
1659826821.1099102,08/07/2022--09:00:21,16173.95,107708.7
1659886109.5671794,08/08/2022--01:28:29,24087.5,164014.55
1659915489.3146017,08/08/2022--09:38:09,12595.95,66262.25
1659942684.7980738,08/08/2022--17:11:24,6689.95,44158.15
1659971568.7314563,08/09/2022--01:12:48,19819.85,262237.7
1660030295.9264836,08/09/2022--17:31:35,32347.6,427993.55
1660172904.0226371,08/11/2022--09:08:24,15163.45,92036.65
1660202153.9173074,08/11/2022--17:15:53,17231.4,117694.15
1660260089.9444501,08/12/2022--09:21:29,8160.65,52246.5
1660288029.6810946,08/12/2022--17:07:09,11468.8,74851.1
1660316972.8768725,08/13/2022--01:09:32,14563.6,100349.35
1660347292.7260678,08/13/2022--09:34:52,15640.35,206939.0
1660374586.0104291,08/13/2022--17:09:46,21621.2,286071.85
1660434289.4885554,08/14/2022--09:44:49,8105.2,50783.25
1660462690.270382,08/14/2022--17:38:10,57132.25,755921.25
1660490144.9181502,08/15/2022--01:15:44,7855.95,42768.05
1660520035.3389182,08/15/2022--09:33:55,6259.5,37636.65
1660548110.1855645,08/15/2022--17:21:50,19680.5,115398.5
1660633733.4457946,08/16/2022--17:08:53,11279.85,62592.95
1660662258.480969,08/17/2022--01:04:18,4214.3,23699.25
1660692425.9171295,08/17/2022--09:27:05,17511.15,73237.85
1660720046.0474148,08/17/2022--17:07:26,12232.05,67636.7
1660748548.0576525,08/18/2022--01:02:28,8338.95,61150.35
1660778179.3441532,08/18/2022--09:16:19,11993.05,92497.9
1660807681.1939256,08/18/2022--17:28:01,10179.95,57970.8
1660835293.140338,08/19/2022--01:08:13,12168.95,72795.25
1660864583.2861524,08/19/2022--09:16:23,41333.5,546886.65
1660892982.9673333,08/19/2022--17:09:42,6993.0,43088.2
1660921520.297617,08/20/2022--01:05:20,13039.95,95668.25
1660950648.5543876,08/20/2022--09:10:48,10989.9,51707.2
1660979282.6113882,08/20/2022--17:08:02,8209.5,50491.9
1661036095.206883,08/21/2022--08:54:55,5650.45,29975.35
1661064380.1041234,08/21/2022--16:46:20,7301.2,36215.55
1661123013.330709,08/22/2022--09:03:33,14983.85,198252.25
1661208404.7366545,08/23/2022--08:46:44,9284.1,43560.3
1661237565.4076488,08/23/2022--16:52:45,6685.3,37553.6
1661266871.3852978,08/24/2022--01:01:11,16964.5,224458.6
1661296200.2926245,08/24/2022--09:10:00,18505.65,244849.55
1661352340.4753387,08/25/2022--00:45:40,9422.65,437.7
1661381476.9667122,08/25/2022--08:51:16,5947.75,41686.9
1661468398.2601244,08/26/2022--08:59:58,5112.35,32797.1
1661526117.894191,08/27/2022--01:01:57,14651.7,1190.9
1661554881.5495105,08/27/2022--09:01:21,4023.15,516.2
1661727756.8158545,08/29/2022--09:02:36,12804.3,169414.55
1661756562.5978346,08/29/2022--17:02:42,7721.7,841.95
1661785309.2744918,08/30/2022--01:01:49,12599.65,651.75
1661814174.102714,08/30/2022--09:02:54,10792.65,47702.2
1661842454.955498,08/30/2022--16:54:14,11794.95,49703.15
1661900684.184366,08/31/2022--09:04:44,5827.7,656.3
1661958420.0029917,09/01/2022--01:07:00,29829.05,394670.25
1662015716.7539146,09/01/2022--17:01:56,14450.25,191192.1
1662076772.6337636,09/02/2022--09:59:32,24639.35,326005.5
