unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,615717.25,1498148.7
1657807946.3195548,07/15/2022--00:12:26,583529.5,1860292.25
1657865324.281464,07/15/2022--16:08:44,291258.2,1069092.6
1657894118.107123,07/16/2022--00:08:38,361957.15,1539399.45
1658812815.1912007,07/26/2022--15:20:15,628342.25,1440041.45
1658815736.5710416,07/26/2022--16:08:56,402832.35,972760.75
1658844889.9973571,07/27/2022--00:14:49,726567.1,1799238.8
1658848005.9232907,07/27/2022--01:06:45,589718.3,1258022.5
1658876959.8061535,07/27/2022--09:09:19,605404.5,1961382.15
1658906431.1616275,07/27/2022--17:20:31,499992.35,1766956.1
1658964011.7123463,07/28/2022--09:20:11,315702.35,902198.25
1658991790.2457771,07/28/2022--17:03:10,506405.65,1578245.35
1659049859.7900746,07/29/2022--09:10:59,540096.9,2594178.6
1659079050.0223944,07/29/2022--17:17:30,558371.9,2470575.15
1659135989.7470224,07/30/2022--09:06:29,503646.55,2860615.75
1659164560.1930625,07/30/2022--17:02:40,575654.9,2530490.55
1659193295.8534577,07/31/2022--01:01:35,604698.05,1794798.1
1659223175.87765,07/31/2022--09:19:35,935704.65,2256251.5
1659394922.9589896,08/02/2022--09:02:02,936194.05,3535524.4
1659423710.70845,08/02/2022--17:01:50,543936.3,2602908.7
1659452479.933005,08/03/2022--01:01:19,339179.7,2364085.7
1659481254.5834172,08/03/2022--09:00:54,447751.25,3020869.4
1659510483.5113194,08/03/2022--17:08:03,561543.1,4142061.05
1659539025.8442419,08/04/2022--01:03:45,531395.95,3667896.75
1659567977.65322,08/04/2022--09:06:17,545118.45,3910480.9
1659596737.4315803,08/04/2022--17:05:37,679385.75,3871926.05
1659625544.4629736,08/05/2022--01:05:44,644987.7,2465335.95
1659654487.963708,08/05/2022--09:08:07,975590.55,3964568.35
1659683098.9748487,08/05/2022--17:04:58,765955.1,3695339.6
1659798058.491692,08/07/2022--01:00:58,649774.4,2963343.25
1659826821.1099102,08/07/2022--09:00:21,659488.95,981897.9
1659886109.5671794,08/08/2022--01:28:29,612405.65,2830305.3
1659915489.3146017,08/08/2022--09:38:09,639466.3,2882529.0
1659942684.7980738,08/08/2022--17:11:24,855217.6,3746045.25
1659971568.7314563,08/09/2022--01:12:48,2241265.65,4421132.3
1660030295.9264836,08/09/2022--17:31:35,796122.15,4435422.25
1660172904.0226371,08/11/2022--09:08:24,789325.05,4052146.0
1660202153.9173074,08/11/2022--17:15:53,1550162.65,5009158.5
1660260089.9444501,08/12/2022--09:21:29,1119306.3,3577431.95
1660288029.6810946,08/12/2022--17:07:09,715830.1,843204.55
1660316972.8768725,08/13/2022--01:09:32,826900.4,4938462.25
1660347292.7260678,08/13/2022--09:34:52,1045915.4,6811206.1
1660374586.0104291,08/13/2022--17:09:46,754469.1,4147317.2
1660434289.4885554,08/14/2022--09:44:49,845876.65,5809844.6
1660462690.270382,08/14/2022--17:38:10,921375.4,1676285.25
1660490144.9181502,08/15/2022--01:15:44,885454.5,4700983.45
1660520035.3389182,08/15/2022--09:33:55,1125588.95,7961557.55
1660548110.1855645,08/15/2022--17:21:50,648570.7,4098857.9
1660633733.4457946,08/16/2022--17:08:53,1116056.35,4747206.3
1660662258.480969,08/17/2022--01:04:18,1022598.25,6572836.15
1660692425.9171295,08/17/2022--09:27:05,1326151.05,7624318.15
1660720046.0474148,08/17/2022--17:07:26,735371.5,5373282.7
1660748548.0576525,08/18/2022--01:02:28,943517.9,5710931.1
1660778179.3441532,08/18/2022--09:16:19,1099925.55,6629588.55
1660807681.1939256,08/18/2022--17:28:01,708858.55,6009924.45
1660835293.140338,08/19/2022--01:08:13,790196.85,6178104.95
1660864583.2861524,08/19/2022--09:16:23,874892.2,7452206.8
1660892982.9673333,08/19/2022--17:09:42,459976.55,3726807.75
1660921520.297617,08/20/2022--01:05:20,772964.0,4822776.0
1660950648.5543876,08/20/2022--09:10:48,836544.05,4471936.85
1660979282.6113882,08/20/2022--17:08:02,691000.45,4650694.9
1661036095.206883,08/21/2022--08:54:55,548562.85,4067995.05
1661064380.1041234,08/21/2022--16:46:20,699992.85,4718148.65
1661123013.330709,08/22/2022--09:03:33,876298.4,5296891.95
1661208404.7366545,08/23/2022--08:46:44,687110.9,5671436.7
1661237565.4076488,08/23/2022--16:52:45,615273.5,4012939.05
1661266871.3852978,08/24/2022--01:01:11,627251.7,4148449.9
1661296200.2926245,08/24/2022--09:10:00,816197.35,6089529.05
1661352340.4753387,08/25/2022--00:45:40,750244.45,4403789.85
1661381476.9667122,08/25/2022--08:51:16,669424.9,5196300.35
1661468398.2601244,08/26/2022--08:59:58,725761.65,5893943.7
1661526117.894191,08/27/2022--01:01:57,625158.5,5071941.5
1661554881.5495105,08/27/2022--09:01:21,686306.75,5314994.3
1661727756.8158545,08/29/2022--09:02:36,637659.05,4163725.1
1661756562.5978346,08/29/2022--17:02:42,685442.45,5132324.75
1661785309.2744918,08/30/2022--01:01:49,587192.15,4944270.65
1661814174.102714,08/30/2022--09:02:54,616282.9,4651138.05
1661842454.955498,08/30/2022--16:54:14,518573.6,4781619.85
1661900684.184366,08/31/2022--09:04:44,691380.25,5210024.4
1661958420.0029917,09/01/2022--01:07:00,445872.15,2867693.0
1662015716.7539146,09/01/2022--17:01:56,512292.85,3339601.25
1662076772.6337636,09/02/2022--09:59:32,666622.1,4072923.85
