unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,673345.9,6800155.05
1657807946.3195548,07/15/2022--00:12:26,470967.75,3048481.35
1657865324.281464,07/15/2022--16:08:44,542342.55,5896472.45
1657894118.107123,07/16/2022--00:08:38,819824.05,6871922.9
1658812815.1912007,07/26/2022--15:20:15,828679.1,6243436.35
1658815736.5710416,07/26/2022--16:08:56,900010.9,6990676.9
1658844889.9973571,07/27/2022--00:14:49,548368.3,1752029.1
1658848005.9232907,07/27/2022--01:06:45,563719.8,1754933.4
1658876959.8061535,07/27/2022--09:09:19,673936.8,5932569.2
1658906431.1616275,07/27/2022--17:20:31,442865.35,345873.45
1658964011.7123463,07/28/2022--09:20:11,358302.45,223367.85
1658991790.2457771,07/28/2022--17:03:10,323340.35,226434.3
1659049859.7900746,07/29/2022--09:10:59,705586.05,5608241.45
1659079050.0223944,07/29/2022--17:17:30,515521.8,4719021.9
1659135989.7470224,07/30/2022--09:06:29,422221.85,237827.45
1659164560.1930625,07/30/2022--17:02:40,385312.9,195306.6
1659193295.8534577,07/31/2022--01:01:35,307070.15,249485.8
1659223175.87765,07/31/2022--09:19:35,701615.45,9821139.5
1659394922.9589896,08/02/2022--09:02:02,404174.35,186735.35
1659423710.70845,08/02/2022--17:01:50,732367.5,7844169.5
1659452479.933005,08/03/2022--01:01:19,936605.55,11430600.15
1659481254.5834172,08/03/2022--09:00:54,735636.45,7546417.85
1659510483.5113194,08/03/2022--17:08:03,268295.7,1100446.25
1659539025.8442419,08/04/2022--01:03:45,417746.95,182180.8
1659567977.65322,08/04/2022--09:06:17,641192.35,5512448.75
1659596737.4315803,08/04/2022--17:05:37,1251785.8,11676761.25
1659625544.4629736,08/05/2022--01:05:44,935522.05,10050481.0
1659654487.963708,08/05/2022--09:08:07,438629.75,875916.5
1659683098.9748487,08/05/2022--17:04:58,1697948.0,11812645.7
1659798058.491692,08/07/2022--01:00:58,681165.55,6874168.45
1659826821.1099102,08/07/2022--09:00:21,438827.7,1040551.05
1659886109.5671794,08/08/2022--01:28:29,624371.85,6369408.25
1659915489.3146017,08/08/2022--09:38:09,654630.05,7881266.1
1659942684.7980738,08/08/2022--17:11:24,1237084.7,18307234.6
1659971568.7314563,08/09/2022--01:12:48,802643.05,10130794.45
1660030295.9264836,08/09/2022--17:31:35,1160287.45,16263833.2
1660172904.0226371,08/11/2022--09:08:24,1135082.0,5149744.25
1660202153.9173074,08/11/2022--17:15:53,1498460.25,12516904.0
1660260089.9444501,08/12/2022--09:21:29,1242599.8,6088129.9
1660288029.6810946,08/12/2022--17:07:09,2019438.1,11211503.65
1660316972.8768725,08/13/2022--01:09:32,1507329.85,11801180.6
1660347292.7260678,08/13/2022--09:34:52,1425030.95,11207434.4
1660374586.0104291,08/13/2022--17:09:46,1558340.25,10885296.45
1660434289.4885554,08/14/2022--09:44:49,1629896.05,9947499.05
1660462690.270382,08/14/2022--17:38:10,1838751.45,11915353.9
1660490144.9181502,08/15/2022--01:15:44,1394432.9,9151140.35
1660520035.3389182,08/15/2022--09:33:55,1166034.95,7413795.75
1660548110.1855645,08/15/2022--17:21:50,1034970.75,11354187.75
1660633733.4457946,08/16/2022--17:08:53,684785.35,5316852.9
1660662258.480969,08/17/2022--01:04:18,1556171.5,11268772.9
1660692425.9171295,08/17/2022--09:27:05,1322989.6,11373198.35
1660720046.0474148,08/17/2022--17:07:26,1506496.6,9033402.95
1660748548.0576525,08/18/2022--01:02:28,1442352.55,8248193.65
1660778179.3441532,08/18/2022--09:16:19,1539918.6,12839870.95
1660807681.1939256,08/18/2022--17:28:01,1245767.0,7372193.0
1660835293.140338,08/19/2022--01:08:13,1011878.0,5980260.3
1660864583.2861524,08/19/2022--09:16:23,1321731.8,7994506.95
1660892982.9673333,08/19/2022--17:09:42,801634.7,5680220.15
1660921520.297617,08/20/2022--01:05:20,894781.95,3093652.2
1660950648.5543876,08/20/2022--09:10:48,745045.35,4690319.3
1660979282.6113882,08/20/2022--17:08:02,849856.75,5250561.7
1661036095.206883,08/21/2022--08:54:55,808884.9,5545946.2
1661064380.1041234,08/21/2022--16:46:20,718301.75,5064475.25
1661123013.330709,08/22/2022--09:03:33,796165.55,5509921.5
1661208404.7366545,08/23/2022--08:46:44,828101.45,5339141.45
1661237565.4076488,08/23/2022--16:52:45,854259.9,6218567.45
1661266871.3852978,08/24/2022--01:01:11,1086536.6,8761532.95
1661296200.2926245,08/24/2022--09:10:00,948623.5,7873469.4
1661352340.4753387,08/25/2022--00:45:40,875796.9,7677282.85
1661381476.9667122,08/25/2022--08:51:16,881065.6,7540583.05
1661468398.2601244,08/26/2022--08:59:58,881029.35,5930692.55
1661526117.894191,08/27/2022--01:01:57,1083868.35,6984229.2
1661554881.5495105,08/27/2022--09:01:21,945455.05,6284903.35
1661727756.8158545,08/29/2022--09:02:36,880209.8,5772528.05
1661756562.5978346,08/29/2022--17:02:42,941991.2,6364351.95
1661785309.2744918,08/30/2022--01:01:49,811604.7,7095350.85
1661814174.102714,08/30/2022--09:02:54,628827.2,5098472.3
1661842454.955498,08/30/2022--16:54:14,677769.95,6003543.2
1661900684.184366,08/31/2022--09:04:44,617082.2,5305149.05
1661958420.0029917,09/01/2022--01:07:00,780954.05,6606721.2
1662015716.7539146,09/01/2022--17:01:56,709903.65,5823787.8
1662076772.6337636,09/02/2022--09:59:32,727550.0,6839272.2
