unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,622875.85,1839092.1
1657807946.3195548,07/15/2022--00:12:26,634507.95,8077030.55
1657865324.281464,07/15/2022--16:08:44,618872.25,1849455.2
1657894118.107123,07/16/2022--00:08:38,767159.95,11493073.6
1658812815.1912007,07/26/2022--15:20:15,610808.95,9151951.55
1658815736.5710416,07/26/2022--16:08:56,679025.6,9883694.1
1658844889.9973571,07/27/2022--00:14:49,515717.4,8660013.6
1658848005.9232907,07/27/2022--01:06:45,660267.5,1648573.5
1658876959.8061535,07/27/2022--09:09:19,606903.25,1437090.65
1658906431.1616275,07/27/2022--17:20:31,484099.95,9083422.85
1658964011.7123463,07/28/2022--09:20:11,519209.9,11578583.25
1658991790.2457771,07/28/2022--17:03:10,791811.75,1944068.45
1659049859.7900746,07/29/2022--09:10:59,862205.5,2361847.85
1659079050.0223944,07/29/2022--17:17:30,777976.75,1931402.05
1659135989.7470224,07/30/2022--09:06:29,559150.65,13635600.85
1659164560.1930625,07/30/2022--17:02:40,508517.75,14014726.1
1659193295.8534577,07/31/2022--01:01:35,452712.6,12599257.7
1659223175.87765,07/31/2022--09:19:35,559691.9,12152149.15
1659394922.9589896,08/02/2022--09:02:02,790639.2,2032442.45
1659423710.70845,08/02/2022--17:01:50,608752.65,11413120.6
1659452479.933005,08/03/2022--01:01:19,649718.4,7717094.4
1659481254.5834172,08/03/2022--09:00:54,689288.0,17125988.6
1659510483.5113194,08/03/2022--17:08:03,679727.7,15406375.1
1659539025.8442419,08/04/2022--01:03:45,638995.2,16653077.0
1659567977.65322,08/04/2022--09:06:17,636175.0,10976804.95
1659596737.4315803,08/04/2022--17:05:37,607874.4,9592968.75
1659625544.4629736,08/05/2022--01:05:44,994757.5,12384094.1
1659654487.963708,08/05/2022--09:08:07,1085425.25,15613650.15
1659683098.9748487,08/05/2022--17:04:58,798638.35,12872465.25
1659798058.491692,08/07/2022--01:00:58,859950.8,14659111.45
1659826821.1099102,08/07/2022--09:00:21,814377.35,14007146.8
1659886109.5671794,08/08/2022--01:28:29,807937.1,14920749.75
1659915489.3146017,08/08/2022--09:38:09,656045.15,12344160.45
1659942684.7980738,08/08/2022--17:11:24,682991.0,13594055.25
1659971568.7314563,08/09/2022--01:12:48,657870.5,1450218.8
1660030295.9264836,08/09/2022--17:31:35,638368.0,1741220.0
1660172904.0226371,08/11/2022--09:08:24,786904.45,7164676.1
1660202153.9173074,08/11/2022--17:15:53,710475.65,6365085.0
1660260089.9444501,08/12/2022--09:21:29,740405.15,6149534.4
1660288029.6810946,08/12/2022--17:07:09,886541.25,7808209.1
1660316972.8768725,08/13/2022--01:09:32,875254.95,7758501.25
1660347292.7260678,08/13/2022--09:34:52,832275.7,8179534.65
1660374586.0104291,08/13/2022--17:09:46,646786.0,11138698.2
1660434289.4885554,08/14/2022--09:44:49,743608.35,11455255.35
1660462690.270382,08/14/2022--17:38:10,753106.8,13380326.5
1660490144.9181502,08/15/2022--01:15:44,754491.35,12697313.8
1660520035.3389182,08/15/2022--09:33:55,735331.5,12665437.95
1660548110.1855645,08/15/2022--17:21:50,842571.2,12123940.85
1660633733.4457946,08/16/2022--17:08:53,731020.55,12510847.95
1660662258.480969,08/17/2022--01:04:18,617326.8,10538211.25
1660692425.9171295,08/17/2022--09:27:05,857722.7,13910061.25
1660720046.0474148,08/17/2022--17:07:26,737092.35,13016951.35
1660748548.0576525,08/18/2022--01:02:28,961431.75,7939018.6
1660778179.3441532,08/18/2022--09:16:19,802211.4,5236973.45
1660807681.1939256,08/18/2022--17:28:01,1001398.0,6223467.8
1660835293.140338,08/19/2022--01:08:13,994193.3,13012392.5
1660864583.2861524,08/19/2022--09:16:23,808208.55,11758559.4
1660892982.9673333,08/19/2022--17:09:42,560875.3,7070472.05
1660921520.297617,08/20/2022--01:05:20,716116.7,6853418.75
1660950648.5543876,08/20/2022--09:10:48,797322.55,8425245.75
1660979282.6113882,08/20/2022--17:08:02,571218.05,5793032.7
1661036095.206883,08/21/2022--08:54:55,709540.9,7966505.2
1661064380.1041234,08/21/2022--16:46:20,561996.05,6229166.1
1661123013.330709,08/22/2022--09:03:33,626107.25,8459663.65
1661208404.7366545,08/23/2022--08:46:44,687913.1,8145839.85
1661237565.4076488,08/23/2022--16:52:45,641074.2,7743731.85
1661266871.3852978,08/24/2022--01:01:11,648749.45,5837968.5
1661296200.2926245,08/24/2022--09:10:00,664144.55,6618484.0
1661352340.4753387,08/25/2022--00:45:40,740368.85,12667057.1
1661381476.9667122,08/25/2022--08:51:16,523756.1,7692244.5
1661468398.2601244,08/26/2022--08:59:58,673811.2,11332247.85
1661526117.894191,08/27/2022--01:01:57,533667.9,10617550.25
1661554881.5495105,08/27/2022--09:01:21,614969.4,8930394.1
1661727756.8158545,08/29/2022--09:02:36,811928.65,13020829.85
1661756562.5978346,08/29/2022--17:02:42,550914.55,9103816.7
1661785309.2744918,08/30/2022--01:01:49,605920.1,11812010.4
1661814174.102714,08/30/2022--09:02:54,581465.2,10894929.2
1661842454.955498,08/30/2022--16:54:14,530077.75,9463847.95
1661900684.184366,08/31/2022--09:04:44,567321.75,8303266.95
1661958420.0029917,09/01/2022--01:07:00,445740.95,4131781.4
1662015716.7539146,09/01/2022--17:01:56,705668.85,4244755.05
1662076772.6337636,09/02/2022--09:59:32,668659.75,4519735.2
