unixTime,dateTime,7,priceManip
1662138582.51673,09/03/2022--03:09:42,812795.85,668235.2
1662139531.6029572,09/03/2022--03:25:31,722834.15,629663.25
1662139613.601873,09/03/2022--03:26:53,797254.85,655229.4
1662148667.154165,09/03/2022--05:57:47,542860.75,269342.05
1662148978.4758344,09/03/2022--06:02:58,536271.75,264209.65
1662149223.743534,09/03/2022--06:07:03,526138.95,256369.75
1662156045.6306205,09/03/2022--08:00:45,749458.65,638143.9
1662184846.5015855,09/03/2022--16:00:46,497805.4,278279.8
1662189150.5387588,09/03/2022--17:12:30,493306.95,265201.55
1662189335.3729067,09/03/2022--17:15:35,542275.35,286138.4
1662189432.620248,09/03/2022--17:17:12,518403.35,285431.95
1662189496.1168838,09/03/2022--17:18:16,529889.3,282849.45
1662189726.0293598,09/03/2022--17:22:06,521516.9,272534.1
1662190187.8536506,09/03/2022--17:29:47,527980.8,281950.15
1662192556.7635229,09/03/2022--18:09:16,512857.55,275989.45
1662194149.252791,09/03/2022--18:35:49,509239.45,279378.6
1662194231.008193,09/03/2022--18:37:11,525884.9,283437.0
1662195060.3163054,09/03/2022--18:51:00,530325.2,285309.2
1662195509.005806,09/03/2022--18:58:29,530130.85,295944.35
1662195889.1521356,09/03/2022--19:04:49,552611.95,293882.55
1662204411.0077145,09/03/2022--21:26:51,568674.7,303679.15
1662204822.934957,09/03/2022--21:33:42,570101.55,314136.6
1662205717.8322904,09/03/2022--21:48:37,572613.1,337888.1
1662205845.2876964,09/03/2022--21:50:45,548387.5,331961.8
1662205979.2698529,09/03/2022--21:52:59,538200.2,332078.9
1662220153.5368824,09/04/2022--01:49:13,999919.0,8368.85
1662221399.8560996,09/04/2022--02:09:59,1137203.8,8133.95
1662235003.77689,09/04/2022--05:56:43,1457765.05,3732.6
1662235659.2866502,09/04/2022--06:07:39,941316.7,6254.7
1662242440.1575584,09/04/2022--08:00:40,1357884.2,2914.9
1662271237.1247303,09/04/2022--16:00:37,936522.5,4407.35
1662300038.3350203,09/05/2022--00:00:38,1280896.35,4829.2
1662328838.1739511,09/05/2022--08:00:38,579141.1,3732.55
1662357639.7296872,09/05/2022--16:00:39,2557426.15,4502.15
1662386440.010441,09/06/2022--00:00:40,902756.3,4993.15
1662415240.477175,09/06/2022--08:00:40,965182.45,4480.5
1662444039.4214554,09/06/2022--16:00:39,721826.4,2964.55
1662472838.6704981,09/07/2022--00:00:38,898053.2,4513.3
1662501639.2524316,09/07/2022--08:00:39,1425811.8,3935.4
1662530437.6183803,09/07/2022--16:00:37,570952.4,4121.2
