unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,7522396.15,21050882.05
1657807946.3195548,07/15/2022--00:12:26,7897355.25,22083014.45
1657865324.281464,07/15/2022--16:08:44,7003189.85,14411522.65
1657894118.107123,07/16/2022--00:08:38,6349683.0,12288705.35
1658812815.1912007,07/26/2022--15:20:15,9614256.9,28014234.2
1658815736.5710416,07/26/2022--16:08:56,11573201.75,30514573.65
1658844889.9973571,07/27/2022--00:14:49,9281345.45,24621196.85
1658848005.9232907,07/27/2022--01:06:45,11045501.6,26348028.2
1658876959.8061535,07/27/2022--09:09:19,11225260.3,25507505.6
1658906431.1616275,07/27/2022--17:20:31,10635331.05,14737933.75
1658964011.7123463,07/28/2022--09:20:11,10435140.65,34647653.5
1658991790.2457771,07/28/2022--17:03:10,11809900.2,19880403.3
1659049859.7900746,07/29/2022--09:10:59,9811587.6,16247650.2
1659079050.0223944,07/29/2022--17:17:30,11026284.35,15741510.9
1659135989.7470224,07/30/2022--09:06:29,9842938.5,16502926.7
1659164560.1930625,07/30/2022--17:02:40,12102448.2,27487876.5
1659193295.8534577,07/31/2022--01:01:35,8666109.95,22832453.15
1659223175.87765,07/31/2022--09:19:35,13389415.5,31417477.3
1659394922.9589896,08/02/2022--09:02:02,5907717.8,14801863.5
1659423710.70845,08/02/2022--17:01:50,4214156.6,10033351.65
1659452479.933005,08/03/2022--01:01:19,6421165.7,14586105.1
1659481254.5834172,08/03/2022--09:00:54,6667546.55,13732770.4
1659510483.5113194,08/03/2022--17:08:03,7514011.25,18303352.45
1659539025.8442419,08/04/2022--01:03:45,5522836.3,9807762.7
1659567977.65322,08/04/2022--09:06:17,6115598.4,10272142.75
1659596737.4315803,08/04/2022--17:05:37,6238718.3,13809273.0
1659625544.4629736,08/05/2022--01:05:44,6317891.45,13987621.8
1659654487.963708,08/05/2022--09:08:07,6125767.25,12440720.35
1659683098.9748487,08/05/2022--17:04:58,5659642.35,10014402.0
1659798058.491692,08/07/2022--01:00:58,6909486.25,14767739.4
1659826821.1099102,08/07/2022--09:00:21,7209884.2,14858566.75
1659886109.5671794,08/08/2022--01:28:29,8104389.6,21368334.45
1659915489.3146017,08/08/2022--09:38:09,7627923.2,22029982.05
1659942684.7980738,08/08/2022--17:11:24,6772627.1,17386881.9
1659971568.7314563,08/09/2022--01:12:48,7797592.25,17469062.4
1660030295.9264836,08/09/2022--17:31:35,7570561.7,13613346.75
1660172904.0226371,08/11/2022--09:08:24,3730649.2,1056326.7
1660202153.9173074,08/11/2022--17:15:53,5880218.25,24376385.65
1660260089.9444501,08/12/2022--09:21:29,5610553.75,21836637.1
1660288029.6810946,08/12/2022--17:07:09,6214673.7,22413626.65
1660316972.8768725,08/13/2022--01:09:32,6421176.4,22922466.7
1660347292.7260678,08/13/2022--09:34:52,5981231.25,18844583.8
1660374586.0104291,08/13/2022--17:09:46,7448051.5,27414518.35
1660434289.4885554,08/14/2022--09:44:49,8574203.75,30078175.55
1660462690.270382,08/14/2022--17:38:10,7247017.65,24707368.35
1660490144.9181502,08/15/2022--01:15:44,7307802.9,28531177.3
1660520035.3389182,08/15/2022--09:33:55,8531721.7,35018240.05
1660548110.1855645,08/15/2022--17:21:50,6896247.95,32372153.65
1660633733.4457946,08/16/2022--17:08:53,5330131.75,15911393.3
1660662258.480969,08/17/2022--01:04:18,6656819.15,25686080.5
1660692425.9171295,08/17/2022--09:27:05,6587126.7,26112206.35
1660720046.0474148,08/17/2022--17:07:26,6532930.35,26755466.5
1660748548.0576525,08/18/2022--01:02:28,6753471.65,23288376.8
1660778179.3441532,08/18/2022--09:16:19,6442171.8,27528753.85
1660807681.1939256,08/18/2022--17:28:01,6317015.8,19313223.2
1660835293.140338,08/19/2022--01:08:13,5896641.75,18611583.3
1660864583.2861524,08/19/2022--09:16:23,6714498.15,20739037.4
1660892982.9673333,08/19/2022--17:09:42,2437427.35,954446.15
1660921520.297617,08/20/2022--01:05:20,5737153.55,21505467.75
1660950648.5543876,08/20/2022--09:10:48,2852901.55,9022.3
1660979282.6113882,08/20/2022--17:08:02,6217870.05,23107920.85
1661036095.206883,08/21/2022--08:54:55,5648270.25,21789110.85
1661064380.1041234,08/21/2022--16:46:20,4331281.05,16938558.95
1661123013.330709,08/22/2022--09:03:33,2910858.05,7659.75
1661208404.7366545,08/23/2022--08:46:44,5804285.4,11165264.5
1661237565.4076488,08/23/2022--16:52:45,4631000.35,15488204.55
1661266871.3852978,08/24/2022--01:01:11,1834006.55,9373942.0
1661296200.2926245,08/24/2022--09:10:00,6591219.75,12891908.35
1661352340.4753387,08/25/2022--00:45:40,4826621.3,10308970.0
1661381476.9667122,08/25/2022--08:51:16,5148093.8,10947682.85
1661468398.2601244,08/26/2022--08:59:58,5825785.35,10568088.7
1661526117.894191,08/27/2022--01:01:57,5846329.65,10607754.9
1661554881.5495105,08/27/2022--09:01:21,4189541.15,9745741.75
1661727756.8158545,08/29/2022--09:02:36,4500596.7,10547124.45
1661756562.5978346,08/29/2022--17:02:42,4630927.95,17771416.25
1661785309.2744918,08/30/2022--01:01:49,3792827.7,8911019.6
1661814174.102714,08/30/2022--09:02:54,5253537.25,11933957.95
1661842454.955498,08/30/2022--16:54:14,11124942.35,32275909.85
1661900684.184366,08/31/2022--09:04:44,6338179.2,13962593.1
1661958420.0029917,09/01/2022--01:07:00,5083264.65,10558513.4
1662015716.7539146,09/01/2022--17:01:56,3701387.4,18962486.3
1662076772.6337636,09/02/2022--09:59:32,4497371.15,18533809.85
