unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,7832424.3,23315929.55
1657807946.3195548,07/15/2022--00:12:26,10582725.2,25890897.95
1657865324.281464,07/15/2022--16:08:44,8477676.65,21647197.7
1657894118.107123,07/16/2022--00:08:38,7548947.4,17982058.1
1658812815.1912007,07/26/2022--15:20:15,9989130.05,32822653.2
1658815736.5710416,07/26/2022--16:08:56,10155547.35,33482601.65
1658844889.9973571,07/27/2022--00:14:49,8091946.7,21256535.75
1658848005.9232907,07/27/2022--01:06:45,10991786.95,25550829.25
1658876959.8061535,07/27/2022--09:09:19,27799084.05,59173585.5
1658906431.1616275,07/27/2022--17:20:31,25337010.65,79434757.85
1658964011.7123463,07/28/2022--09:20:11,26643472.15,120920326.75
1658991790.2457771,07/28/2022--17:03:10,20873394.25,67380508.0
1659049859.7900746,07/29/2022--09:10:59,23369210.8,122977352.15
1659079050.0223944,07/29/2022--17:17:30,18053982.9,78956043.55
1659135989.7470224,07/30/2022--09:06:29,28549127.65,83117707.5
1659164560.1930625,07/30/2022--17:02:40,26794149.45,93369831.55
1659193295.8534577,07/31/2022--01:01:35,17343370.75,64462309.35
1659223175.87765,07/31/2022--09:19:35,32158662.0,117402168.45
1659394922.9589896,08/02/2022--09:02:02,32202380.2,104275132.1
1659423710.70845,08/02/2022--17:01:50,26323296.1,102494887.85
1659452479.933005,08/03/2022--01:01:19,25701098.7,88560911.9
1659481254.5834172,08/03/2022--09:00:54,28677090.9,103255199.05
1659510483.5113194,08/03/2022--17:08:03,23731820.35,68562478.7
1659539025.8442419,08/04/2022--01:03:45,24948403.5,95614971.2
1659567977.65322,08/04/2022--09:06:17,20344481.0,74981905.25
1659596737.4315803,08/04/2022--17:05:37,25622835.4,77201534.75
1659625544.4629736,08/05/2022--01:05:44,19388509.7,68993289.35
1659654487.963708,08/05/2022--09:08:07,25573902.6,92718815.3
1659683098.9748487,08/05/2022--17:04:58,23851320.8,74247444.65
1659798058.491692,08/07/2022--01:00:58,23275194.05,96584919.25
1659826821.1099102,08/07/2022--09:00:21,26488701.65,99827637.1
1659886109.5671794,08/08/2022--01:28:29,25364558.9,94962367.8
1659915489.3146017,08/08/2022--09:38:09,25929576.45,91978847.9
1659942684.7980738,08/08/2022--17:11:24,27175424.95,105201468.4
1659971568.7314563,08/09/2022--01:12:48,24782584.85,102261622.8
1660030295.9264836,08/09/2022--17:31:35,30530026.7,110917393.1
1660172904.0226371,08/11/2022--09:08:24,25308968.6,102105369.3
1660202153.9173074,08/11/2022--17:15:53,22794767.1,88359360.55
1660260089.9444501,08/12/2022--09:21:29,22173126.35,78959141.8
1660288029.6810946,08/12/2022--17:07:09,21626025.4,81957082.35
1660316972.8768725,08/13/2022--01:09:32,23962262.4,102933700.0
1660347292.7260678,08/13/2022--09:34:52,21034517.2,102749410.05
1660374586.0104291,08/13/2022--17:09:46,25887877.45,122319426.45
1660434289.4885554,08/14/2022--09:44:49,24285779.65,107325296.9
1660462690.270382,08/14/2022--17:38:10,22948261.1,114922756.05
1660490144.9181502,08/15/2022--01:15:44,27762744.6,141702708.8
1660520035.3389182,08/15/2022--09:33:55,26720335.65,140652366.95
1660548110.1855645,08/15/2022--17:21:50,23176944.55,121828866.75
1660633733.4457946,08/16/2022--17:08:53,22558630.2,123130758.35
1660662258.480969,08/17/2022--01:04:18,21339325.1,104066061.55
1660692425.9171295,08/17/2022--09:27:05,20700212.25,100630303.25
1660720046.0474148,08/17/2022--17:07:26,20604600.5,105456960.3
1660748548.0576525,08/18/2022--01:02:28,18601408.85,88513737.0
1660778179.3441532,08/18/2022--09:16:19,19210188.3,94063628.95
1660807681.1939256,08/18/2022--17:28:01,20500455.55,86531383.85
1660835293.140338,08/19/2022--01:08:13,23523677.15,129855856.25
1660864583.2861524,08/19/2022--09:16:23,19353301.85,106127865.25
1660892982.9673333,08/19/2022--17:09:42,25271150.2,145266075.4
1660921520.297617,08/20/2022--01:05:20,18628007.0,89844419.5
1660950648.5543876,08/20/2022--09:10:48,17482021.95,81335924.15
1660979282.6113882,08/20/2022--17:08:02,19140261.85,71333640.35
1661036095.206883,08/21/2022--08:54:55,19420357.35,88019240.0
1661064380.1041234,08/21/2022--16:46:20,22760222.4,100978068.4
1661123013.330709,08/22/2022--09:03:33,18067538.5,92679431.4
1661208404.7366545,08/23/2022--08:46:44,21664118.45,90856115.4
1661237565.4076488,08/23/2022--16:52:45,18572504.3,64033214.85
1661266871.3852978,08/24/2022--01:01:11,27891418.45,156789349.25
1661296200.2926245,08/24/2022--09:10:00,21638820.2,98470265.3
1661352340.4753387,08/25/2022--00:45:40,20514281.5,100547019.75
1661381476.9667122,08/25/2022--08:51:16,18828482.7,92708427.95
1661468398.2601244,08/26/2022--08:59:58,21642917.6,70100984.4
1661526117.894191,08/27/2022--01:01:57,19245175.75,61972791.1
1661554881.5495105,08/27/2022--09:01:21,16869957.9,60660845.85
1661727756.8158545,08/29/2022--09:02:36,18949411.1,90909736.0
1661756562.5978346,08/29/2022--17:02:42,16455474.75,75182657.5
1661785309.2744918,08/30/2022--01:01:49,15656022.95,86412941.55
1661814174.102714,08/30/2022--09:02:54,16255049.0,60423355.2
1661842454.955498,08/30/2022--16:54:14,26721131.9,113488783.05
1661900684.184366,08/31/2022--09:04:44,17587238.8,75098626.95
1661958420.0029917,09/01/2022--01:07:00,20196508.95,91959707.3
1662015716.7539146,09/01/2022--17:01:56,22623559.4,104600541.45
1662076772.6337636,09/02/2022--09:59:32,19007617.85,77402926.35
