unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,16260675.2,109425633.35
1657807946.3195548,07/15/2022--00:12:26,18185163.3,128638002.55
1657865324.281464,07/15/2022--16:08:44,17678508.0,109309172.15
1657894118.107123,07/16/2022--00:08:38,18917740.4,107033164.15
1658812815.1912007,07/26/2022--15:20:15,22092193.7,27166781.65
1658815736.5710416,07/26/2022--16:08:56,23681031.6,28992612.6
1658844889.9973571,07/27/2022--00:14:49,22310645.3,23820832.3
1658848005.9232907,07/27/2022--01:06:45,16978467.75,24128130.1
1658876959.8061535,07/27/2022--09:09:19,23114684.5,26945413.75
1658906431.1616275,07/27/2022--17:20:31,18173701.15,25654115.75
1658964011.7123463,07/28/2022--09:20:11,20808335.7,793725685.95
1658991790.2457771,07/28/2022--17:03:10,26714012.8,930986731.85
1659049859.7900746,07/29/2022--09:10:59,25306562.05,872923087.1
1659079050.0223944,07/29/2022--17:17:30,23770696.35,900097200.6
1659135989.7470224,07/30/2022--09:06:29,19465245.15,541131865.65
1659164560.1930625,07/30/2022--17:02:40,26564042.55,1277962854.1
1659193295.8534577,07/31/2022--01:01:35,23782151.2,1039627522.7
1659223175.87765,07/31/2022--09:19:35,29666230.45,67382748.5
1659394922.9589896,08/02/2022--09:02:02,22056878.35,32582340.85
1659423710.70845,08/02/2022--17:01:50,28786103.95,37919140.3
1659452479.933005,08/03/2022--01:01:19,24635620.85,39144003.1
1659481254.5834172,08/03/2022--09:00:54,27306674.45,43028508.35
1659510483.5113194,08/03/2022--17:08:03,25892786.0,37179264.65
1659539025.8442419,08/04/2022--01:03:45,24664973.8,41024197.85
1659567977.65322,08/04/2022--09:06:17,22536219.45,36919464.4
1659596737.4315803,08/04/2022--17:05:37,24764898.75,42442087.0
1659625544.4629736,08/05/2022--01:05:44,27763294.1,42357367.65
1659654487.963708,08/05/2022--09:08:07,23633055.85,38332485.0
1659683098.9748487,08/05/2022--17:04:58,25181831.05,42562768.6
1659798058.491692,08/07/2022--01:00:58,30449988.3,52719470.4
1659826821.1099102,08/07/2022--09:00:21,26796079.3,41876478.65
1659886109.5671794,08/08/2022--01:28:29,29252479.1,52107454.05
1659915489.3146017,08/08/2022--09:38:09,22302955.35,34197184.05
1659942684.7980738,08/08/2022--17:11:24,27874275.35,61308892.35
1659971568.7314563,08/09/2022--01:12:48,26827142.15,52374731.05
1660030295.9264836,08/09/2022--17:31:35,32358767.35,54366805.0
1660172904.0226371,08/11/2022--09:08:24,30768854.1,68022555.9
1660202153.9173074,08/11/2022--17:15:53,29091724.35,4225577326.7
1660260089.9444501,08/12/2022--09:21:29,24202270.75,42127056.15
1660288029.6810946,08/12/2022--17:07:09,21798789.8,39892869.85
1660316972.8768725,08/13/2022--01:09:32,27098326.4,53512614.15
1660347292.7260678,08/13/2022--09:34:52,30605220.0,65698946.15
1660374586.0104291,08/13/2022--17:09:46,26820171.2,492958991.55
1660434289.4885554,08/14/2022--09:44:49,27574161.65,552948185.2
1660462690.270382,08/14/2022--17:38:10,24605873.2,470543563.5
1660490144.9181502,08/15/2022--01:15:44,28658055.7,1225991823.5
1660520035.3389182,08/15/2022--09:33:55,25638321.7,2248455386.25
1660548110.1855645,08/15/2022--17:21:50,27287785.1,51965320.75
1660633733.4457946,08/16/2022--17:08:53,28446774.55,49521370.8
1660662258.480969,08/17/2022--01:04:18,24443078.9,43125535.3
1660692425.9171295,08/17/2022--09:27:05,24705118.4,35784807.55
1660720046.0474148,08/17/2022--17:07:26,30661676.45,57090509.65
1660748548.0576525,08/18/2022--01:02:28,21993527.35,33717243.3
1660778179.3441532,08/18/2022--09:16:19,23398515.65,40259074.0
1660807681.1939256,08/18/2022--17:28:01,23515913.65,43017578.75
1660835293.140338,08/19/2022--01:08:13,24884555.6,45694526.35
1660864583.2861524,08/19/2022--09:16:23,24240088.75,39304995.2
1660892982.9673333,08/19/2022--17:09:42,23682926.75,38690618.1
1660921520.297617,08/20/2022--01:05:20,19318061.65,23287438.8
1660950648.5543876,08/20/2022--09:10:48,21843542.25,33349275.35
1660979282.6113882,08/20/2022--17:08:02,22203256.2,38826107.75
1661036095.206883,08/21/2022--08:54:55,22370570.15,38300169.9
1661064380.1041234,08/21/2022--16:46:20,21824264.0,33220361.9
1661123013.330709,08/22/2022--09:03:33,23658866.85,526627933.5
1661208404.7366545,08/23/2022--08:46:44,25146054.05,418454031.6
1661237565.4076488,08/23/2022--16:52:45,25644243.95,499784602.2
1661266871.3852978,08/24/2022--01:01:11,21718506.25,394509946.25
1661296200.2926245,08/24/2022--09:10:00,23899615.45,285556024.0
1661352340.4753387,08/25/2022--00:45:40,22230301.9,424949034.55
1661381476.9667122,08/25/2022--08:51:16,21418355.2,378706185.95
1661468398.2601244,08/26/2022--08:59:58,21383403.95,342922618.85
1661526117.894191,08/27/2022--01:01:57,21068744.75,386811151.8
1661554881.5495105,08/27/2022--09:01:21,17871594.2,579773302.25
1661727756.8158545,08/29/2022--09:02:36,23096437.75,405336032.65
1661756562.5978346,08/29/2022--17:02:42,18260358.45,650249774.5
1661785309.2744918,08/30/2022--01:01:49,17973135.25,337605173.65
1661814174.102714,08/30/2022--09:02:54,21813187.95,393823522.1
1661842454.955498,08/30/2022--16:54:14,20864440.4,286590159.8
1661900684.184366,08/31/2022--09:04:44,23476046.25,284433097.2
1661958420.0029917,09/01/2022--01:07:00,21177553.4,272323238.15
1662015716.7539146,09/01/2022--17:01:56,19909497.45,209537449.2
1662076772.6337636,09/02/2022--09:59:32,21364025.0,152912999.2
