unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,2678828.85,9237889.1
1657807946.3195548,07/15/2022--00:12:26,1754669.2,33644.2
1657865324.281464,07/15/2022--16:08:44,1641126.9,33151.5
1657894118.107123,07/16/2022--00:08:38,1667867.3,27223.5
1658812815.1912007,07/26/2022--15:20:15,1908939.95,37923.95
1658815736.5710416,07/26/2022--16:08:56,2243262.45,4281904.95
1658844889.9973571,07/27/2022--00:14:49,1939048.7,3208920.45
1658848005.9232907,07/27/2022--01:06:45,2226517.8,29727.5
1658876959.8061535,07/27/2022--09:09:19,2351387.45,4234783.6
1658906431.1616275,07/27/2022--17:20:31,2312980.45,39416.7
1658964011.7123463,07/28/2022--09:20:11,2386042.1,48462.6
1658991790.2457771,07/28/2022--17:03:10,4252817.75,154611.0
1659049859.7900746,07/29/2022--09:10:59,5594056.15,181083.75
1659079050.0223944,07/29/2022--17:17:30,3676478.65,105199.85
1659135989.7470224,07/30/2022--09:06:29,2572259.8,72311.75
1659164560.1930625,07/30/2022--17:02:40,5636787.5,659256.95
1659193295.8534577,07/31/2022--01:01:35,2963623.5,85846.1
1659223175.87765,07/31/2022--09:19:35,2955572.05,7776830.55
1659394922.9589896,08/02/2022--09:02:02,2779127.4,6046383.9
1659423710.70845,08/02/2022--17:01:50,2925206.7,59786.9
1659452479.933005,08/03/2022--01:01:19,3210006.4,77584.2
1659481254.5834172,08/03/2022--09:00:54,3838641.35,4535035.95
1659510483.5113194,08/03/2022--17:08:03,2304747.65,5546579.7
1659539025.8442419,08/04/2022--01:03:45,1990569.05,44391.1
1659567977.65322,08/04/2022--09:06:17,1930188.25,46440.3
1659596737.4315803,08/04/2022--17:05:37,2006210.3,46999.1
1659625544.4629736,08/05/2022--01:05:44,2252296.7,44091.2
1659654487.963708,08/05/2022--09:08:07,2806196.45,309169.75
1659683098.9748487,08/05/2022--17:04:58,2533038.55,273794.6
1659798058.491692,08/07/2022--01:00:58,2491198.8,384049.25
1659826821.1099102,08/07/2022--09:00:21,2221936.05,5015995.85
1659886109.5671794,08/08/2022--01:28:29,3158304.9,88375.9
1659915489.3146017,08/08/2022--09:38:09,2877221.8,60564.55
1659942684.7980738,08/08/2022--17:11:24,4005962.45,70558.3
1659971568.7314563,08/09/2022--01:12:48,2813491.5,52571.35
1660030295.9264836,08/09/2022--17:31:35,2983207.2,8771938.4
1660172904.0226371,08/11/2022--09:08:24,2287958.3,8234643.9
1660202153.9173074,08/11/2022--17:15:53,2807864.05,11178626.6
1660260089.9444501,08/12/2022--09:21:29,3872664.45,93925.5
1660288029.6810946,08/12/2022--17:07:09,4904099.75,101313.8
1660316972.8768725,08/13/2022--01:09:32,3613720.85,8606918.05
1660347292.7260678,08/13/2022--09:34:52,2893558.65,77904.3
1660374586.0104291,08/13/2022--17:09:46,5670291.4,127006.05
1660434289.4885554,08/14/2022--09:44:49,3143556.6,81315.6
1660462690.270382,08/14/2022--17:38:10,2619067.6,58190.35
1660490144.9181502,08/15/2022--01:15:44,3516507.15,9698520.55
1660520035.3389182,08/15/2022--09:33:55,3453989.2,89461.25
1660548110.1855645,08/15/2022--17:21:50,2782441.5,6966934.25
1660633733.4457946,08/16/2022--17:08:53,2848309.15,4189322.9
1660662258.480969,08/17/2022--01:04:18,4178988.9,9078701.65
1660692425.9171295,08/17/2022--09:27:05,3150935.85,75777.7
1660720046.0474148,08/17/2022--17:07:26,3189985.7,79535.55
1660748548.0576525,08/18/2022--01:02:28,2091078.4,45191.55
1660778179.3441532,08/18/2022--09:16:19,3582425.35,8630092.2
1660807681.1939256,08/18/2022--17:28:01,2809818.5,52518.25
1660835293.140338,08/19/2022--01:08:13,3817265.0,9686351.15
1660864583.2861524,08/19/2022--09:16:23,3660021.85,10610212.05
1660892982.9673333,08/19/2022--17:09:42,2616912.55,3536620.5
1660921520.297617,08/20/2022--01:05:20,3061086.6,3283751.7
1660950648.5543876,08/20/2022--09:10:48,2793043.1,45568.1
1660979282.6113882,08/20/2022--17:08:02,2461749.15,36510.05
1661036095.206883,08/21/2022--08:54:55,2996793.8,4824672.45
1661064380.1041234,08/21/2022--16:46:20,2354541.9,4341583.95
1661123013.330709,08/22/2022--09:03:33,2996554.25,60094.65
1661208404.7366545,08/23/2022--08:46:44,2434020.85,13274610.25
1661237565.4076488,08/23/2022--16:52:45,3410357.1,11104697.85
1661266871.3852978,08/24/2022--01:01:11,2441480.25,67198.65
1661296200.2926245,08/24/2022--09:10:00,2365722.0,11582534.75
1661352340.4753387,08/25/2022--00:45:40,1902905.85,44218.1
1661381476.9667122,08/25/2022--08:51:16,1135967.7,66628.8
1661468398.2601244,08/26/2022--08:59:58,3157606.5,5190675.55
1661526117.894191,08/27/2022--01:01:57,1833698.85,45373.45
1661554881.5495105,08/27/2022--09:01:21,1997802.85,44101.8
1661727756.8158545,08/29/2022--09:02:36,2534405.4,3410496.1
1661756562.5978346,08/29/2022--17:02:42,2691934.25,5015331.35
1661785309.2744918,08/30/2022--01:01:49,2889267.7,5284759.5
1661814174.102714,08/30/2022--09:02:54,3413468.8,5786491.05
1661842454.955498,08/30/2022--16:54:14,2519338.05,68135.7
1661900684.184366,08/31/2022--09:04:44,2558560.35,38858.15
1661958420.0029917,09/01/2022--01:07:00,1525968.65,217413.15
1662015716.7539146,09/01/2022--17:01:56,1937914.15,38908.65
1662076772.6337636,09/02/2022--09:59:32,2504392.7,36691.65
