unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,758309.45,13131532.35
1657807946.3195548,07/15/2022--00:12:26,629357.2,11986012.55
1657865324.281464,07/15/2022--16:08:44,662895.7,3334528.4
1657894118.107123,07/16/2022--00:08:38,461268.0,4369993.55
1658812815.1912007,07/26/2022--15:20:15,609648.85,12247464.55
1658815736.5710416,07/26/2022--16:08:56,654262.25,12187509.75
1658844889.9973571,07/27/2022--00:14:49,516904.55,8815988.8
1658848005.9232907,07/27/2022--01:06:45,470960.05,8076941.35
1658876959.8061535,07/27/2022--09:09:19,563576.6,10279078.95
1658906431.1616275,07/27/2022--17:20:31,591736.05,10094247.05
1658964011.7123463,07/28/2022--09:20:11,784064.3,9910267.7
1658991790.2457771,07/28/2022--17:03:10,939716.7,12286938.65
1659049859.7900746,07/29/2022--09:10:59,489874.05,3889638.2
1659079050.0223944,07/29/2022--17:17:30,1550385.05,18790361.75
1659135989.7470224,07/30/2022--09:06:29,1021268.15,13336401.5
1659164560.1930625,07/30/2022--17:02:40,873671.85,7334217.2
1659193295.8534577,07/31/2022--01:01:35,1818918.6,16553918.65
1659223175.87765,07/31/2022--09:19:35,1920409.6,21198600.45
1659394922.9589896,08/02/2022--09:02:02,1033811.35,11269306.45
1659423710.70845,08/02/2022--17:01:50,793913.4,11710424.9
1659452479.933005,08/03/2022--01:01:19,419655.45,7125817.9
1659481254.5834172,08/03/2022--09:00:54,516299.25,8711793.95
1659510483.5113194,08/03/2022--17:08:03,1050599.6,18039630.95
1659539025.8442419,08/04/2022--01:03:45,905502.55,15826084.3
1659567977.65322,08/04/2022--09:06:17,802905.35,8376020.75
1659596737.4315803,08/04/2022--17:05:37,744662.5,7578654.55
1659625544.4629736,08/05/2022--01:05:44,801062.95,8691355.8
1659654487.963708,08/05/2022--09:08:07,743892.75,8204983.6
1659683098.9748487,08/05/2022--17:04:58,859677.2,6807799.95
1659798058.491692,08/07/2022--01:00:58,1811498.8,11273873.15
1659826821.1099102,08/07/2022--09:00:21,1177389.1,8731527.0
1659886109.5671794,08/08/2022--01:28:29,1057762.9,8512966.8
1659915489.3146017,08/08/2022--09:38:09,819851.35,6930540.65
1659942684.7980738,08/08/2022--17:11:24,997522.1,8280540.95
1659971568.7314563,08/09/2022--01:12:48,1787203.65,13400980.6
1660030295.9264836,08/09/2022--17:31:35,1374335.25,12015721.2
1660172904.0226371,08/11/2022--09:08:24,2478118.95,13603458.95
1660202153.9173074,08/11/2022--17:15:53,2715508.3,17645429.05
1660260089.9444501,08/12/2022--09:21:29,1289496.4,11652778.25
1660288029.6810946,08/12/2022--17:07:09,950040.65,7226273.15
1660316972.8768725,08/13/2022--01:09:32,1385318.65,9076520.9
1660347292.7260678,08/13/2022--09:34:52,1054248.05,6769628.25
1660374586.0104291,08/13/2022--17:09:46,1347156.9,10461618.25
1660434289.4885554,08/14/2022--09:44:49,1365048.35,9512098.65
1660462690.270382,08/14/2022--17:38:10,901149.9,6404641.5
1660490144.9181502,08/15/2022--01:15:44,842228.9,7973191.9
1660520035.3389182,08/15/2022--09:33:55,765506.75,10683286.35
1660548110.1855645,08/15/2022--17:21:50,1336804.75,18315260.5
1660633733.4457946,08/16/2022--17:08:53,793010.65,12693857.45
1660662258.480969,08/17/2022--01:04:18,1068692.2,18220987.95
1660692425.9171295,08/17/2022--09:27:05,872233.5,13498769.15
1660720046.0474148,08/17/2022--17:07:26,830712.65,13035077.7
1660748548.0576525,08/18/2022--01:02:28,727014.85,13003888.8
1660778179.3441532,08/18/2022--09:16:19,693346.25,12435559.7
1660807681.1939256,08/18/2022--17:28:01,659321.85,12598610.6
1660835293.140338,08/19/2022--01:08:13,562691.35,9192596.7
1660864583.2861524,08/19/2022--09:16:23,534740.9,9870710.75
1660892982.9673333,08/19/2022--17:09:42,769244.65,16779179.1
1660921520.297617,08/20/2022--01:05:20,717640.5,15458268.9
1660950648.5543876,08/20/2022--09:10:48,564387.65,8666205.9
1660979282.6113882,08/20/2022--17:08:02,793796.85,12977834.2
1661036095.206883,08/21/2022--08:54:55,647130.55,13018865.65
1661064380.1041234,08/21/2022--16:46:20,603560.25,11628153.45
1661123013.330709,08/22/2022--09:03:33,336018.65,8090814.0
1661208404.7366545,08/23/2022--08:46:44,507668.25,14776776.5
1661237565.4076488,08/23/2022--16:52:45,458026.8,7369005.1
1661266871.3852978,08/24/2022--01:01:11,816183.95,16048348.1
1661296200.2926245,08/24/2022--09:10:00,413652.2,617717.25
1661352340.4753387,08/25/2022--00:45:40,624217.4,12141086.6
1661381476.9667122,08/25/2022--08:51:16,721783.85,12856843.75
1661468398.2601244,08/26/2022--08:59:58,734845.05,8464647.4
1661526117.894191,08/27/2022--01:01:57,770134.9,18066515.4
1661554881.5495105,08/27/2022--09:01:21,692989.4,11352141.65
1661727756.8158545,08/29/2022--09:02:36,899129.4,20575360.7
1661756562.5978346,08/29/2022--17:02:42,364429.2,949933.7
1661785309.2744918,08/30/2022--01:01:49,696309.45,18848342.6
1661814174.102714,08/30/2022--09:02:54,315298.9,809287.0
1661842454.955498,08/30/2022--16:54:14,498327.05,10900746.8
1661900684.184366,08/31/2022--09:04:44,627981.6,4928523.55
1661958420.0029917,09/01/2022--01:07:00,265457.95,1021850.75
1662015716.7539146,09/01/2022--17:01:56,458747.45,12756031.55
1662076772.6337636,09/02/2022--09:59:32,408381.7,9115054.2
