unixTime,dateTime,7,priceManip
1658964011.7123463,07/28/2022--09:20:11,778370.6,10298683.25
1658991790.2457771,07/28/2022--17:03:10,1032288.1,13658285.4
1659135989.7470224,07/30/2022--09:06:29,1064123.8,14079506.4
1659164560.1930625,07/30/2022--17:02:40,745301.75,9861146.85
1659510483.5113194,08/03/2022--17:08:03,818627.35,10831323.6
1659567977.65322,08/04/2022--09:06:17,516411.9,6832686.9
1659596737.4315803,08/04/2022--17:05:37,730298.45,9662636.5
1659625544.4629736,08/05/2022--01:05:44,1481768.05,19605390.5
1659654487.963708,08/05/2022--09:08:07,836613.1,11069294.2
1659798058.491692,08/07/2022--01:00:58,2140526.7,28321478.8
1659826821.1099102,08/07/2022--09:00:21,1946690.6,25756817.85
1659886109.5671794,08/08/2022--01:28:29,1750611.5,23162479.8
1659915489.3146017,08/08/2022--09:38:09,1977203.55,26160536.9
1659942684.7980738,08/08/2022--17:11:24,2551424.05,33758093.75
1660434289.4885554,08/14/2022--09:44:49,559443.5,7402041.05
1660462690.270382,08/14/2022--17:38:10,676853.05,8955496.7
1660490144.9181502,08/15/2022--01:15:44,1257501.95,16638107.85
1660520035.3389182,08/15/2022--09:33:55,959393.05,12693805.6
1660633733.4457946,08/16/2022--17:08:53,1509630.25,19974037.7
1660921520.297617,08/20/2022--01:05:20,832483.1,11014650.1
1660950648.5543876,08/20/2022--09:10:48,620956.4,8215923.4
1660979282.6113882,08/20/2022--17:08:02,946481.75,12522975.4
1662076772.6337636,09/02/2022--09:59:32,274426.15,3630954.2
