unixTime,dateTime,7,priceManip
1662138582.51673,09/03/2022--03:09:42,3503.0,31880.65
1662219769.5638413,09/04/2022--01:42:49,1312355.95,4814415.8
1662220153.5368824,09/04/2022--01:49:13,231073.4,1902.7
1662221399.8560996,09/04/2022--02:09:59,246558.1,2248.55
1662235003.77689,09/04/2022--05:56:43,249259.65,5876.1
1662235659.2866502,09/04/2022--06:07:39,264494.8,2734.6
1662242440.1575584,09/04/2022--08:00:40,358890.3,4872.05
1662271237.1247303,09/04/2022--16:00:37,296526.1,1996.7
1662300038.3350203,09/05/2022--00:00:38,293568.8,1769.35
1662328838.1739511,09/05/2022--08:00:38,325460.85,3921.55
1662357639.7296872,09/05/2022--16:00:39,173708.8,6096.1
1662386440.010441,09/06/2022--00:00:40,395808.1,5799.7
1662415240.477175,09/06/2022--08:00:40,312576.65,2396.5
1662444039.4214554,09/06/2022--16:00:39,123237.75,1346.0
1662472838.6704981,09/07/2022--00:00:38,446482.35,11701.65
1662501639.2524316,09/07/2022--08:00:39,596327.9,1408.5
1662530437.6183803,09/07/2022--16:00:37,409441.25,862.25
