unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,762786.0,3854901.1
1657807946.3195548,07/15/2022--00:12:26,618009.55,3862769.55
1657865324.281464,07/15/2022--16:08:44,912066.6,5425251.55
1657894118.107123,07/16/2022--00:08:38,577905.3,4811469.65
1658812815.1912007,07/26/2022--15:20:15,1197449.65,4921315.45
1658815736.5710416,07/26/2022--16:08:56,714654.4,2719459.9
1658844889.9973571,07/27/2022--00:14:49,745794.55,2807802.9
1658848005.9232907,07/27/2022--01:06:45,1074714.0,4414542.3
1658876959.8061535,07/27/2022--09:09:19,967069.65,4870282.55
1658906431.1616275,07/27/2022--17:20:31,1510330.75,8495393.05
1658964011.7123463,07/28/2022--09:20:11,1092057.3,4048116.3
1658991790.2457771,07/28/2022--17:03:10,1225059.35,4120563.65
1659049859.7900746,07/29/2022--09:10:59,1618215.65,14793052.25
1659079050.0223944,07/29/2022--17:17:30,1789296.55,12145802.05
1659135989.7470224,07/30/2022--09:06:29,2704715.55,14099005.1
1659164560.1930625,07/30/2022--17:02:40,1243934.05,8719784.35
1659193295.8534577,07/31/2022--01:01:35,1721604.85,12453816.6
1659223175.87765,07/31/2022--09:19:35,1225133.15,11014906.75
1659394922.9589896,08/02/2022--09:02:02,1223712.2,6791398.05
1659423710.70845,08/02/2022--17:01:50,1573102.35,8451725.2
1659452479.933005,08/03/2022--01:01:19,1816656.95,10914763.7
1659481254.5834172,08/03/2022--09:00:54,1584173.1,9423893.65
1659510483.5113194,08/03/2022--17:08:03,2004326.2,9153177.0
1659539025.8442419,08/04/2022--01:03:45,1829734.75,8230523.1
1659567977.65322,08/04/2022--09:06:17,2945747.95,13151146.85
1659596737.4315803,08/04/2022--17:05:37,1700850.85,10071152.65
1659625544.4629736,08/05/2022--01:05:44,1875206.75,13012050.6
1659654487.963708,08/05/2022--09:08:07,1441997.2,9870789.35
1659683098.9748487,08/05/2022--17:04:58,1486303.35,10326023.15
1659798058.491692,08/07/2022--01:00:58,1647348.6,7617555.5
1659826821.1099102,08/07/2022--09:00:21,1552602.4,8398575.1
1659886109.5671794,08/08/2022--01:28:29,1614889.0,7569335.95
1659915489.3146017,08/08/2022--09:38:09,1952417.2,9386426.1
1659942684.7980738,08/08/2022--17:11:24,1641698.8,8636721.3
1659971568.7314563,08/09/2022--01:12:48,2057801.5,8270379.15
1660030295.9264836,08/09/2022--17:31:35,1545148.2,9323962.5
1660172904.0226371,08/11/2022--09:08:24,1438491.9,8429020.45
1660202153.9173074,08/11/2022--17:15:53,1549986.95,8314631.55
1660260089.9444501,08/12/2022--09:21:29,1163542.45,8003967.1
1660288029.6810946,08/12/2022--17:07:09,1152706.3,7748736.3
1660316972.8768725,08/13/2022--01:09:32,1111124.35,7484180.1
1660347292.7260678,08/13/2022--09:34:52,1128844.65,7515383.7
1660374586.0104291,08/13/2022--17:09:46,1208521.3,7509376.0
1660434289.4885554,08/14/2022--09:44:49,1201379.0,7559310.0
1660462690.270382,08/14/2022--17:38:10,1248313.2,6730375.85
1660490144.9181502,08/15/2022--01:15:44,1526623.3,7675397.3
1660520035.3389182,08/15/2022--09:33:55,1222860.4,7374790.25
1660548110.1855645,08/15/2022--17:21:50,1099488.9,6043718.4
1660633733.4457946,08/16/2022--17:08:53,1134948.35,7822279.3
1660662258.480969,08/17/2022--01:04:18,1039189.1,7641791.85
1660692425.9171295,08/17/2022--09:27:05,1241894.25,8476394.35
1660720046.0474148,08/17/2022--17:07:26,1055593.9,7506665.5
1660748548.0576525,08/18/2022--01:02:28,808835.0,6795874.4
1660778179.3441532,08/18/2022--09:16:19,1005378.7,8336775.4
1660807681.1939256,08/18/2022--17:28:01,996101.0,8924674.15
1660835293.140338,08/19/2022--01:08:13,1020313.55,8472616.6
1660864583.2861524,08/19/2022--09:16:23,883973.35,7552196.7
1660892982.9673333,08/19/2022--17:09:42,823633.25,9305242.55
1660921520.297617,08/20/2022--01:05:20,730848.8,6812660.1
1660950648.5543876,08/20/2022--09:10:48,774374.0,9010438.6
1660979282.6113882,08/20/2022--17:08:02,700929.45,5018931.8
1661036095.206883,08/21/2022--08:54:55,803216.95,7270849.25
1661064380.1041234,08/21/2022--16:46:20,888336.45,7033131.35
1661123013.330709,08/22/2022--09:03:33,1602152.8,11495146.4
1661208404.7366545,08/23/2022--08:46:44,848855.55,8941699.7
1661237565.4076488,08/23/2022--16:52:45,818741.55,9058695.85
1661266871.3852978,08/24/2022--01:01:11,698109.0,8788318.8
1661296200.2926245,08/24/2022--09:10:00,885500.75,9356445.0
1661352340.4753387,08/25/2022--00:45:40,845659.25,9336826.2
1661381476.9667122,08/25/2022--08:51:16,657076.6,5658147.3
1661468398.2601244,08/26/2022--08:59:58,934279.6,9843579.15
1661526117.894191,08/27/2022--01:01:57,785827.5,9099090.9
1661554881.5495105,08/27/2022--09:01:21,943255.45,10827948.15
1661727756.8158545,08/29/2022--09:02:36,639143.0,7948544.7
1661756562.5978346,08/29/2022--17:02:42,852833.35,9320195.55
1661785309.2744918,08/30/2022--01:01:49,766022.25,8682564.85
1661814174.102714,08/30/2022--09:02:54,893636.75,7449309.85
1661842454.955498,08/30/2022--16:54:14,878532.0,8254634.55
1661900684.184366,08/31/2022--09:04:44,707857.7,6317189.9
1661958420.0029917,09/01/2022--01:07:00,803742.05,8218912.9
1662015716.7539146,09/01/2022--17:01:56,614070.7,6750053.35
1662076772.6337636,09/02/2022--09:59:32,750718.2,9601456.4
