unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,31965.0,422931.25
1657807946.3195548,07/15/2022--00:12:26,73656.2,974551.05
1657865324.281464,07/15/2022--16:08:44,54411.2,719918.8
1657894118.107123,07/16/2022--00:08:38,190683.05,2522942.75
1658812815.1912007,07/26/2022--15:20:15,129690.15,1715940.6
1658815736.5710416,07/26/2022--16:08:56,84927.2,1123678.45
1658844889.9973571,07/27/2022--00:14:49,207177.05,2741175.7
1658848005.9232907,07/27/2022--01:06:45,211130.05,2793478.5
1658876959.8061535,07/27/2022--09:09:19,404053.55,5346064.45
1658906431.1616275,07/27/2022--17:20:31,302223.0,3998736.25
1658964011.7123463,07/28/2022--09:20:11,236873.65,3134093.95
1658991790.2457771,07/28/2022--17:03:10,63719.55,843078.3
1659049859.7900746,07/29/2022--09:10:59,84355.55,1116114.9
1659079050.0223944,07/29/2022--17:17:30,74825.65,990024.2
1659135989.7470224,07/30/2022--09:06:29,600218.9,7941543.75
1659164560.1930625,07/30/2022--17:02:40,71317.65,943609.5
1659193295.8534577,07/31/2022--01:01:35,265968.55,3519051.25
1659223175.87765,07/31/2022--09:19:35,208245.6,2755314.15
1659394922.9589896,08/02/2022--09:02:02,1815597.6,24022315.95
1659423710.70845,08/02/2022--17:01:50,254288.9,3364516.35
1659452479.933005,08/03/2022--01:01:19,404084.85,5346479.0
1659481254.5834172,08/03/2022--09:00:54,34916.4,461981.7
1659510483.5113194,08/03/2022--17:08:03,285674.7,3779784.65
1659539025.8442419,08/04/2022--01:03:45,694001.25,9182385.85
1659567977.65322,08/04/2022--09:06:17,549486.8,7270303.6
1659596737.4315803,08/04/2022--17:05:37,800938.95,10597286.6
1659625544.4629736,08/05/2022--01:05:44,163492.0,2163175.65
1659654487.963708,08/05/2022--09:08:07,263427.5,3485429.9
1659683098.9748487,08/05/2022--17:04:58,335928.65,4444698.3
1659798058.491692,08/07/2022--01:00:58,320134.5,4235724.9
1659826821.1099102,08/07/2022--09:00:21,329260.45,4356471.2
1659886109.5671794,08/08/2022--01:28:29,404959.65,5358053.55
1659915489.3146017,08/08/2022--09:38:09,309089.7,4089590.55
1659942684.7980738,08/08/2022--17:11:24,663468.7,8778407.3
1659971568.7314563,08/09/2022--01:12:48,592561.35,7840226.5
1660030295.9264836,08/09/2022--17:31:35,356312.9,4714404.15
1660172904.0226371,08/11/2022--09:08:24,325005.85,4300177.9
1660202153.9173074,08/11/2022--17:15:53,338407.05,4477490.5
1660260089.9444501,08/12/2022--09:21:29,183165.3,2423474.9
1660288029.6810946,08/12/2022--17:07:09,315151.15,4169789.65
1660316972.8768725,08/13/2022--01:09:32,212634.9,2813389.05
1660347292.7260678,08/13/2022--09:34:52,456468.35,6039568.65
1660374586.0104291,08/13/2022--17:09:46,520043.35,6880734.85
1660434289.4885554,08/14/2022--09:44:49,24368.55,322422.5
1660462690.270382,08/14/2022--17:38:10,253638.95,3355917.05
1660490144.9181502,08/15/2022--01:15:44,2215071.9,29307792.15
1660520035.3389182,08/15/2022--09:33:55,160245.9,2120226.25
1660548110.1855645,08/15/2022--17:21:50,182562.05,2415492.95
1660633733.4457946,08/16/2022--17:08:53,1908272.5,25248504.85
1660662258.480969,08/17/2022--01:04:18,228150.9,3018682.8
1660692425.9171295,08/17/2022--09:27:05,419421.25,5549395.95
1660720046.0474148,08/17/2022--17:07:26,411102.6,5439331.35
1660748548.0576525,08/18/2022--01:02:28,140968.6,1865166.5
1660778179.3441532,08/18/2022--09:16:19,271130.5,3587348.8
1660807681.1939256,08/18/2022--17:28:01,97333.05,1287821.2
1660835293.140338,08/19/2022--01:08:13,316120.85,4182620.1
1660864583.2861524,08/19/2022--09:16:23,607050.5,8031933.0
1660892982.9673333,08/19/2022--17:09:42,91947.0,1216557.75
1660921520.297617,08/20/2022--01:05:20,216492.25,2864426.45
1660950648.5543876,08/20/2022--09:10:48,80113.8,1059992.15
1660979282.6113882,08/20/2022--17:08:02,42705.85,565044.35
1661036095.206883,08/21/2022--08:54:55,129159.55,1708920.5
1661064380.1041234,08/21/2022--16:46:20,56522.5,747853.95
1661123013.330709,08/22/2022--09:03:33,178231.85,2358199.6
1661208404.7366545,08/23/2022--08:46:44,187287.2,2478011.75
1661237565.4076488,08/23/2022--16:52:45,216292.9,2861788.45
1661266871.3852978,08/24/2022--01:01:11,191166.8,2529343.3
1661296200.2926245,08/24/2022--09:10:00,232224.15,3072576.4
1661381476.9667122,08/25/2022--08:51:16,121768.7,1611131.55
1661468398.2601244,08/26/2022--08:59:58,199880.15,2644629.8
1661526117.894191,08/27/2022--01:01:57,185124.8,2449400.7
1661554881.5495105,08/27/2022--09:01:21,322128.3,4262105.2
1661727756.8158545,08/29/2022--09:02:36,136498.45,1806021.7
1661756562.5978346,08/29/2022--17:02:42,70144.65,928089.6
1661785309.2744918,08/30/2022--01:01:49,171739.2,2272294.95
1661814174.102714,08/30/2022--09:02:54,120186.75,1590200.7
1661842454.955498,08/30/2022--16:54:14,51002.7,674820.55
1661900684.184366,08/31/2022--09:04:44,139001.9,1839145.3
1661958420.0029917,09/01/2022--01:07:00,124348.2,1645260.8
1662076772.6337636,09/02/2022--09:59:32,139423.95,1844729.15
