unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,1388516.05,5728580.4
1657807946.3195548,07/15/2022--00:12:26,2646993.65,10378731.75
1657865324.281464,07/15/2022--16:08:44,1979473.3,7192353.95
1657894118.107123,07/16/2022--00:08:38,2014087.4,1978580.2
1658812815.1912007,07/26/2022--15:20:15,2346919.6,9768243.85
1658815736.5710416,07/26/2022--16:08:56,2045135.15,7681655.85
1658844889.9973571,07/27/2022--00:14:49,2215632.25,11095245.55
1658848005.9232907,07/27/2022--01:06:45,1857347.1,8817895.95
1658876959.8061535,07/27/2022--09:09:19,1867544.25,8460514.1
1658906431.1616275,07/27/2022--17:20:31,2140315.1,9140601.05
1658964011.7123463,07/28/2022--09:20:11,1992607.35,8746974.45
1658991790.2457771,07/28/2022--17:03:10,1838841.85,9308553.2
1659049859.7900746,07/29/2022--09:10:59,1779762.45,8953292.6
1659079050.0223944,07/29/2022--17:17:30,2121897.4,10103618.15
1659135989.7470224,07/30/2022--09:06:29,1809457.3,15208008.7
1659164560.1930625,07/30/2022--17:02:40,2875298.7,10141566.6
1659193295.8534577,07/31/2022--01:01:35,1504060.7,3154816.5
1659223175.87765,07/31/2022--09:19:35,2109733.1,6960236.8
1659394922.9589896,08/02/2022--09:02:02,2638426.1,10777671.25
1659423710.70845,08/02/2022--17:01:50,2325850.6,10131766.1
1659452479.933005,08/03/2022--01:01:19,2026349.45,8019853.75
1659481254.5834172,08/03/2022--09:00:54,2409046.25,9939196.2
1659510483.5113194,08/03/2022--17:08:03,2227579.75,9273789.3
1659539025.8442419,08/04/2022--01:03:45,2778230.0,7402338.75
1659567977.65322,08/04/2022--09:06:17,2139554.6,8361195.0
1659596737.4315803,08/04/2022--17:05:37,2872351.75,11948434.85
1659625544.4629736,08/05/2022--01:05:44,2529723.45,9828070.5
1659654487.963708,08/05/2022--09:08:07,2368027.2,11231280.25
1659683098.9748487,08/05/2022--17:04:58,2577606.35,14732217.65
1659798058.491692,08/07/2022--01:00:58,2462929.05,12059294.05
1659826821.1099102,08/07/2022--09:00:21,2581236.75,15448561.0
1659886109.5671794,08/08/2022--01:28:29,2190425.6,11033398.5
1659915489.3146017,08/08/2022--09:38:09,1926224.3,11411733.6
1659942684.7980738,08/08/2022--17:11:24,2377418.45,11904663.8
1659971568.7314563,08/09/2022--01:12:48,2360882.1,11030487.35
1660030295.9264836,08/09/2022--17:31:35,2437758.7,12427737.75
1660172904.0226371,08/11/2022--09:08:24,4770583.45,17999645.0
1660202153.9173074,08/11/2022--17:15:53,3742868.05,15791437.05
1660260089.9444501,08/12/2022--09:21:29,3224937.2,21042787.2
1660288029.6810946,08/12/2022--17:07:09,2782276.55,20242018.35
1660316972.8768725,08/13/2022--01:09:32,2920012.55,21262171.75
1660347292.7260678,08/13/2022--09:34:52,2184185.3,3823932.7
1660374586.0104291,08/13/2022--17:09:46,3218603.8,25398664.2
1660434289.4885554,08/14/2022--09:44:49,2643251.95,19943604.15
1660462690.270382,08/14/2022--17:38:10,3782075.4,22977471.5
1660490144.9181502,08/15/2022--01:15:44,3665876.75,25139855.7
1660520035.3389182,08/15/2022--09:33:55,3326424.95,23339637.65
1660548110.1855645,08/15/2022--17:21:50,2691716.35,21944477.9
1660633733.4457946,08/16/2022--17:08:53,2368927.45,17528984.3
1660662258.480969,08/17/2022--01:04:18,1971194.75,14879375.95
1660692425.9171295,08/17/2022--09:27:05,2395276.9,20834789.2
1660720046.0474148,08/17/2022--17:07:26,2514343.9,20122216.15
1660748548.0576525,08/18/2022--01:02:28,2891351.3,22102470.1
1660778179.3441532,08/18/2022--09:16:19,3061585.25,19317616.35
1660807681.1939256,08/18/2022--17:28:01,3194292.7,21869093.05
1660835293.140338,08/19/2022--01:08:13,2799042.75,20472608.95
1660864583.2861524,08/19/2022--09:16:23,2626715.5,18920512.45
1660892982.9673333,08/19/2022--17:09:42,2296013.2,14470013.05
1660921520.297617,08/20/2022--01:05:20,2599299.25,13022453.4
1660950648.5543876,08/20/2022--09:10:48,2608559.5,14121276.2
1660979282.6113882,08/20/2022--17:08:02,2191008.45,12289587.9
1661036095.206883,08/21/2022--08:54:55,3135225.75,16041415.3
1661064380.1041234,08/21/2022--16:46:20,2175477.95,14036404.8
1661123013.330709,08/22/2022--09:03:33,1617181.5,12568910.55
1661208404.7366545,08/23/2022--08:46:44,2142034.55,10922215.5
1661237565.4076488,08/23/2022--16:52:45,2488516.85,12852636.9
1661266871.3852978,08/24/2022--01:01:11,2339358.8,11273014.35
1661296200.2926245,08/24/2022--09:10:00,2522755.75,11062812.25
1661352340.4753387,08/25/2022--00:45:40,2119159.95,11217392.9
1661381476.9667122,08/25/2022--08:51:16,2100881.35,10871242.45
1661468398.2601244,08/26/2022--08:59:58,3174462.35,16652278.2
1661526117.894191,08/27/2022--01:01:57,2114675.5,10791907.1
1661554881.5495105,08/27/2022--09:01:21,1621411.1,8371432.05
1661727756.8158545,08/29/2022--09:02:36,1950336.65,9337076.75
1661756562.5978346,08/29/2022--17:02:42,1950205.75,9727123.4
1661785309.2744918,08/30/2022--01:01:49,2280108.5,10195047.95
1661814174.102714,08/30/2022--09:02:54,2694830.85,11862769.35
1661842454.955498,08/30/2022--16:54:14,2511851.05,10745406.9
1661900684.184366,08/31/2022--09:04:44,2391910.4,10450261.9
1661958420.0029917,09/01/2022--01:07:00,1883239.25,10171273.25
1662015716.7539146,09/01/2022--17:01:56,2135175.95,11660640.75
1662076772.6337636,09/02/2022--09:59:32,3091387.65,13677247.85
1662550903.6035295,09/07/2022--21:41:43,8407690.5,144924.6
1662551753.3573747,09/07/2022--21:55:53,957967.5,92393.05
1662559985.5234134,09/08/2022--00:13:05,1826695.0,101410.45
1662588763.610914,09/08/2022--08:12:43,2119084.95,31301.85
1662610812.5265677,09/08/2022--14:20:12,1152100.95,18278.75
1662610963.4657726,09/08/2022--14:22:43,1256833.85,16902.35
1662611794.007232,09/08/2022--14:36:34,2000296.45,214489.35
1662611943.0167503,09/08/2022--14:39:03,1874759.95,212765.3
1662621986.2405047,09/08/2022--17:26:26,1964776.45,195994.9
1662622218.293981,09/08/2022--17:30:18,1874279.4,195927.15
1662622778.1498172,09/08/2022--17:39:38,1745835.15,173598.3
1662623809.4544508,09/08/2022--17:56:49,1690769.65,179127.05
1662624448.4393318,09/08/2022--18:07:28,1838497.8,192680.7
1662627963.9267988,09/08/2022--19:06:03,1988614.55,5574.2
1662647099.1538022,09/09/2022--00:24:59,1653689.4,5085.35
1662648603.7050903,09/09/2022--00:50:03,1691276.7,5361.9
1662653232.5196137,09/09/2022--02:07:12,1831524.65,4393.1
1662653543.4232605,09/09/2022--02:12:23,1971158.2,144103.35
