unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,1847831.15,14437758.65
1657807946.3195548,07/15/2022--00:12:26,1830652.95,13226455.0
1657865324.281464,07/15/2022--16:08:44,2938392.3,25275719.35
1657894118.107123,07/16/2022--00:08:38,1977939.65,20572299.35
1658812815.1912007,07/26/2022--15:20:15,1741726.6,18101539.45
1658815736.5710416,07/26/2022--16:08:56,1411135.7,15314809.25
1658844889.9973571,07/27/2022--00:14:49,1350815.5,13661284.55
1658848005.9232907,07/27/2022--01:06:45,1541110.9,21955876.85
1658876959.8061535,07/27/2022--09:09:19,1358516.3,13783081.35
1658906431.1616275,07/27/2022--17:20:31,1429376.35,15841454.95
1658964011.7123463,07/28/2022--09:20:11,1886982.7,22182688.7
1658991790.2457771,07/28/2022--17:03:10,1634299.25,19755187.2
1659049859.7900746,07/29/2022--09:10:59,1460037.4,18118186.9
1659079050.0223944,07/29/2022--17:17:30,1968089.65,23207328.35
1659135989.7470224,07/30/2022--09:06:29,2097062.4,23889636.05
1659164560.1930625,07/30/2022--17:02:40,2162385.9,20721587.35
1659193295.8534577,07/31/2022--01:01:35,2153217.7,22159328.65
1659223175.87765,07/31/2022--09:19:35,2398076.55,25219570.05
1659394922.9589896,08/02/2022--09:02:02,2012007.9,20317544.9
1659423710.70845,08/02/2022--17:01:50,2197947.05,22227382.75
1659452479.933005,08/03/2022--01:01:19,2016684.8,17908930.45
1659481254.5834172,08/03/2022--09:00:54,4879112.2,22483525.9
1659510483.5113194,08/03/2022--17:08:03,4887015.25,23673979.6
1659539025.8442419,08/04/2022--01:03:45,2621441.4,22972544.75
1659567977.65322,08/04/2022--09:06:17,5462956.4,25915415.4
1659596737.4315803,08/04/2022--17:05:37,4382053.25,21383737.65
1659625544.4629736,08/05/2022--01:05:44,4859409.95,24252548.25
1659654487.963708,08/05/2022--09:08:07,4935537.0,24456084.2
1659683098.9748487,08/05/2022--17:04:58,4242744.8,24143849.95
1659798058.491692,08/07/2022--01:00:58,2723357.6,30787137.6
1659826821.1099102,08/07/2022--09:00:21,2946399.55,30131044.5
1659886109.5671794,08/08/2022--01:28:29,2574404.95,28404858.55
1659915489.3146017,08/08/2022--09:38:09,2699243.5,30895673.9
1659942684.7980738,08/08/2022--17:11:24,2551585.6,30502090.1
1659971568.7314563,08/09/2022--01:12:48,2239427.2,31181059.25
1660030295.9264836,08/09/2022--17:31:35,1845490.1,25799704.7
1660172904.0226371,08/11/2022--09:08:24,2154170.0,43031626.95
1660202153.9173074,08/11/2022--17:15:53,2517915.8,44547648.3
1660260089.9444501,08/12/2022--09:21:29,2054362.25,32809526.05
1660288029.6810946,08/12/2022--17:07:09,2222562.55,32558012.95
1660316972.8768725,08/13/2022--01:09:32,2514175.0,35403056.2
1660347292.7260678,08/13/2022--09:34:52,2185835.65,26161087.75
1660374586.0104291,08/13/2022--17:09:46,2402461.8,30198429.05
1660434289.4885554,08/14/2022--09:44:49,2277384.45,31298757.0
1660462690.270382,08/14/2022--17:38:10,2521788.65,33710353.8
1660490144.9181502,08/15/2022--01:15:44,2688535.6,32923177.9
1660520035.3389182,08/15/2022--09:33:55,2703536.55,36113548.9
1660548110.1855645,08/15/2022--17:21:50,2595214.0,36748209.15
1660633733.4457946,08/16/2022--17:08:53,2489074.55,23150653.6
1660662258.480969,08/17/2022--01:04:18,2746901.3,21468601.7
1660692425.9171295,08/17/2022--09:27:05,2798910.3,26585151.6
1660720046.0474148,08/17/2022--17:07:26,2414333.9,23191614.3
1660748548.0576525,08/18/2022--01:02:28,3352211.0,40701485.3
1660778179.3441532,08/18/2022--09:16:19,3369447.6,45931209.15
1660807681.1939256,08/18/2022--17:28:01,2711874.9,28984915.05
1660835293.140338,08/19/2022--01:08:13,2572334.95,28518334.8
1660864583.2861524,08/19/2022--09:16:23,2275979.9,30114601.8
1660892982.9673333,08/19/2022--17:09:42,2738113.15,39772312.5
1660921520.297617,08/20/2022--01:05:20,3782861.65,35010768.6
1660950648.5543876,08/20/2022--09:10:48,2290307.9,25458823.7
1660979282.6113882,08/20/2022--17:08:02,1798556.55,21906316.45
1661036095.206883,08/21/2022--08:54:55,2056599.7,25806913.05
1661064380.1041234,08/21/2022--16:46:20,1993459.1,21545147.4
1661123013.330709,08/22/2022--09:03:33,2053094.0,25235353.15
1661208404.7366545,08/23/2022--08:46:44,2012677.85,27624848.25
1661237565.4076488,08/23/2022--16:52:45,1699088.75,23328134.65
1661266871.3852978,08/24/2022--01:01:11,1954899.6,29224579.85
1661296200.2926245,08/24/2022--09:10:00,2400831.4,29886981.3
1661352340.4753387,08/25/2022--00:45:40,2379658.3,24699527.5
1661381476.9667122,08/25/2022--08:51:16,2690442.8,29454401.0
1661468398.2601244,08/26/2022--08:59:58,2164614.05,22273405.85
1661526117.894191,08/27/2022--01:01:57,1768387.55,27743752.75
1661554881.5495105,08/27/2022--09:01:21,1693972.75,23165332.85
1661727756.8158545,08/29/2022--09:02:36,1821245.65,23270868.15
1661756562.5978346,08/29/2022--17:02:42,1921365.1,22991103.8
1661785309.2744918,08/30/2022--01:01:49,1800119.1,23968408.2
1661814174.102714,08/30/2022--09:02:54,1932606.0,24872938.75
1661842454.955498,08/30/2022--16:54:14,2096077.75,28890001.65
1661900684.184366,08/31/2022--09:04:44,1727025.35,21662305.1
1661958420.0029917,09/01/2022--01:07:00,1960231.7,28741172.55
1662015716.7539146,09/01/2022--17:01:56,1610004.25,20582703.5
1662076772.6337636,09/02/2022--09:59:32,2615240.5,29184965.35
