unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,139355.25,5751.6
1657807946.3195548,07/15/2022--00:12:26,145068.35,5157.25
1657865324.281464,07/15/2022--16:08:44,200935.95,8198.95
1657894118.107123,07/16/2022--00:08:38,145051.05,7938.5
1658812815.1912007,07/26/2022--15:20:15,122498.65,40545.05
1658815736.5710416,07/26/2022--16:08:56,137784.2,42600.1
1658844889.9973571,07/27/2022--00:14:49,151278.95,877214.95
1658848005.9232907,07/27/2022--01:06:45,157824.4,51731.3
1658876959.8061535,07/27/2022--09:09:19,192434.2,55724.4
1658906431.1616275,07/27/2022--17:20:31,213481.85,74633.9
1658964011.7123463,07/28/2022--09:20:11,211335.05,53059.2
1658991790.2457771,07/28/2022--17:03:10,138160.75,751896.7
1659049859.7900746,07/29/2022--09:10:59,210500.15,54091.95
1659079050.0223944,07/29/2022--17:17:30,277421.3,71484.1
1659135989.7470224,07/30/2022--09:06:29,151603.05,443365.8
1659164560.1930625,07/30/2022--17:02:40,72245.7,348986.15
1659193295.8534577,07/31/2022--01:01:35,337316.2,49117.15
1659223175.87765,07/31/2022--09:19:35,397936.6,50546.05
1659394922.9589896,08/02/2022--09:02:02,255139.9,54661.45
1659423710.70845,08/02/2022--17:01:50,189064.3,45860.4
1659452479.933005,08/03/2022--01:01:19,161626.35,571858.0
1659481254.5834172,08/03/2022--09:00:54,99387.15,351022.9
1659510483.5113194,08/03/2022--17:08:03,236243.3,50170.5
1659539025.8442419,08/04/2022--01:03:45,208988.65,51549.4
1659567977.65322,08/04/2022--09:06:17,218581.75,67697.9
1659596737.4315803,08/04/2022--17:05:37,273724.7,57851.9
1659625544.4629736,08/05/2022--01:05:44,173504.1,38393.8
1659654487.963708,08/05/2022--09:08:07,264220.0,53822.5
1659683098.9748487,08/05/2022--17:04:58,181834.4,39816.9
1659798058.491692,08/07/2022--01:00:58,208155.85,41030.15
1659826821.1099102,08/07/2022--09:00:21,183334.7,39777.9
1659886109.5671794,08/08/2022--01:28:29,213824.8,45888.9
1659915489.3146017,08/08/2022--09:38:09,191577.3,31257.0
1659942684.7980738,08/08/2022--17:11:24,104944.5,345767.8
1659971568.7314563,08/09/2022--01:12:48,191835.55,40525.9
1660030295.9264836,08/09/2022--17:31:35,192304.75,43665.05
1660172904.0226371,08/11/2022--09:08:24,167403.4,35260.9
1660202153.9173074,08/11/2022--17:15:53,188535.3,8828.7
1660260089.9444501,08/12/2022--09:21:29,110385.35,4492.15
1660288029.6810946,08/12/2022--17:07:09,179823.9,7296.1
1660316972.8768725,08/13/2022--01:09:32,315999.3,41529.15
1660347292.7260678,08/13/2022--09:34:52,299563.85,36639.7
1660374586.0104291,08/13/2022--17:09:46,228094.2,30416.15
1660434289.4885554,08/14/2022--09:44:49,358135.75,53849.25
1660462690.270382,08/14/2022--17:38:10,114769.35,405547.55
1660490144.9181502,08/15/2022--01:15:44,230563.9,21175.9
1660520035.3389182,08/15/2022--09:33:55,295537.05,29543.95
1660548110.1855645,08/15/2022--17:21:50,180312.1,21940.6
1660633733.4457946,08/16/2022--17:08:53,100581.15,376774.6
1660662258.480969,08/17/2022--01:04:18,190917.2,29007.75
1660692425.9171295,08/17/2022--09:27:05,166122.35,22422.15
1660720046.0474148,08/17/2022--17:07:26,272474.1,44090.35
1660748548.0576525,08/18/2022--01:02:28,134203.75,21292.05
1660778179.3441532,08/18/2022--09:16:19,170455.5,658465.15
1660807681.1939256,08/18/2022--17:28:01,184278.25,27570.0
1660835293.140338,08/19/2022--01:08:13,205852.3,32177.0
1660864583.2861524,08/19/2022--09:16:23,176779.8,23526.1
1660892982.9673333,08/19/2022--17:09:42,157892.65,42236.35
1660921520.297617,08/20/2022--01:05:20,218508.85,46816.35
1660950648.5543876,08/20/2022--09:10:48,158590.45,53142.1
1660979282.6113882,08/20/2022--17:08:02,169100.05,437061.2
1661036095.206883,08/21/2022--08:54:55,245273.25,105269.65
1661064380.1041234,08/21/2022--16:46:20,180378.95,84572.05
1661123013.330709,08/22/2022--09:03:33,147726.3,71751.25
1661208404.7366545,08/23/2022--08:46:44,193889.35,75025.35
1661237565.4076488,08/23/2022--16:52:45,132091.85,60461.95
1661266871.3852978,08/24/2022--01:01:11,211368.8,87953.15
1661296200.2926245,08/24/2022--09:10:00,198443.1,119942.9
1661352340.4753387,08/25/2022--00:45:40,147426.4,64071.1
1661381476.9667122,08/25/2022--08:51:16,198506.95,95986.2
1661468398.2601244,08/26/2022--08:59:58,243549.9,95601.25
1661526117.894191,08/27/2022--01:01:57,167610.8,70168.45
1661554881.5495105,08/27/2022--09:01:21,188171.7,107213.85
1661727756.8158545,08/29/2022--09:02:36,116154.3,58880.85
1661756562.5978346,08/29/2022--17:02:42,220491.2,94881.45
1661785309.2744918,08/30/2022--01:01:49,110665.75,56550.0
1661814174.102714,08/30/2022--09:02:54,165312.75,73307.4
1661842454.955498,08/30/2022--16:54:14,142257.7,65273.6
1661900684.184366,08/31/2022--09:04:44,80129.95,276423.1
1661958420.0029917,09/01/2022--01:07:00,228957.8,130597.3
1662015716.7539146,09/01/2022--17:01:56,130566.75,77447.4
1662076772.6337636,09/02/2022--09:59:32,182952.35,98152.0
