unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,22254490.5,401119.1
1657807946.3195548,07/15/2022--00:12:26,6381818.55,8412418.45
1657865324.281464,07/15/2022--16:08:44,5131188.3,8792573.85
1657894118.107123,07/16/2022--00:08:38,10832348.5,140215.7
1658812815.1912007,07/26/2022--15:20:15,11861704.4,371763.45
1658815736.5710416,07/26/2022--16:08:56,10660470.05,471047.5
1658844889.9973571,07/27/2022--00:14:49,8304318.55,17183213.4
1658848005.9232907,07/27/2022--01:06:45,12181997.95,427310.35
1658876959.8061535,07/27/2022--09:09:19,13206056.35,379964.1
1658906431.1616275,07/27/2022--17:20:31,10798358.2,11354870.05
1658964011.7123463,07/28/2022--09:20:11,8296338.15,19716318.45
1658991790.2457771,07/28/2022--17:03:10,9131931.05,13522281.15
1659049859.7900746,07/29/2022--09:10:59,15121838.15,810840.6
1659079050.0223944,07/29/2022--17:17:30,7405592.65,28258539.55
1659135989.7470224,07/30/2022--09:06:29,10914938.6,38637722.4
1659164560.1930625,07/30/2022--17:02:40,10170973.7,33805202.4
1659193295.8534577,07/31/2022--01:01:35,15820450.8,1242724.65
1659223175.87765,07/31/2022--09:19:35,10822225.85,34156020.95
1659394922.9589896,08/02/2022--09:02:02,8905590.7,29363664.9
1659423710.70845,08/02/2022--17:01:50,13735793.15,38951005.9
1659452479.933005,08/03/2022--01:01:19,11154237.5,34391702.9
1659481254.5834172,08/03/2022--09:00:54,12288740.95,40148568.4
1659510483.5113194,08/03/2022--17:08:03,10018756.25,24185859.75
1659539025.8442419,08/04/2022--01:03:45,14927503.7,893965.1
1659567977.65322,08/04/2022--09:06:17,16884874.45,1171815.9
1659596737.4315803,08/04/2022--17:05:37,8638730.75,15834368.25
1659625544.4629736,08/05/2022--01:05:44,16951844.5,784801.05
1659654487.963708,08/05/2022--09:08:07,10232560.85,34319277.3
1659683098.9748487,08/05/2022--17:04:58,8869754.5,25398435.05
1659798058.491692,08/07/2022--01:00:58,8953164.0,19123058.25
1659826821.1099102,08/07/2022--09:00:21,8625040.85,19084867.3
1659886109.5671794,08/08/2022--01:28:29,9762515.6,39704910.7
1659915489.3146017,08/08/2022--09:38:09,15927192.95,648341.7
1659942684.7980738,08/08/2022--17:11:24,11497783.6,478767.35
1659971568.7314563,08/09/2022--01:12:48,16230578.3,1319743.5
1660030295.9264836,08/09/2022--17:31:35,8868113.65,22990942.3
1660172904.0226371,08/11/2022--09:08:24,6559990.45,28779493.35
1660202153.9173074,08/11/2022--17:15:53,9306622.4,453430.15
1660260089.9444501,08/12/2022--09:21:29,6524014.7,18587221.6
1660288029.6810946,08/12/2022--17:07:09,11714788.6,304362.25
1660316972.8768725,08/13/2022--01:09:32,6310391.45,118421.4
1660347292.7260678,08/13/2022--09:34:52,13575825.2,315741.0
1660374586.0104291,08/13/2022--17:09:46,6612270.75,17114324.15
1660434289.4885554,08/14/2022--09:44:49,5754833.9,16097183.7
1660462690.270382,08/14/2022--17:38:10,5795064.8,16421532.1
1660490144.9181502,08/15/2022--01:15:44,9630987.55,189428.15
1660520035.3389182,08/15/2022--09:33:55,10765926.4,155095.9
1660548110.1855645,08/15/2022--17:21:50,8688558.7,209394.5
1660633733.4457946,08/16/2022--17:08:53,5811904.9,16776262.5
1660662258.480969,08/17/2022--01:04:18,7967533.6,271260.55
1660692425.9171295,08/17/2022--09:27:05,6771058.2,27843014.15
1660720046.0474148,08/17/2022--17:07:26,5159544.15,21502912.7
1660748548.0576525,08/18/2022--01:02:28,6273161.85,27177176.05
1660778179.3441532,08/18/2022--09:16:19,5758444.95,22045542.4
1660807681.1939256,08/18/2022--17:28:01,9251378.3,197649.35
1660835293.140338,08/19/2022--01:08:13,6088130.4,23276157.05
1660864583.2861524,08/19/2022--09:16:23,4411056.65,16901278.5
1660892982.9673333,08/19/2022--17:09:42,12275164.4,561057.85
1660921520.297617,08/20/2022--01:05:20,5256751.8,16890598.6
1660950648.5543876,08/20/2022--09:10:48,5188972.55,17049938.0
1660979282.6113882,08/20/2022--17:08:02,5775485.25,17333659.55
1661036095.206883,08/21/2022--08:54:55,8272594.3,412957.8
1661064380.1041234,08/21/2022--16:46:20,6683028.5,568539.55
1661123013.330709,08/22/2022--09:03:33,10196628.3,451291.65
1661208404.7366545,08/23/2022--08:46:44,8041021.95,418416.75
1661237565.4076488,08/23/2022--16:52:45,5748582.85,11228070.2
1661266871.3852978,08/24/2022--01:01:11,9135152.6,392047.15
1661296200.2926245,08/24/2022--09:10:00,4673515.9,13989170.65
1661352340.4753387,08/25/2022--00:45:40,5611954.3,19873018.65
1661381476.9667122,08/25/2022--08:51:16,4505414.75,15895675.7
1661468398.2601244,08/26/2022--08:59:58,8400844.75,465105.05
1661526117.894191,08/27/2022--01:01:57,6926616.45,12084051.55
1661554881.5495105,08/27/2022--09:01:21,6015330.7,22216530.65
1661727756.8158545,08/29/2022--09:02:36,5507847.3,15272098.45
1661756562.5978346,08/29/2022--17:02:42,10291154.9,1100415.25
1661785309.2744918,08/30/2022--01:01:49,6173502.9,25088190.1
1661814174.102714,08/30/2022--09:02:54,7801528.4,701016.75
1661842454.955498,08/30/2022--16:54:14,9171448.9,1059377.25
1661900684.184366,08/31/2022--09:04:44,7293193.45,796656.5
1661958420.0029917,09/01/2022--01:07:00,7730526.65,515360.4
1662015716.7539146,09/01/2022--17:01:56,12017033.2,1818984.35
1662076772.6337636,09/02/2022--09:59:32,6439392.25,22466364.0
