unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,666390.45,12204403.85
1657807946.3195548,07/15/2022--00:12:26,568786.35,8200913.45
1657865324.281464,07/15/2022--16:08:44,989999.9,14628078.55
1657894118.107123,07/16/2022--00:08:38,763870.7,12702208.65
1658812815.1912007,07/26/2022--15:20:15,494219.95,7995832.2
1658815736.5710416,07/26/2022--16:08:56,460716.4,7771669.55
1658844889.9973571,07/27/2022--00:14:49,615272.95,13350803.15
1658848005.9232907,07/27/2022--01:06:45,623424.25,12484610.85
1658876959.8061535,07/27/2022--09:09:19,441246.2,12355601.4
1658906431.1616275,07/27/2022--17:20:31,476211.4,10715240.0
1658964011.7123463,07/28/2022--09:20:11,656454.1,16162659.3
1658991790.2457771,07/28/2022--17:03:10,586344.7,10109182.6
1659049859.7900746,07/29/2022--09:10:59,719430.2,16737785.85
1659079050.0223944,07/29/2022--17:17:30,674031.75,3894929.65
1659135989.7470224,07/30/2022--09:06:29,381523.65,2163451.45
1659164560.1930625,07/30/2022--17:02:40,466579.05,2338382.1
1659193295.8534577,07/31/2022--01:01:35,611163.0,9477562.6
1659223175.87765,07/31/2022--09:19:35,422812.9,9249335.85
1659394922.9589896,08/02/2022--09:02:02,632249.45,7643169.2
1659423710.70845,08/02/2022--17:01:50,754397.3,13482559.35
1659452479.933005,08/03/2022--01:01:19,789993.5,10986378.45
1659481254.5834172,08/03/2022--09:00:54,573150.3,6394303.0
1659510483.5113194,08/03/2022--17:08:03,804861.1,3956555.2
1659539025.8442419,08/04/2022--01:03:45,446945.4,9372766.3
1659567977.65322,08/04/2022--09:06:17,689257.75,4933843.4
1659596737.4315803,08/04/2022--17:05:37,644511.4,4930098.55
1659625544.4629736,08/05/2022--01:05:44,385525.1,10910246.55
1659654487.963708,08/05/2022--09:08:07,576779.65,9077769.3
1659683098.9748487,08/05/2022--17:04:58,612279.1,9458934.9
1659798058.491692,08/07/2022--01:00:58,913892.9,10393719.1
1659826821.1099102,08/07/2022--09:00:21,766315.85,8473049.95
1659886109.5671794,08/08/2022--01:28:29,953737.7,10020094.35
1659915489.3146017,08/08/2022--09:38:09,779608.55,9811743.6
1659942684.7980738,08/08/2022--17:11:24,694267.75,9449901.3
1659971568.7314563,08/09/2022--01:12:48,552019.55,10757462.65
1660030295.9264836,08/09/2022--17:31:35,658080.6,9842654.5
1660172904.0226371,08/11/2022--09:08:24,889728.75,13430202.05
1660202153.9173074,08/11/2022--17:15:53,563148.7,9977127.3
1660260089.9444501,08/12/2022--09:21:29,525401.8,3467020.0
1660288029.6810946,08/12/2022--17:07:09,682510.95,4221435.1
1660316972.8768725,08/13/2022--01:09:32,691802.5,10237662.1
1660347292.7260678,08/13/2022--09:34:52,773032.8,13540718.6
1660374586.0104291,08/13/2022--17:09:46,559090.9,3331565.3
1660434289.4885554,08/14/2022--09:44:49,789624.1,16129100.5
1660462690.270382,08/14/2022--17:38:10,787440.35,13544478.5
1660490144.9181502,08/15/2022--01:15:44,819626.4,3753516.15
1660520035.3389182,08/15/2022--09:33:55,525947.65,3019279.55
1660548110.1855645,08/15/2022--17:21:50,662027.6,11722088.7
1660633733.4457946,08/16/2022--17:08:53,598404.6,10776114.35
1660662258.480969,08/17/2022--01:04:18,695086.45,14459461.2
1660692425.9171295,08/17/2022--09:27:05,636698.2,15756006.3
1660720046.0474148,08/17/2022--17:07:26,526880.6,10467444.3
1660748548.0576525,08/18/2022--01:02:28,522644.2,12806171.9
1660778179.3441532,08/18/2022--09:16:19,528473.7,12636867.3
1660807681.1939256,08/18/2022--17:28:01,669403.85,16155110.0
1660835293.140338,08/19/2022--01:08:13,409593.8,10179378.6
1660864583.2861524,08/19/2022--09:16:23,516868.4,13433366.8
1660892982.9673333,08/19/2022--17:09:42,286989.9,1933923.45
1660921520.297617,08/20/2022--01:05:20,626840.15,11934235.75
1660950648.5543876,08/20/2022--09:10:48,627445.6,14801807.1
1660979282.6113882,08/20/2022--17:08:02,550338.75,10032915.4
1661036095.206883,08/21/2022--08:54:55,559139.4,11193997.15
1661064380.1041234,08/21/2022--16:46:20,294604.05,142331.25
1661123013.330709,08/22/2022--09:03:33,560093.25,10757698.1
1661208404.7366545,08/23/2022--08:46:44,510031.45,10339517.5
1661237565.4076488,08/23/2022--16:52:45,371732.55,8710298.6
1661266871.3852978,08/24/2022--01:01:11,475081.3,9307241.8
1661296200.2926245,08/24/2022--09:10:00,534940.75,9666952.4
1661352340.4753387,08/25/2022--00:45:40,509819.35,11293626.9
1661381476.9667122,08/25/2022--08:51:16,567992.0,11968980.95
1661468398.2601244,08/26/2022--08:59:58,351896.65,11395955.55
1661526117.894191,08/27/2022--01:01:57,451544.4,9221958.5
1661554881.5495105,08/27/2022--09:01:21,378768.7,3015905.1
1661727756.8158545,08/29/2022--09:02:36,580510.45,15968138.05
1661756562.5978346,08/29/2022--17:02:42,391249.75,7444888.95
1661785309.2744918,08/30/2022--01:01:49,510103.55,9454027.95
1661814174.102714,08/30/2022--09:02:54,423522.5,12051302.8
1661842454.955498,08/30/2022--16:54:14,317099.35,2708753.6
1661900684.184366,08/31/2022--09:04:44,526868.85,10308050.8
1661958420.0029917,09/01/2022--01:07:00,236063.85,7601410.0
1662015716.7539146,09/01/2022--17:01:56,648553.2,13966656.0
1662076772.6337636,09/02/2022--09:59:32,446616.8,9308457.55
