unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,843781.0,4557298.15
1657807946.3195548,07/15/2022--00:12:26,975962.55,4963564.1
1657865324.281464,07/15/2022--16:08:44,596873.35,3935078.95
1657894118.107123,07/16/2022--00:08:38,951192.25,3295833.8
1658812815.1912007,07/26/2022--15:20:15,1382275.2,9068502.4
1658815736.5710416,07/26/2022--16:08:56,1306155.3,8574839.6
1658844889.9973571,07/27/2022--00:14:49,1274819.3,8973793.9
1658848005.9232907,07/27/2022--01:06:45,1339765.55,9523952.05
1658876959.8061535,07/27/2022--09:09:19,1397123.1,9754822.9
1658906431.1616275,07/27/2022--17:20:31,949702.85,6524283.85
1658964011.7123463,07/28/2022--09:20:11,959689.75,9766586.6
1658991790.2457771,07/28/2022--17:03:10,898425.1,8665629.15
1659049859.7900746,07/29/2022--09:10:59,643007.45,8942952.6
1659079050.0223944,07/29/2022--17:17:30,939381.95,9604630.2
1659135989.7470224,07/30/2022--09:06:29,1247110.9,13177063.05
1659164560.1930625,07/30/2022--17:02:40,875984.75,9326867.25
1659193295.8534577,07/31/2022--01:01:35,771148.05,6054331.3
1659223175.87765,07/31/2022--09:19:35,1200631.75,11042297.65
1659394922.9589896,08/02/2022--09:02:02,1188390.4,12098691.45
1659423710.70845,08/02/2022--17:01:50,1047668.9,10558499.2
1659452479.933005,08/03/2022--01:01:19,1381848.75,11576720.85
1659481254.5834172,08/03/2022--09:00:54,1283681.5,11249913.05
1659510483.5113194,08/03/2022--17:08:03,1478781.1,12915579.7
1659539025.8442419,08/04/2022--01:03:45,2008377.35,14844561.9
1659567977.65322,08/04/2022--09:06:17,1366929.7,13035211.3
1659596737.4315803,08/04/2022--17:05:37,1709893.35,11439287.5
1659625544.4629736,08/05/2022--01:05:44,2053505.7,10840883.5
1659654487.963708,08/05/2022--09:08:07,2274540.0,10276320.8
1659683098.9748487,08/05/2022--17:04:58,2320672.65,9773870.45
1659798058.491692,08/07/2022--01:00:58,1567225.25,12353254.25
1659826821.1099102,08/07/2022--09:00:21,1364697.25,13380566.2
1659886109.5671794,08/08/2022--01:28:29,1339671.25,12638192.55
1659915489.3146017,08/08/2022--09:38:09,1200689.85,13268264.15
1659942684.7980738,08/08/2022--17:11:24,1069933.0,9331730.95
1659971568.7314563,08/09/2022--01:12:48,1392898.0,12293724.65
1660030295.9264836,08/09/2022--17:31:35,1376600.05,11426132.95
1660172904.0226371,08/11/2022--09:08:24,1238197.95,12112744.7
1660202153.9173074,08/11/2022--17:15:53,1393612.75,11361907.25
1660260089.9444501,08/12/2022--09:21:29,1083996.55,10187606.1
1660288029.6810946,08/12/2022--17:07:09,1311430.95,12126467.4
1660316972.8768725,08/13/2022--01:09:32,1186647.45,10078780.75
1660347292.7260678,08/13/2022--09:34:52,1269870.5,11116915.15
1660374586.0104291,08/13/2022--17:09:46,1223945.2,10442709.05
1660434289.4885554,08/14/2022--09:44:49,1290091.45,10510893.2
1660462690.270382,08/14/2022--17:38:10,1025486.5,8759363.55
1660490144.9181502,08/15/2022--01:15:44,1140705.4,9939050.85
1660520035.3389182,08/15/2022--09:33:55,1132774.3,10995058.25
1660548110.1855645,08/15/2022--17:21:50,1401411.3,10893213.05
1660633733.4457946,08/16/2022--17:08:53,1201955.1,10479424.8
1660662258.480969,08/17/2022--01:04:18,1327599.05,10727773.3
1660692425.9171295,08/17/2022--09:27:05,1261970.15,9425421.5
1660720046.0474148,08/17/2022--17:07:26,1053250.3,8617684.35
1660748548.0576525,08/18/2022--01:02:28,1026792.25,7222499.75
1660778179.3441532,08/18/2022--09:16:19,785386.15,6165223.6
1660807681.1939256,08/18/2022--17:28:01,1172359.25,9425138.5
1660835293.140338,08/19/2022--01:08:13,784524.65,5908768.5
1660864583.2861524,08/19/2022--09:16:23,960556.2,7601425.4
1660892982.9673333,08/19/2022--17:09:42,285618.95,111991.6
1660921520.297617,08/20/2022--01:05:20,1239469.9,8207819.95
1660950648.5543876,08/20/2022--09:10:48,1139775.9,7862801.6
1660979282.6113882,08/20/2022--17:08:02,855722.0,6491818.2
1661036095.206883,08/21/2022--08:54:55,1072932.95,8501913.0
1661064380.1041234,08/21/2022--16:46:20,1268576.95,8432053.05
1661123013.330709,08/22/2022--09:03:33,924592.95,8916173.25
1661208404.7366545,08/23/2022--08:46:44,1154721.0,9915833.65
1661237565.4076488,08/23/2022--16:52:45,1119243.75,9406488.1
1661266871.3852978,08/24/2022--01:01:11,896177.7,7740649.75
1661296200.2926245,08/24/2022--09:10:00,1004261.2,7796969.45
1661352340.4753387,08/25/2022--00:45:40,992256.4,7374458.25
1661381476.9667122,08/25/2022--08:51:16,927162.3,9043974.9
1661468398.2601244,08/26/2022--08:59:58,1201024.5,10547275.2
1661526117.894191,08/27/2022--01:01:57,781030.25,8835977.0
1661554881.5495105,08/27/2022--09:01:21,1204483.45,9748540.95
1661727756.8158545,08/29/2022--09:02:36,975429.05,8023187.75
1661756562.5978346,08/29/2022--17:02:42,1464133.55,12578786.75
1661785309.2744918,08/30/2022--01:01:49,914770.2,12197712.95
1661814174.102714,08/30/2022--09:02:54,865530.75,8535378.8
1661842454.955498,08/30/2022--16:54:14,769845.8,11485835.45
1661900684.184366,08/31/2022--09:04:44,690666.25,8200537.5
1661958420.0029917,09/01/2022--01:07:00,791633.8,7617504.2
1662015716.7539146,09/01/2022--17:01:56,1063226.25,7481182.35
1662076772.6337636,09/02/2022--09:59:32,1328164.75,10707174.75
