unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,312488.45,2054483.35
1657807946.3195548,07/15/2022--00:12:26,811224.65,2195359.6
1657865324.281464,07/15/2022--16:08:44,429675.55,1994412.25
1657894118.107123,07/16/2022--00:08:38,264911.35,787862.15
1658812815.1912007,07/26/2022--15:20:15,166322.85,493482.0
1658815736.5710416,07/26/2022--16:08:56,398414.15,2066854.55
1658844889.9973571,07/27/2022--00:14:49,227909.35,630760.9
1658848005.9232907,07/27/2022--01:06:45,93571.1,97279.15
1658876959.8061535,07/27/2022--09:09:19,85855.9,73943.7
1658906431.1616275,07/27/2022--17:20:31,81995.9,84960.4
1658964011.7123463,07/28/2022--09:20:11,402999.1,2477188.9
1658991790.2457771,07/28/2022--17:03:10,371702.05,2409195.65
1659049859.7900746,07/29/2022--09:10:59,423926.9,2460819.2
1659079050.0223944,07/29/2022--17:17:30,115100.95,127094.9
1659135989.7470224,07/30/2022--09:06:29,513123.45,3483818.0
1659164560.1930625,07/30/2022--17:02:40,129274.55,126352.65
1659193295.8534577,07/31/2022--01:01:35,491567.45,3031036.2
1659223175.87765,07/31/2022--09:19:35,271482.65,766969.1
1659394922.9589896,08/02/2022--09:02:02,408170.25,2981827.35
1659423710.70845,08/02/2022--17:01:50,411874.9,2859970.25
1659452479.933005,08/03/2022--01:01:19,353027.45,2630515.3
1659481254.5834172,08/03/2022--09:00:54,369971.35,2894873.05
1659510483.5113194,08/03/2022--17:08:03,252472.75,778385.15
1659539025.8442419,08/04/2022--01:03:45,370388.65,3121070.55
1659567977.65322,08/04/2022--09:06:17,495472.05,4166176.65
1659596737.4315803,08/04/2022--17:05:37,317001.0,1046707.8
1659625544.4629736,08/05/2022--01:05:44,363463.65,2919218.25
1659654487.963708,08/05/2022--09:08:07,341547.4,2395273.05
1659683098.9748487,08/05/2022--17:04:58,256898.15,542427.75
1659798058.491692,08/07/2022--01:00:58,393277.3,3590044.7
1659826821.1099102,08/07/2022--09:00:21,374152.4,3303373.55
1659886109.5671794,08/08/2022--01:28:29,349063.0,2710104.75
1659915489.3146017,08/08/2022--09:38:09,288587.5,781032.3
1659942684.7980738,08/08/2022--17:11:24,300850.35,3374128.45
1659971568.7314563,08/09/2022--01:12:48,442243.65,3255751.6
1660030295.9264836,08/09/2022--17:31:35,723047.6,4827075.15
1660172904.0226371,08/11/2022--09:08:24,424410.05,2355666.0
1660202153.9173074,08/11/2022--17:15:53,382265.85,2544376.05
1660260089.9444501,08/12/2022--09:21:29,405563.7,2470345.4
1660288029.6810946,08/12/2022--17:07:09,442767.65,2686949.6
1660316972.8768725,08/13/2022--01:09:32,558562.95,2186947.2
1660347292.7260678,08/13/2022--09:34:52,551396.05,2542958.35
1660374586.0104291,08/13/2022--17:09:46,732498.55,3860532.0
1660434289.4885554,08/14/2022--09:44:49,538518.0,2515440.8
1660462690.270382,08/14/2022--17:38:10,524547.45,2352633.8
1660490144.9181502,08/15/2022--01:15:44,435218.4,2026963.95
1660520035.3389182,08/15/2022--09:33:55,389909.9,2340356.65
1660548110.1855645,08/15/2022--17:21:50,115301.7,119084.1
1660633733.4457946,08/16/2022--17:08:53,384914.2,2927866.55
1660662258.480969,08/17/2022--01:04:18,425345.35,2584887.15
1660692425.9171295,08/17/2022--09:27:05,457455.15,2601236.85
1660720046.0474148,08/17/2022--17:07:26,358927.5,2261555.85
1660748548.0576525,08/18/2022--01:02:28,408920.1,3226412.75
1660778179.3441532,08/18/2022--09:16:19,380146.0,2859623.25
1660807681.1939256,08/18/2022--17:28:01,348668.05,2288180.95
1660835293.140338,08/19/2022--01:08:13,312532.85,2294016.55
1660864583.2861524,08/19/2022--09:16:23,375392.8,2950750.65
1660892982.9673333,08/19/2022--17:09:42,123524.55,860415.75
1660921520.297617,08/20/2022--01:05:20,426827.35,2716417.4
1660950648.5543876,08/20/2022--09:10:48,450954.35,3459732.9
1660979282.6113882,08/20/2022--17:08:02,319032.6,2039478.9
1661036095.206883,08/21/2022--08:54:55,393735.15,2852074.9
1661064380.1041234,08/21/2022--16:46:20,445695.85,3205637.25
1661123013.330709,08/22/2022--09:03:33,291629.55,2309501.9
1661208404.7366545,08/23/2022--08:46:44,334081.65,2296999.7
1661237565.4076488,08/23/2022--16:52:45,423372.6,2905382.35
1661266871.3852978,08/24/2022--01:01:11,348368.45,2578235.6
1661296200.2926245,08/24/2022--09:10:00,278813.55,2170020.85
1661352340.4753387,08/25/2022--00:45:40,258469.4,2059538.95
1661381476.9667122,08/25/2022--08:51:16,190241.15,1809926.05
1661468398.2601244,08/26/2022--08:59:58,212269.85,2354034.2
1661526117.894191,08/27/2022--01:01:57,75896.65,69875.3
1661554881.5495105,08/27/2022--09:01:21,429233.85,3732220.75
1661727756.8158545,08/29/2022--09:02:36,453465.1,3055941.15
1661756562.5978346,08/29/2022--17:02:42,414492.3,2795732.95
1661785309.2744918,08/30/2022--01:01:49,318912.85,2006293.7
1661814174.102714,08/30/2022--09:02:54,310560.8,1749388.0
1661842454.955498,08/30/2022--16:54:14,303651.0,1767334.75
1661900684.184366,08/31/2022--09:04:44,364562.45,2356970.95
1661958420.0029917,09/01/2022--01:07:00,301722.15,1989530.8
1662015716.7539146,09/01/2022--17:01:56,195089.55,1647794.35
1662076772.6337636,09/02/2022--09:59:32,249675.85,1747314.65
