unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,447742.35,429223.85
1657807946.3195548,07/15/2022--00:12:26,520271.4,2977191.05
1657865324.281464,07/15/2022--16:08:44,490794.9,592619.75
1657894118.107123,07/16/2022--00:08:38,271613.2,443524.75
1658812815.1912007,07/26/2022--15:20:15,595802.6,3903233.65
1658815736.5710416,07/26/2022--16:08:56,539612.0,3685127.6
1658844889.9973571,07/27/2022--00:14:49,429421.4,2226802.1
1658848005.9232907,07/27/2022--01:06:45,455911.1,2289777.45
1658876959.8061535,07/27/2022--09:09:19,420640.25,3036787.85
1658906431.1616275,07/27/2022--17:20:31,445475.35,3176060.6
1658964011.7123463,07/28/2022--09:20:11,632645.3,5180204.1
1658991790.2457771,07/28/2022--17:03:10,360799.3,2285208.8
1659049859.7900746,07/29/2022--09:10:59,447332.55,5223565.25
1659079050.0223944,07/29/2022--17:17:30,445329.55,4249927.6
1659135989.7470224,07/30/2022--09:06:29,547646.85,4272472.7
1659164560.1930625,07/30/2022--17:02:40,718174.15,6478646.75
1659193295.8534577,07/31/2022--01:01:35,169917.65,120246.65
1659223175.87765,07/31/2022--09:19:35,195736.6,142614.3
1659394922.9589896,08/02/2022--09:02:02,601044.05,6299822.15
1659423710.70845,08/02/2022--17:01:50,517756.25,6152233.8
1659452479.933005,08/03/2022--01:01:19,324982.0,642354.9
1659481254.5834172,08/03/2022--09:00:54,508890.45,5587540.6
1659510483.5113194,08/03/2022--17:08:03,611042.65,7680247.25
1659539025.8442419,08/04/2022--01:03:45,537398.35,5526211.35
1659567977.65322,08/04/2022--09:06:17,467649.9,5315225.55
1659596737.4315803,08/04/2022--17:05:37,476585.15,5688174.2
1659625544.4629736,08/05/2022--01:05:44,610147.75,6645257.85
1659654487.963708,08/05/2022--09:08:07,973155.05,8631267.5
1659683098.9748487,08/05/2022--17:04:58,620711.7,5179751.35
1659798058.491692,08/07/2022--01:00:58,773572.35,8031169.9
1659826821.1099102,08/07/2022--09:00:21,486582.85,4208080.95
1659886109.5671794,08/08/2022--01:28:29,604452.25,5125423.55
1659915489.3146017,08/08/2022--09:38:09,543162.6,4702342.25
1659942684.7980738,08/08/2022--17:11:24,700258.45,7635063.5
1659971568.7314563,08/09/2022--01:12:48,590607.45,5610347.65
1660030295.9264836,08/09/2022--17:31:35,508390.9,4726260.25
1660172904.0226371,08/11/2022--09:08:24,839217.4,9073400.15
1660202153.9173074,08/11/2022--17:15:53,655630.2,6214104.75
1660260089.9444501,08/12/2022--09:21:29,556313.15,4405210.6
1660288029.6810946,08/12/2022--17:07:09,809789.55,7093337.75
1660316972.8768725,08/13/2022--01:09:32,688138.3,6663473.15
1660347292.7260678,08/13/2022--09:34:52,390435.55,2969168.0
1660374586.0104291,08/13/2022--17:09:46,568881.1,4481006.7
1660434289.4885554,08/14/2022--09:44:49,513304.8,4790157.9
1660462690.270382,08/14/2022--17:38:10,820701.85,7411379.85
1660490144.9181502,08/15/2022--01:15:44,962573.05,6845619.4
1660520035.3389182,08/15/2022--09:33:55,451389.6,3788041.45
1660548110.1855645,08/15/2022--17:21:50,446227.15,4525264.5
1660633733.4457946,08/16/2022--17:08:53,506206.05,5211646.6
1660662258.480969,08/17/2022--01:04:18,450067.15,4782698.35
1660692425.9171295,08/17/2022--09:27:05,614476.5,5666146.15
1660720046.0474148,08/17/2022--17:07:26,648930.4,6225531.25
1660748548.0576525,08/18/2022--01:02:28,445454.1,4386565.05
1660778179.3441532,08/18/2022--09:16:19,412566.9,4104831.3
1660807681.1939256,08/18/2022--17:28:01,330526.0,2971258.65
1660835293.140338,08/19/2022--01:08:13,323676.15,3575145.4
1660864583.2861524,08/19/2022--09:16:23,542972.45,6298770.45
1660892982.9673333,08/19/2022--17:09:42,595416.35,6676193.25
1660921520.297617,08/20/2022--01:05:20,342804.55,3672963.75
1660950648.5543876,08/20/2022--09:10:48,340607.65,4747181.9
1660979282.6113882,08/20/2022--17:08:02,279160.0,1863785.2
1661036095.206883,08/21/2022--08:54:55,397597.2,4326914.3
1661064380.1041234,08/21/2022--16:46:20,422913.15,4990258.95
1661123013.330709,08/22/2022--09:03:33,362404.8,3758398.4
1661208404.7366545,08/23/2022--08:46:44,322089.25,3301345.0
1661237565.4076488,08/23/2022--16:52:45,309805.85,3392953.3
1661266871.3852978,08/24/2022--01:01:11,311683.8,3575581.6
1661296200.2926245,08/24/2022--09:10:00,350419.6,3607488.2
1661352340.4753387,08/25/2022--00:45:40,357485.55,4751555.45
1661381476.9667122,08/25/2022--08:51:16,473068.2,5790267.9
1661468398.2601244,08/26/2022--08:59:58,441591.5,4065151.85
1661526117.894191,08/27/2022--01:01:57,120818.9,78551.2
1661554881.5495105,08/27/2022--09:01:21,157825.25,84562.0
1661727756.8158545,08/29/2022--09:02:36,464687.15,4479670.9
1661756562.5978346,08/29/2022--17:02:42,612490.2,5305847.75
1661785309.2744918,08/30/2022--01:01:49,351794.0,4166221.25
1661814174.102714,08/30/2022--09:02:54,442711.7,4581275.1
1661842454.955498,08/30/2022--16:54:14,298960.2,4298349.15
1661900684.184366,08/31/2022--09:04:44,262180.7,2733587.45
1661958420.0029917,09/01/2022--01:07:00,340447.0,4669673.0
1662015716.7539146,09/01/2022--17:01:56,262012.2,2182954.1
1662076772.6337636,09/02/2022--09:59:32,329317.85,3415184.15
