unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,2301792.55,25071092.1
1657807946.3195548,07/15/2022--00:12:26,2109540.15,22923948.4
1657865324.281464,07/15/2022--16:08:44,2935553.35,27663914.85
1657894118.107123,07/16/2022--00:08:38,2192146.75,19547672.15
1658812815.1912007,07/26/2022--15:20:15,1743614.9,20045063.55
1658815736.5710416,07/26/2022--16:08:56,1828130.9,20455285.65
1658844889.9973571,07/27/2022--00:14:49,1363151.1,16654946.9
1658848005.9232907,07/27/2022--01:06:45,1426539.2,16239625.4
1658876959.8061535,07/27/2022--09:09:19,1742140.7,27700535.95
1658906431.1616275,07/27/2022--17:20:31,1369893.65,18008226.05
1658964011.7123463,07/28/2022--09:20:11,1495095.8,16379918.4
1658991790.2457771,07/28/2022--17:03:10,1712263.55,18297721.4
1659049859.7900746,07/29/2022--09:10:59,1791908.3,23590420.85
1659079050.0223944,07/29/2022--17:17:30,1634648.65,22063669.75
1659135989.7470224,07/30/2022--09:06:29,1894019.1,19677265.85
1659164560.1930625,07/30/2022--17:02:40,2251006.45,21303573.35
1659193295.8534577,07/31/2022--01:01:35,3420864.7,22296144.6
1659223175.87765,07/31/2022--09:19:35,2075985.0,16531744.65
1659394922.9589896,08/02/2022--09:02:02,2278289.75,19852192.85
1659423710.70845,08/02/2022--17:01:50,1848147.25,19449155.8
1659452479.933005,08/03/2022--01:01:19,1810385.65,21043055.35
1659481254.5834172,08/03/2022--09:00:54,2510751.45,19844449.7
1659510483.5113194,08/03/2022--17:08:03,2113923.15,22573075.1
1659539025.8442419,08/04/2022--01:03:45,2048915.3,22433709.45
1659567977.65322,08/04/2022--09:06:17,2098214.85,19167101.1
1659596737.4315803,08/04/2022--17:05:37,1893830.85,20058329.05
1659625544.4629736,08/05/2022--01:05:44,1974958.0,22463130.5
1659654487.963708,08/05/2022--09:08:07,3372044.2,23222002.6
1659683098.9748487,08/05/2022--17:04:58,2376590.35,17622270.85
1659798058.491692,08/07/2022--01:00:58,2558404.2,23660237.7
1659826821.1099102,08/07/2022--09:00:21,2444708.2,15800590.45
1659886109.5671794,08/08/2022--01:28:29,2111728.45,19255876.3
1659915489.3146017,08/08/2022--09:38:09,2294480.1,19067386.8
1659942684.7980738,08/08/2022--17:11:24,2215167.75,22100455.5
1659971568.7314563,08/09/2022--01:12:48,2964507.15,19016793.9
1660030295.9264836,08/09/2022--17:31:35,4626186.35,27198927.9
1660172904.0226371,08/11/2022--09:08:24,3234055.7,23327105.15
1660202153.9173074,08/11/2022--17:15:53,3002633.95,21032946.6
1660260089.9444501,08/12/2022--09:21:29,2761443.05,21832975.7
1660288029.6810946,08/12/2022--17:07:09,4204700.2,25759734.6
1660316972.8768725,08/13/2022--01:09:32,5506947.85,39993317.95
1660347292.7260678,08/13/2022--09:34:52,3903623.25,27212394.45
1660374586.0104291,08/13/2022--17:09:46,3077494.65,25947576.1
1660434289.4885554,08/14/2022--09:44:49,2719862.75,18862683.05
1660462690.270382,08/14/2022--17:38:10,3164830.6,22975682.1
1660490144.9181502,08/15/2022--01:15:44,3116464.2,24851146.2
1660520035.3389182,08/15/2022--09:33:55,2000056.95,19028579.1
1660548110.1855645,08/15/2022--17:21:50,4175001.4,27156725.0
1660633733.4457946,08/16/2022--17:08:53,2267662.75,19898607.65
1660662258.480969,08/17/2022--01:04:18,2047451.55,17682978.0
1660692425.9171295,08/17/2022--09:27:05,2480504.85,19918903.45
1660720046.0474148,08/17/2022--17:07:26,1759049.2,15805428.85
1660748548.0576525,08/18/2022--01:02:28,2349858.65,22499809.55
1660778179.3441532,08/18/2022--09:16:19,1388401.15,16858903.75
1660807681.1939256,08/18/2022--17:28:01,1883257.05,21519514.95
1660835293.140338,08/19/2022--01:08:13,1976022.55,21317777.35
1660864583.2861524,08/19/2022--09:16:23,1838283.15,18281048.3
1660892982.9673333,08/19/2022--17:09:42,2127326.6,30057709.5
1660921520.297617,08/20/2022--01:05:20,2177416.15,25384621.6
1660950648.5543876,08/20/2022--09:10:48,2219867.65,23880002.55
1660979282.6113882,08/20/2022--17:08:02,1887621.65,24043558.55
1661036095.206883,08/21/2022--08:54:55,2411823.6,27613974.55
1661064380.1041234,08/21/2022--16:46:20,1967481.0,26377191.4
1661123013.330709,08/22/2022--09:03:33,1272793.95,21724176.25
1661208404.7366545,08/23/2022--08:46:44,1516166.6,23871617.45
1661237565.4076488,08/23/2022--16:52:45,1645771.8,25924830.05
1661266871.3852978,08/24/2022--01:01:11,2275032.85,29183445.35
1661296200.2926245,08/24/2022--09:10:00,2390226.95,30138163.6
1661352340.4753387,08/25/2022--00:45:40,1775754.15,28020726.35
1661381476.9667122,08/25/2022--08:51:16,1776131.95,29631579.05
1661468398.2601244,08/26/2022--08:59:58,1931209.55,26680875.55
1661526117.894191,08/27/2022--01:01:57,1586077.65,25496100.2
1661554881.5495105,08/27/2022--09:01:21,1684907.65,27664726.8
1661727756.8158545,08/29/2022--09:02:36,1564481.25,26576198.65
1661756562.5978346,08/29/2022--17:02:42,1478306.35,24007539.75
1661785309.2744918,08/30/2022--01:01:49,1512555.15,26276707.5
1661814174.102714,08/30/2022--09:02:54,2514658.75,36477308.5
1661842454.955498,08/30/2022--16:54:14,1609476.05,21976298.25
1661900684.184366,08/31/2022--09:04:44,2701851.55,28185670.65
1661958420.0029917,09/01/2022--01:07:00,2150685.2,23579196.9
1662015716.7539146,09/01/2022--17:01:56,1825029.5,22533384.25
1662076772.6337636,09/02/2022--09:59:32,2237344.9,29414004.2
