unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,35008017.1,216701376.05
1657807946.3195548,07/15/2022--00:12:26,41689764.55,249575115.2
1657865324.281464,07/15/2022--16:08:44,48368931.6,250317650.15
1657894118.107123,07/16/2022--00:08:38,62302617.1,321256283.95
1658812815.1912007,07/26/2022--15:20:15,47967227.05,242198640.8
1658815736.5710416,07/26/2022--16:08:56,44531896.95,217751956.3
1658844889.9973571,07/27/2022--00:14:49,59919147.15,323801227.8
1658848005.9232907,07/27/2022--01:06:45,57912866.95,319885919.25
1658876959.8061535,07/27/2022--09:09:19,63854773.35,374004634.45
1658906431.1616275,07/27/2022--17:20:31,49304871.05,244880489.0
1658964011.7123463,07/28/2022--09:20:11,43726436.75,315929341.5
1658991790.2457771,07/28/2022--17:03:10,55268895.05,281274753.5
1659049859.7900746,07/29/2022--09:10:59,63395171.8,534206305.55
1659079050.0223944,07/29/2022--17:17:30,42927706.35,335730364.15
1659135989.7470224,07/30/2022--09:06:29,51143954.0,317761178.7
1659164560.1930625,07/30/2022--17:02:40,54781352.25,265306901.4
1659193295.8534577,07/31/2022--01:01:35,42362542.25,245509179.65
1659223175.87765,07/31/2022--09:19:35,58604079.15,291223117.6
1659394922.9589896,08/02/2022--09:02:02,48373814.45,241832647.1
1659423710.70845,08/02/2022--17:01:50,57919352.9,347184364.65
1659452479.933005,08/03/2022--01:01:19,54443961.8,258894389.45
1659481254.5834172,08/03/2022--09:00:54,63628848.1,272212196.6
1659510483.5113194,08/03/2022--17:08:03,72272490.95,368655948.2
1659539025.8442419,08/04/2022--01:03:45,65291926.45,366297918.6
1659567977.65322,08/04/2022--09:06:17,42346476.0,203864825.4
1659596737.4315803,08/04/2022--17:05:37,70853514.05,351159448.15
1659625544.4629736,08/05/2022--01:05:44,64050484.4,316977173.3
1659654487.963708,08/05/2022--09:08:07,58345896.95,278770228.0
1659683098.9748487,08/05/2022--17:04:58,57617913.0,275867080.05
1659798058.491692,08/07/2022--01:00:58,60921336.0,240454926.2
1659826821.1099102,08/07/2022--09:00:21,54580526.55,209290305.7
1659886109.5671794,08/08/2022--01:28:29,55880515.85,231950550.3
1659915489.3146017,08/08/2022--09:38:09,53160335.1,226201415.45
1659942684.7980738,08/08/2022--17:11:24,60573566.3,273868361.45
1659971568.7314563,08/09/2022--01:12:48,55043379.2,245696220.6
1660030295.9264836,08/09/2022--17:31:35,56753017.2,180271766.1
1660172904.0226371,08/11/2022--09:08:24,57469646.2,305175396.85
1660202153.9173074,08/11/2022--17:15:53,55753697.5,289455556.15
1660260089.9444501,08/12/2022--09:21:29,69569370.95,262018671.25
1660288029.6810946,08/12/2022--17:07:09,87088854.8,283264579.45
1660316972.8768725,08/13/2022--01:09:32,63215129.8,233521869.75
1660347292.7260678,08/13/2022--09:34:52,87518403.1,299978463.0
1660374586.0104291,08/13/2022--17:09:46,113307808.6,369800898.35
1660434289.4885554,08/14/2022--09:44:49,64772485.8,194339709.5
1660462690.270382,08/14/2022--17:38:10,43228120.95,426150948.6
1660490144.9181502,08/15/2022--01:15:44,53269175.5,399873176.7
1660520035.3389182,08/15/2022--09:33:55,45795894.7,535756896.9
1660548110.1855645,08/15/2022--17:21:50,90265252.7,485317639.65
1660633733.4457946,08/16/2022--17:08:53,39942661.75,352567011.35
1660662258.480969,08/17/2022--01:04:18,71429712.5,481905702.65
1660692425.9171295,08/17/2022--09:27:05,64331499.3,431981053.2
1660720046.0474148,08/17/2022--17:07:26,69529577.8,432685139.0
1660748548.0576525,08/18/2022--01:02:28,53575020.15,459012115.55
1660778179.3441532,08/18/2022--09:16:19,61485703.65,568001673.0
1660807681.1939256,08/18/2022--17:28:01,53279442.1,448032408.5
1660835293.140338,08/19/2022--01:08:13,61659669.55,437398252.6
1660864583.2861524,08/19/2022--09:16:23,52517786.1,336134802.15
1660892982.9673333,08/19/2022--17:09:42,40700895.45,355498814.55
1660921520.297617,08/20/2022--01:05:20,56272251.85,435011775.6
1660950648.5543876,08/20/2022--09:10:48,47992344.0,171938370.2
1660979282.6113882,08/20/2022--17:08:02,41735437.8,337885345.15
1661036095.206883,08/21/2022--08:54:55,55073819.05,507544808.05
1661064380.1041234,08/21/2022--16:46:20,56840068.5,496252713.4
1661123013.330709,08/22/2022--09:03:33,48561130.65,449433791.2
1661208404.7366545,08/23/2022--08:46:44,40328923.3,325711022.4
1661237565.4076488,08/23/2022--16:52:45,39875544.85,352086694.95
1661266871.3852978,08/24/2022--01:01:11,44538447.5,371363539.45
1661296200.2926245,08/24/2022--09:10:00,47979336.6,345824105.9
1661352340.4753387,08/25/2022--00:45:40,41819441.1,288562271.7
1661381476.9667122,08/25/2022--08:51:16,37268690.45,253500787.55
1661468398.2601244,08/26/2022--08:59:58,91913751.7,351532304.4
1661526117.894191,08/27/2022--01:01:57,53866437.7,450779813.85
1661554881.5495105,08/27/2022--09:01:21,37317165.9,324823731.15
1661727756.8158545,08/29/2022--09:02:36,33231938.45,307176418.4
1661756562.5978346,08/29/2022--17:02:42,37932622.65,358814328.85
1661785309.2744918,08/30/2022--01:01:49,45072715.2,428178186.65
1661814174.102714,08/30/2022--09:02:54,41523970.0,356043475.3
1661842454.955498,08/30/2022--16:54:14,33529244.25,256125485.05
1661900684.184366,08/31/2022--09:04:44,40277889.4,329077663.25
1661958420.0029917,09/01/2022--01:07:00,56950370.15,403545281.2
1662015716.7539146,09/01/2022--17:01:56,42584543.35,346222469.2
1662076772.6337636,09/02/2022--09:59:32,35764411.35,308279106.8
1662133737.4139774,09/03/2022--01:48:57,42991881.35,268184366.45
