unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,3443247.2,7877768.85
1657807946.3195548,07/15/2022--00:12:26,3230607.35,5673056.3
1657865324.281464,07/15/2022--16:08:44,4847824.2,9163331.7
1657894118.107123,07/16/2022--00:08:38,4681270.2,10089350.25
1658812815.1912007,07/26/2022--15:20:15,4599941.85,13504406.2
1658815736.5710416,07/26/2022--16:08:56,4762559.15,14882027.65
1658844889.9973571,07/27/2022--00:14:49,5098414.55,15972969.15
1658848005.9232907,07/27/2022--01:06:45,5153050.8,13648905.8
1658876959.8061535,07/27/2022--09:09:19,5181212.05,16255823.35
1658906431.1616275,07/27/2022--17:20:31,4259159.6,14357756.4
1658964011.7123463,07/28/2022--09:20:11,4684496.95,22140045.9
1658991790.2457771,07/28/2022--17:03:10,5379770.0,23348875.55
1659049859.7900746,07/29/2022--09:10:59,5438657.3,31877909.7
1659079050.0223944,07/29/2022--17:17:30,5874415.9,29315455.5
1659135989.7470224,07/30/2022--09:06:29,7349009.45,32707643.9
1659164560.1930625,07/30/2022--17:02:40,4994410.2,26819405.55
1659193295.8534577,07/31/2022--01:01:35,7611018.25,41991375.05
1659223175.87765,07/31/2022--09:19:35,5067499.9,27574467.35
1659394922.9589896,08/02/2022--09:02:02,5244469.65,27211232.55
1659423710.70845,08/02/2022--17:01:50,4767408.0,24226124.35
1659452479.933005,08/03/2022--01:01:19,5460566.0,32438130.8
1659481254.5834172,08/03/2022--09:00:54,6078607.65,28924656.9
1659510483.5113194,08/03/2022--17:08:03,6034745.7,33484246.05
1659539025.8442419,08/04/2022--01:03:45,6480191.7,32433167.05
1659567977.65322,08/04/2022--09:06:17,6234159.8,29946578.5
1659596737.4315803,08/04/2022--17:05:37,5928545.8,28340534.4
1659625544.4629736,08/05/2022--01:05:44,6253299.7,29260723.95
1659654487.963708,08/05/2022--09:08:07,8645408.15,30787996.75
1659683098.9748487,08/05/2022--17:04:58,6175704.8,37914836.4
1659798058.491692,08/07/2022--01:00:58,6432716.05,37889812.4
1659826821.1099102,08/07/2022--09:00:21,6107001.0,33275899.6
1659886109.5671794,08/08/2022--01:28:29,5914757.5,29003317.65
1659915489.3146017,08/08/2022--09:38:09,6711642.05,31114046.35
1659942684.7980738,08/08/2022--17:11:24,5336817.45,25106520.75
1659971568.7314563,08/09/2022--01:12:48,6183772.3,36624223.25
1660030295.9264836,08/09/2022--17:31:35,8767692.4,55533759.75
1660172904.0226371,08/11/2022--09:08:24,6858929.9,43391556.7
1660202153.9173074,08/11/2022--17:15:53,7208388.75,41759977.95
1660260089.9444501,08/12/2022--09:21:29,5458869.55,24640969.6
1660288029.6810946,08/12/2022--17:07:09,6783218.45,34370841.3
1660316972.8768725,08/13/2022--01:09:32,5744642.5,30463675.0
1660347292.7260678,08/13/2022--09:34:52,5967809.8,31510524.15
1660374586.0104291,08/13/2022--17:09:46,6510195.5,33854665.95
1660434289.4885554,08/14/2022--09:44:49,6140506.3,30598815.2
1660462690.270382,08/14/2022--17:38:10,7287703.0,37504859.5
1660490144.9181502,08/15/2022--01:15:44,6068268.6,30574441.2
1660520035.3389182,08/15/2022--09:33:55,6971574.4,34048976.95
1660548110.1855645,08/15/2022--17:21:50,4758214.35,21861017.95
1660633733.4457946,08/16/2022--17:08:53,5187665.55,32962934.05
1660662258.480969,08/17/2022--01:04:18,4781004.4,28961295.35
1660692425.9171295,08/17/2022--09:27:05,5272998.0,32790298.6
1660720046.0474148,08/17/2022--17:07:26,5013589.6,27282624.7
1660748548.0576525,08/18/2022--01:02:28,4637575.95,28928818.65
1660778179.3441532,08/18/2022--09:16:19,3554877.3,27379380.55
1660807681.1939256,08/18/2022--17:28:01,4393080.9,22866319.65
1660835293.140338,08/19/2022--01:08:13,4666034.65,25215168.7
1660864583.2861524,08/19/2022--09:16:23,4463887.3,22162800.95
1660892982.9673333,08/19/2022--17:09:42,3856907.55,23595285.2
1660921520.297617,08/20/2022--01:05:20,4244528.45,22321104.65
1660950648.5543876,08/20/2022--09:10:48,3206232.4,18997601.1
1660979282.6113882,08/20/2022--17:08:02,3336886.7,20196483.25
1661036095.206883,08/21/2022--08:54:55,4034565.5,17848256.3
1661064380.1041234,08/21/2022--16:46:20,3672038.0,19727656.85
1661123013.330709,08/22/2022--09:03:33,3908063.6,21731595.4
1661208404.7366545,08/23/2022--08:46:44,3826716.55,21401255.65
1661237565.4076488,08/23/2022--16:52:45,3575034.5,17082477.35
1661266871.3852978,08/24/2022--01:01:11,5291025.4,23984856.85
1661296200.2926245,08/24/2022--09:10:00,3833579.85,20626765.45
1661352340.4753387,08/25/2022--00:45:40,4589835.4,23678982.8
1661381476.9667122,08/25/2022--08:51:16,3904105.25,20182304.75
1661468398.2601244,08/26/2022--08:59:58,4164900.1,21810108.35
1661526117.894191,08/27/2022--01:01:57,5304296.1,22285573.75
1661554881.5495105,08/27/2022--09:01:21,7820056.45,26439368.2
1661727756.8158545,08/29/2022--09:02:36,5981618.75,20283758.65
1661756562.5978346,08/29/2022--17:02:42,6600900.6,26938333.0
1661785309.2744918,08/30/2022--01:01:49,6448860.7,25099671.4
1661814174.102714,08/30/2022--09:02:54,7409322.95,27315406.85
1661842454.955498,08/30/2022--16:54:14,7618937.55,24541778.95
1661900684.184366,08/31/2022--09:04:44,10452321.7,29745232.9
1661958420.0029917,09/01/2022--01:07:00,6073752.9,23749427.9
1662015716.7539146,09/01/2022--17:01:56,6180389.05,25069746.6
1662076772.6337636,09/02/2022--09:59:32,7038470.65,22942591.45
