unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,410460.4,650636.8
1657807946.3195548,07/15/2022--00:12:26,434669.2,798340.25
1657865324.281464,07/15/2022--16:08:44,689902.8,2291388.0
1657894118.107123,07/16/2022--00:08:38,582536.4,2000165.45
1658812815.1912007,07/26/2022--15:20:15,532471.4,1188498.6
1658815736.5710416,07/26/2022--16:08:56,543687.25,1234801.55
1658844889.9973571,07/27/2022--00:14:49,599352.85,2340497.95
1658848005.9232907,07/27/2022--01:06:45,490383.35,694573.45
1658876959.8061535,07/27/2022--09:09:19,432497.0,744295.2
1658906431.1616275,07/27/2022--17:20:31,561681.45,2276095.7
1658964011.7123463,07/28/2022--09:20:11,680456.6,1993090.4
1658991790.2457771,07/28/2022--17:03:10,891620.55,2569055.45
1659049859.7900746,07/29/2022--09:10:59,621338.7,1178870.0
1659079050.0223944,07/29/2022--17:17:30,838721.85,3513797.35
1659135989.7470224,07/30/2022--09:06:29,294611.9,1930.5
1659164560.1930625,07/30/2022--17:02:40,443471.95,771661.25
1659193295.8534577,07/31/2022--01:01:35,786286.45,3880191.45
1659223175.87765,07/31/2022--09:19:35,628848.15,2964809.95
1659394922.9589896,08/02/2022--09:02:02,542241.9,3000450.25
1659423710.70845,08/02/2022--17:01:50,637276.5,3227499.2
1659452479.933005,08/03/2022--01:01:19,576948.95,1725816.55
1659481254.5834172,08/03/2022--09:00:54,586798.3,1229970.05
1659510483.5113194,08/03/2022--17:08:03,683356.15,2703573.45
1659539025.8442419,08/04/2022--01:03:45,738154.65,3140497.35
1659567977.65322,08/04/2022--09:06:17,621929.8,1487398.95
1659596737.4315803,08/04/2022--17:05:37,637283.5,2724543.95
1659625544.4629736,08/05/2022--01:05:44,791389.9,3661881.05
1659654487.963708,08/05/2022--09:08:07,976396.3,4342642.65
1659683098.9748487,08/05/2022--17:04:58,790717.55,3545322.45
1659798058.491692,08/07/2022--01:00:58,638573.25,2466070.1
1659826821.1099102,08/07/2022--09:00:21,678108.45,2668784.95
1659886109.5671794,08/08/2022--01:28:29,879157.05,3250953.85
1659915489.3146017,08/08/2022--09:38:09,706016.35,2165913.25
1659942684.7980738,08/08/2022--17:11:24,769634.85,3107681.35
1659971568.7314563,08/09/2022--01:12:48,806792.2,3286879.95
1660030295.9264836,08/09/2022--17:31:35,675866.5,2437904.7
1660172904.0226371,08/11/2022--09:08:24,785312.75,3563987.7
1660202153.9173074,08/11/2022--17:15:53,567023.2,2073717.4
1660260089.9444501,08/12/2022--09:21:29,1126878.45,3036127.8
1660288029.6810946,08/12/2022--17:07:09,812051.25,2075257.0
1660316972.8768725,08/13/2022--01:09:32,878804.5,1934307.55
1660347292.7260678,08/13/2022--09:34:52,1085886.25,3174046.25
1660374586.0104291,08/13/2022--17:09:46,1113609.6,3216192.7
1660434289.4885554,08/14/2022--09:44:49,876152.15,2809297.35
1660462690.270382,08/14/2022--17:38:10,545643.6,1561705.65
1660490144.9181502,08/15/2022--01:15:44,504577.7,2082006.8
1660520035.3389182,08/15/2022--09:33:55,777112.15,3263541.95
1660548110.1855645,08/15/2022--17:21:50,754583.4,2898049.8
1660633733.4457946,08/16/2022--17:08:53,923304.5,2511024.6
1660662258.480969,08/17/2022--01:04:18,938759.85,2851890.25
1660692425.9171295,08/17/2022--09:27:05,875549.75,3733073.3
1660720046.0474148,08/17/2022--17:07:26,957637.3,4333146.45
1660748548.0576525,08/18/2022--01:02:28,1190306.55,5214140.45
1660778179.3441532,08/18/2022--09:16:19,884378.55,4337576.1
1660807681.1939256,08/18/2022--17:28:01,781512.15,4014000.3
1660835293.140338,08/19/2022--01:08:13,720631.65,3935105.0
1660864583.2861524,08/19/2022--09:16:23,782811.45,3544075.2
1660892982.9673333,08/19/2022--17:09:42,934144.55,3790984.25
1660921520.297617,08/20/2022--01:05:20,941618.1,3694351.85
1660950648.5543876,08/20/2022--09:10:48,750199.55,5312535.55
1660979282.6113882,08/20/2022--17:08:02,735205.85,3516800.55
1661036095.206883,08/21/2022--08:54:55,682005.0,3323591.35
1661064380.1041234,08/21/2022--16:46:20,823774.8,3743407.15
1661123013.330709,08/22/2022--09:03:33,805498.0,4029995.75
1661208404.7366545,08/23/2022--08:46:44,785265.15,4046818.6
1661237565.4076488,08/23/2022--16:52:45,765927.05,3139127.7
1661266871.3852978,08/24/2022--01:01:11,893110.6,4030193.1
1661296200.2926245,08/24/2022--09:10:00,1284642.05,4238978.9
1661352340.4753387,08/25/2022--00:45:40,802959.75,3363703.55
1661381476.9667122,08/25/2022--08:51:16,1262389.85,5969688.35
1661468398.2601244,08/26/2022--08:59:58,1084593.1,5049767.7
1661526117.894191,08/27/2022--01:01:57,800148.4,3911877.15
1661554881.5495105,08/27/2022--09:01:21,744399.1,3690746.1
1661727756.8158545,08/29/2022--09:02:36,747809.45,3262651.8
1661756562.5978346,08/29/2022--17:02:42,753266.1,3628494.0
1661785309.2744918,08/30/2022--01:01:49,678832.15,3079742.8
1661814174.102714,08/30/2022--09:02:54,799467.25,3420428.2
1661842454.955498,08/30/2022--16:54:14,841950.4,3496856.65
1661900684.184366,08/31/2022--09:04:44,720912.75,3330792.8
1661958420.0029917,09/01/2022--01:07:00,578569.4,2960753.95
1662015716.7539146,09/01/2022--17:01:56,617732.55,2901872.9
1662076772.6337636,09/02/2022--09:59:32,603315.4,2310035.45
