unixTime,dateTime,7,priceManip
1662220153.5368824,09/04/2022--01:49:13,530080.25,108015.45
1662221399.8560996,09/04/2022--02:09:59,528824.0,101893.8
1662235003.77689,09/04/2022--05:56:43,551616.05,84934.4
1662235659.2866502,09/04/2022--06:07:39,549580.25,83611.15
1662242440.1575584,09/04/2022--08:00:40,553108.05,92206.25
1662271237.1247303,09/04/2022--16:00:37,522037.25,92852.6
1662300038.3350203,09/05/2022--00:00:38,504024.45,96767.05
1662328838.1739511,09/05/2022--08:00:38,505708.85,134462.75
1662357639.7296872,09/05/2022--16:00:39,563328.85,118228.0
1662386440.010441,09/06/2022--00:00:40,483570.55,119061.3
1662415240.477175,09/06/2022--08:00:40,452791.55,341300.95
1662444039.4214554,09/06/2022--16:00:39,64459.85,138207.6
1662472838.6704981,09/07/2022--00:00:38,571267.5,138643.2
1662501639.2524316,09/07/2022--08:00:39,526301.65,90460.7
1662530437.6183803,09/07/2022--16:00:37,458777.55,96993.6
