unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,439178.3,2222592.35
1657807946.3195548,07/15/2022--00:12:26,335593.1,1494055.4
1657865324.281464,07/15/2022--16:08:44,324260.15,2446993.2
1657894118.107123,07/16/2022--00:08:38,263342.15,2077688.15
1658812815.1912007,07/26/2022--15:20:15,318714.85,2156236.4
1658815736.5710416,07/26/2022--16:08:56,344829.6,2274057.75
1658844889.9973571,07/27/2022--00:14:49,332013.7,1870688.6
1658848005.9232907,07/27/2022--01:06:45,277041.6,1561248.45
1658876959.8061535,07/27/2022--09:09:19,266968.75,1879132.3
1658906431.1616275,07/27/2022--17:20:31,399962.95,2576293.05
1658964011.7123463,07/28/2022--09:20:11,264057.8,2082024.65
1658991790.2457771,07/28/2022--17:03:10,291119.85,2082329.25
1659049859.7900746,07/29/2022--09:10:59,256249.7,2368026.9
1659079050.0223944,07/29/2022--17:17:30,263203.05,2215528.5
1659135989.7470224,07/30/2022--09:06:29,272590.75,1928042.05
1659164560.1930625,07/30/2022--17:02:40,333290.9,2394093.25
1659193295.8534577,07/31/2022--01:01:35,290768.75,2016919.2
1659223175.87765,07/31/2022--09:19:35,377518.35,2910873.15
1659394922.9589896,08/02/2022--09:02:02,303753.25,2347707.85
1659423710.70845,08/02/2022--17:01:50,347878.3,2863006.5
1659452479.933005,08/03/2022--01:01:19,385546.65,3130419.6
1659481254.5834172,08/03/2022--09:00:54,440647.7,3240405.15
1659510483.5113194,08/03/2022--17:08:03,332774.2,2530242.9
1659539025.8442419,08/04/2022--01:03:45,349302.25,1936169.2
1659567977.65322,08/04/2022--09:06:17,351693.2,2119887.95
1659596737.4315803,08/04/2022--17:05:37,356896.8,1790359.75
1659625544.4629736,08/05/2022--01:05:44,398456.3,1938181.3
1659654487.963708,08/05/2022--09:08:07,335246.1,1925381.3
1659683098.9748487,08/05/2022--17:04:58,325684.15,2406256.55
1659798058.491692,08/07/2022--01:00:58,394629.75,2418475.35
1659826821.1099102,08/07/2022--09:00:21,434760.85,2580273.8
1659886109.5671794,08/08/2022--01:28:29,392992.3,2333636.2
1659915489.3146017,08/08/2022--09:38:09,370016.15,2640007.6
1659942684.7980738,08/08/2022--17:11:24,300897.05,2532999.2
1659971568.7314563,08/09/2022--01:12:48,310838.6,2757514.8
1660030295.9264836,08/09/2022--17:31:35,385111.35,2593044.05
1660172904.0226371,08/11/2022--09:08:24,346664.75,2957632.3
1660202153.9173074,08/11/2022--17:15:53,299425.7,2595694.15
1660260089.9444501,08/12/2022--09:21:29,313427.8,2553527.5
1660288029.6810946,08/12/2022--17:07:09,401496.85,2380157.9
1660316972.8768725,08/13/2022--01:09:32,459325.6,3786425.85
1660347292.7260678,08/13/2022--09:34:52,428243.6,2916287.2
1660374586.0104291,08/13/2022--17:09:46,291356.8,2839146.7
1660434289.4885554,08/14/2022--09:44:49,348879.65,2873619.75
1660462690.270382,08/14/2022--17:38:10,417618.55,2824489.85
1660490144.9181502,08/15/2022--01:15:44,400690.1,2637085.35
1660520035.3389182,08/15/2022--09:33:55,345859.65,3200257.3
1660548110.1855645,08/15/2022--17:21:50,356785.7,2751518.95
1660633733.4457946,08/16/2022--17:08:53,351641.25,3398181.85
1660662258.480969,08/17/2022--01:04:18,343100.9,2979386.6
1660692425.9171295,08/17/2022--09:27:05,339618.05,2956323.3
1660720046.0474148,08/17/2022--17:07:26,297046.95,3335453.15
1660748548.0576525,08/18/2022--01:02:28,399794.3,3074491.45
1660778179.3441532,08/18/2022--09:16:19,322006.45,3218652.85
1660807681.1939256,08/18/2022--17:28:01,403827.6,3595155.95
1660835293.140338,08/19/2022--01:08:13,293435.4,2175624.05
1660864583.2861524,08/19/2022--09:16:23,297291.2,2752489.8
1660892982.9673333,08/19/2022--17:09:42,271130.9,2367653.45
1660921520.297617,08/20/2022--01:05:20,404413.6,2757408.85
1660950648.5543876,08/20/2022--09:10:48,388531.9,3056834.3
1660979282.6113882,08/20/2022--17:08:02,384653.75,3061145.95
1661036095.206883,08/21/2022--08:54:55,362295.25,2381821.1
1661064380.1041234,08/21/2022--16:46:20,480444.85,2963700.45
1661123013.330709,08/22/2022--09:03:33,463306.95,3408890.3
1661208404.7366545,08/23/2022--08:46:44,302617.2,3084927.75
1661237565.4076488,08/23/2022--16:52:45,309634.85,3657687.15
1661266871.3852978,08/24/2022--01:01:11,251346.9,3139806.25
1661296200.2926245,08/24/2022--09:10:00,298647.75,3463913.75
1661352340.4753387,08/25/2022--00:45:40,293217.3,3326308.55
1661381476.9667122,08/25/2022--08:51:16,285577.15,3730920.75
1661468398.2601244,08/26/2022--08:59:58,446157.6,3766671.2
1661526117.894191,08/27/2022--01:01:57,266052.05,3502621.5
1661554881.5495105,08/27/2022--09:01:21,237375.95,2867764.3
1661727756.8158545,08/29/2022--09:02:36,243996.9,2718392.45
1661756562.5978346,08/29/2022--17:02:42,266553.8,2989852.8
1661785309.2744918,08/30/2022--01:01:49,238607.7,2858950.5
1661814174.102714,08/30/2022--09:02:54,263948.95,3297557.8
1661842454.955498,08/30/2022--16:54:14,278669.95,3271960.55
1661900684.184366,08/31/2022--09:04:44,254871.15,3192631.4
1661958420.0029917,09/01/2022--01:07:00,215160.05,2654049.6
1662015716.7539146,09/01/2022--17:01:56,241589.75,2970428.1
1662076772.6337636,09/02/2022--09:59:32,300422.1,3945524.65
