unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,1437132.35,5454203.6
1657807946.3195548,07/15/2022--00:12:26,2144814.45,7551915.9
1657865324.281464,07/15/2022--16:08:44,1517446.2,4737890.5
1657894118.107123,07/16/2022--00:08:38,1240101.3,4736675.8
1658812815.1912007,07/26/2022--15:20:15,466022.3,193899.65
1658815736.5710416,07/26/2022--16:08:56,437337.45,185764.8
1658844889.9973571,07/27/2022--00:14:49,1297585.9,11359097.7
1658848005.9232907,07/27/2022--01:06:45,1023658.1,10227067.85
1658876959.8061535,07/27/2022--09:09:19,435749.5,174260.85
1658906431.1616275,07/27/2022--17:20:31,449911.25,194120.8
1658964011.7123463,07/28/2022--09:20:11,1230632.05,18160811.85
1658991790.2457771,07/28/2022--17:03:10,430484.05,265431.25
1659049859.7900746,07/29/2022--09:10:59,972365.1,12469034.55
1659079050.0223944,07/29/2022--17:17:30,1119563.6,13433702.85
1659135989.7470224,07/30/2022--09:06:29,567476.45,441159.95
1659164560.1930625,07/30/2022--17:02:40,355513.2,113837.6
1659193295.8534577,07/31/2022--01:01:35,1301841.5,12497920.2
1659223175.87765,07/31/2022--09:19:35,1316874.75,14276614.85
1659394922.9589896,08/02/2022--09:02:02,1604690.9,12839732.4
1659423710.70845,08/02/2022--17:01:50,606506.6,460101.15
1659452479.933005,08/03/2022--01:01:19,1701989.0,8557076.45
1659481254.5834172,08/03/2022--09:00:54,1721742.6,8959860.35
1659510483.5113194,08/03/2022--17:08:03,1501837.65,15099610.6
1659539025.8442419,08/04/2022--01:03:45,914429.4,2659575.05
1659567977.65322,08/04/2022--09:06:17,2015109.2,12706204.3
1659596737.4315803,08/04/2022--17:05:37,2388631.05,16212599.9
1659625544.4629736,08/05/2022--01:05:44,1375165.55,15290898.25
1659654487.963708,08/05/2022--09:08:07,2473258.25,17870441.2
1659683098.9748487,08/05/2022--17:04:58,2512533.15,16495304.2
1659798058.491692,08/07/2022--01:00:58,1803976.45,20029081.95
1659826821.1099102,08/07/2022--09:00:21,1713566.55,12930080.25
1659886109.5671794,08/08/2022--01:28:29,1537544.75,16228853.8
1659915489.3146017,08/08/2022--09:38:09,1649230.15,20289452.3
1659942684.7980738,08/08/2022--17:11:24,1552133.3,17052591.45
1659971568.7314563,08/09/2022--01:12:48,1291662.85,12597385.3
1660030295.9264836,08/09/2022--17:31:35,1529473.3,15431792.55
1660172904.0226371,08/11/2022--09:08:24,1847869.95,17228224.7
1660202153.9173074,08/11/2022--17:15:53,1251450.15,8878771.5
1660260089.9444501,08/12/2022--09:21:29,1162644.65,7923072.4
1660288029.6810946,08/12/2022--17:07:09,1400428.15,10178871.1
1660316972.8768725,08/13/2022--01:09:32,1205884.2,11436227.1
1660347292.7260678,08/13/2022--09:34:52,1478422.8,12029823.9
1660374586.0104291,08/13/2022--17:09:46,2013142.55,16248735.4
1660434289.4885554,08/14/2022--09:44:49,1754956.4,11923951.9
1660462690.270382,08/14/2022--17:38:10,1812206.65,10300209.35
1660490144.9181502,08/15/2022--01:15:44,3147519.5,12066418.7
1660520035.3389182,08/15/2022--09:33:55,3058563.7,18015755.35
1660548110.1855645,08/15/2022--17:21:50,2040562.4,15951705.3
1660633733.4457946,08/16/2022--17:08:53,2025880.2,17738541.4
1660662258.480969,08/17/2022--01:04:18,1415145.9,13959174.25
1660692425.9171295,08/17/2022--09:27:05,1615762.65,11393255.85
1660720046.0474148,08/17/2022--17:07:26,1881087.95,15227171.4
1660748548.0576525,08/18/2022--01:02:28,1529456.75,16468956.75
1660778179.3441532,08/18/2022--09:16:19,2376890.1,17613583.05
1660807681.1939256,08/18/2022--17:28:01,1416157.75,12567073.25
1660835293.140338,08/19/2022--01:08:13,1174336.2,9338408.25
1660864583.2861524,08/19/2022--09:16:23,1644131.8,11865548.05
1660892982.9673333,08/19/2022--17:09:42,1183963.15,11014574.8
1660921520.297617,08/20/2022--01:05:20,1056187.35,8304952.8
1660950648.5543876,08/20/2022--09:10:48,1281938.15,10514715.25
1660979282.6113882,08/20/2022--17:08:02,1339762.2,11687070.15
1661036095.206883,08/21/2022--08:54:55,1154768.95,9523469.65
1661064380.1041234,08/21/2022--16:46:20,1924612.45,14035144.6
1661123013.330709,08/22/2022--09:03:33,1275116.0,12195346.1
1661208404.7366545,08/23/2022--08:46:44,1080088.5,8757332.35
1661237565.4076488,08/23/2022--16:52:45,1364898.35,9532421.35
1661266871.3852978,08/24/2022--01:01:11,1503953.8,10803997.6
1661296200.2926245,08/24/2022--09:10:00,1219703.95,11999558.8
1661352340.4753387,08/25/2022--00:45:40,1235579.3,9771762.15
1661381476.9667122,08/25/2022--08:51:16,1308616.0,10601681.9
1661468398.2601244,08/26/2022--08:59:58,1241436.2,14500710.0
1661526117.894191,08/27/2022--01:01:57,2032160.85,17652892.15
1661554881.5495105,08/27/2022--09:01:21,1283220.55,11414916.35
1661727756.8158545,08/29/2022--09:02:36,1090250.05,7095020.05
1661756562.5978346,08/29/2022--17:02:42,1140277.45,7894852.2
1661785309.2744918,08/30/2022--01:01:49,1022502.0,6488306.6
1661814174.102714,08/30/2022--09:02:54,1397004.85,8537446.25
1661842454.955498,08/30/2022--16:54:14,1165887.55,9521937.4
1661900684.184366,08/31/2022--09:04:44,1421771.25,10594565.25
1661958420.0029917,09/01/2022--01:07:00,1129340.45,9555306.85
1662015716.7539146,09/01/2022--17:01:56,1195016.0,9616315.2
1662076772.6337636,09/02/2022--09:59:32,1130200.5,9255937.85
