unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,12818132.5,39790095.75
1657807946.3195548,07/15/2022--00:12:26,12126011.2,48641924.1
1657865324.281464,07/15/2022--16:08:44,10528005.4,29357935.3
1657894118.107123,07/16/2022--00:08:38,12101353.8,33943309.9
1658812815.1912007,07/26/2022--15:20:15,9039264.7,1922596.8
1658815736.5710416,07/26/2022--16:08:56,8473877.8,1844786.25
1658844889.9973571,07/27/2022--00:14:49,10996267.45,2019689.8
1658848005.9232907,07/27/2022--01:06:45,15237285.4,37511891.9
1658876959.8061535,07/27/2022--09:09:19,16054996.15,36531844.1
1658906431.1616275,07/27/2022--17:20:31,13980973.6,35837173.2
1658964011.7123463,07/28/2022--09:20:11,11589861.95,51965003.05
1658991790.2457771,07/28/2022--17:03:10,11713495.65,34282561.15
1659049859.7900746,07/29/2022--09:10:59,11655982.25,53296063.7
1659079050.0223944,07/29/2022--17:17:30,12456770.55,56105987.8
1659135989.7470224,07/30/2022--09:06:29,18452968.7,66332875.7
1659164560.1930625,07/30/2022--17:02:40,17663906.05,59722857.3
1659193295.8534577,07/31/2022--01:01:35,15030155.45,68397576.7
1659223175.87765,07/31/2022--09:19:35,13291198.35,62090513.0
1659394922.9589896,08/02/2022--09:02:02,14016371.65,57895694.7
1659423710.70845,08/02/2022--17:01:50,977617.95,1578842.95
1659452479.933005,08/03/2022--01:01:19,12223207.2,49676469.7
1659481254.5834172,08/03/2022--09:00:54,12551706.2,49187685.05
1659510483.5113194,08/03/2022--17:08:03,13608905.95,59807805.6
1659539025.8442419,08/04/2022--01:03:45,14706237.55,62036309.0
1659567977.65322,08/04/2022--09:06:17,13662252.4,62181834.35
1659596737.4315803,08/04/2022--17:05:37,14661271.85,47921240.95
1659625544.4629736,08/05/2022--01:05:44,138842568.4,122986783.5
1659654487.963708,08/05/2022--09:08:07,20437864.85,22747380.3
1659683098.9748487,08/05/2022--17:04:58,53582617.05,64070454.1
1659798058.491692,08/07/2022--01:00:58,42718077.05,51735972.65
1659826821.1099102,08/07/2022--09:00:21,41120963.5,49857432.0
1659886109.5671794,08/08/2022--01:28:29,11878500.15,16026731.25
1659915489.3146017,08/08/2022--09:38:09,12851727.1,17264000.0
1659942684.7980738,08/08/2022--17:11:24,41289939.7,58315597.0
1659971568.7314563,08/09/2022--01:12:48,38466758.75,61929372.3
1660030295.9264836,08/09/2022--17:31:35,16267137.35,23680319.35
1660172904.0226371,08/11/2022--09:08:24,13076486.3,54878225.2
1660202153.9173074,08/11/2022--17:15:53,12041542.05,58861440.45
1660260089.9444501,08/12/2022--09:21:29,10554866.2,56296132.85
1660288029.6810946,08/12/2022--17:07:09,11710317.7,50290715.15
1660316972.8768725,08/13/2022--01:09:32,12018945.8,64200567.15
1660347292.7260678,08/13/2022--09:34:52,11149327.15,63874424.3
1660374586.0104291,08/13/2022--17:09:46,11738439.1,45178243.55
1660434289.4885554,08/14/2022--09:44:49,10973163.5,50243917.35
1660462690.270382,08/14/2022--17:38:10,12452164.35,58256412.6
1660490144.9181502,08/15/2022--01:15:44,11597322.75,50014768.4
1660520035.3389182,08/15/2022--09:33:55,10307358.25,54905239.15
1660548110.1855645,08/15/2022--17:21:50,10620781.9,57270434.55
1660633733.4457946,08/16/2022--17:08:53,7358519.85,1818100.25
1660662258.480969,08/17/2022--01:04:18,14190256.65,60199580.55
1660692425.9171295,08/17/2022--09:27:05,12573354.15,42536137.85
1660720046.0474148,08/17/2022--17:07:26,11304665.85,41122146.35
1660748548.0576525,08/18/2022--01:02:28,11927690.5,57583919.15
1660778179.3441532,08/18/2022--09:16:19,12562413.55,65532766.6
1660807681.1939256,08/18/2022--17:28:01,11255574.75,48414689.4
1660835293.140338,08/19/2022--01:08:13,12821550.6,52592851.55
1660864583.2861524,08/19/2022--09:16:23,8838022.85,36502433.7
1660892982.9673333,08/19/2022--17:09:42,4024533.35,1639288.2
1660921520.297617,08/20/2022--01:05:20,11003729.8,59826481.6
1660950648.5543876,08/20/2022--09:10:48,15559234.6,62567339.0
1660979282.6113882,08/20/2022--17:08:02,13289027.2,56019480.95
1661036095.206883,08/21/2022--08:54:55,13142499.0,76959716.1
1661064380.1041234,08/21/2022--16:46:20,9362646.2,64242661.6
1661123013.330709,08/22/2022--09:03:33,16839286.1,79204106.2
1661208404.7366545,08/23/2022--08:46:44,14932951.6,56348628.5
1661237565.4076488,08/23/2022--16:52:45,20842500.15,88331823.5
1661266871.3852978,08/24/2022--01:01:11,9824465.5,72891501.45
1661296200.2926245,08/24/2022--09:10:00,12144965.0,37372187.4
1661352340.4753387,08/25/2022--00:45:40,9915616.35,59697723.2
1661381476.9667122,08/25/2022--08:51:16,8899864.45,52944819.65
1661468398.2601244,08/26/2022--08:59:58,15673727.3,60569965.05
1661526117.894191,08/27/2022--01:01:57,17735418.25,69923514.3
1661554881.5495105,08/27/2022--09:01:21,11885094.95,42330861.8
1661727756.8158545,08/29/2022--09:02:36,18263537.45,58599226.2
1661756562.5978346,08/29/2022--17:02:42,14135543.6,64202895.75
1661785309.2744918,08/30/2022--01:01:49,9870264.65,61674404.6
1661814174.102714,08/30/2022--09:02:54,9993510.05,40807105.35
1661842454.955498,08/30/2022--16:54:14,12027873.15,36697953.45
1661900684.184366,08/31/2022--09:04:44,11783770.25,49288503.4
1661958420.0029917,09/01/2022--01:07:00,12208875.6,42594752.6
1662015716.7539146,09/01/2022--17:01:56,11836963.65,43685611.65
1662076772.6337636,09/02/2022--09:59:32,13703350.6,51865089.15
