unixTime,dateTime,7,priceManip
1662138582.51673,09/03/2022--03:09:42,264384.15,1873.05
1662139531.6029572,09/03/2022--03:25:31,262323.85,1930.0
1662139613.601873,09/03/2022--03:26:53,261344.1,1929.95
1662148667.154165,09/03/2022--05:57:47,169243.3,1589.75
1662148978.4758344,09/03/2022--06:02:58,165429.2,1233.75
1662149223.743534,09/03/2022--06:07:03,161922.2,1134.85
1662156045.6306205,09/03/2022--08:00:45,184155.5,13424.45
1662184846.5015855,09/03/2022--16:00:46,156400.9,659.5
1662189150.5387588,09/03/2022--17:12:30,268548.75,18309.55
1662189335.3729067,09/03/2022--17:15:35,267299.55,18239.15
1662189432.620248,09/03/2022--17:17:12,265128.6,18097.55
1662189496.1168838,09/03/2022--17:18:16,266413.5,18192.9
1662189726.0293598,09/03/2022--17:22:06,265697.05,18162.9
1662190187.8536506,09/03/2022--17:29:47,257886.15,17674.25
1662192556.7635229,09/03/2022--18:09:16,262881.75,19466.1
1662194149.252791,09/03/2022--18:35:49,159305.4,867.65
1662194231.008193,09/03/2022--18:37:11,159633.4,840.15
1662195060.3163054,09/03/2022--18:51:00,159645.75,1291.75
1662195509.005806,09/03/2022--18:58:29,158145.2,1266.45
1662195889.1521356,09/03/2022--19:04:49,159611.9,1268.3
1662204411.0077145,09/03/2022--21:26:51,195526.25,3978.45
1662204822.934957,09/03/2022--21:33:42,192477.1,3934.35
1662205717.8322904,09/03/2022--21:48:37,184219.2,4034.9
1662205845.2876964,09/03/2022--21:50:45,184406.3,3976.15
1662205979.2698529,09/03/2022--21:52:59,273064.75,17002.9
1662219060.3061438,09/04/2022--01:31:00,191214.55,1476.45
1662219769.5638413,09/04/2022--01:42:49,218198.65,3039.4
1662220153.5368824,09/04/2022--01:49:13,220735.7,3069.3
1662221399.8560996,09/04/2022--02:09:59,635439.1,10863.2
1662235003.77689,09/04/2022--05:56:43,232776.2,3633.2
1662235659.2866502,09/04/2022--06:07:39,232547.7,3404.8
1662242440.1575584,09/04/2022--08:00:40,213953.05,4045.0
1662271237.1247303,09/04/2022--16:00:37,225341.3,3890.95
1662300038.3350203,09/05/2022--00:00:38,248733.6,3384.25
1662328838.1739511,09/05/2022--08:00:38,263582.4,4093.15
1662357639.7296872,09/05/2022--16:00:39,599699.55,3497.8
1662386440.010441,09/06/2022--00:00:40,287176.15,3283.25
1662415240.477175,09/06/2022--08:00:40,473224.05,2076.6
1662444039.4214554,09/06/2022--16:00:39,492675.8,5215.85
1662472838.6704981,09/07/2022--00:00:38,569758.65,2751.25
1662501639.2524316,09/07/2022--08:00:39,571369.9,4359.45
1662530437.6183803,09/07/2022--16:00:37,551843.95,2677.0
