unixTime,dateTime,7,priceManip
1662148667.154165,09/03/2022--05:57:47,27849.6,880.75
1662148978.4758344,09/03/2022--06:02:58,28304.9,895.25
1662149223.743534,09/03/2022--06:07:03,28309.35,895.45
1662156045.6306205,09/03/2022--08:00:45,28848.8,913.3
1662184846.5015855,09/03/2022--16:00:46,28847.05,913.95
1662189150.5387588,09/03/2022--17:12:30,28376.4,541.85
1662189335.3729067,09/03/2022--17:15:35,28377.2,541.9
1662189432.620248,09/03/2022--17:17:12,28377.55,541.9
1662189496.1168838,09/03/2022--17:18:16,28375.4,541.85
1662189726.0293598,09/03/2022--17:22:06,28372.95,541.8
1662190187.8536506,09/03/2022--17:29:47,28382.05,542.0
1662192556.7635229,09/03/2022--18:09:16,28013.55,535.35
1662194149.252791,09/03/2022--18:35:49,28126.85,537.7
1662194231.008193,09/03/2022--18:37:11,28297.6,540.95
1662195060.3163054,09/03/2022--18:51:00,28499.0,369.05
1662195509.005806,09/03/2022--18:58:29,28553.95,370.05
1662195889.1521356,09/03/2022--19:04:49,28304.45,375.0
1662204411.0077145,09/03/2022--21:26:51,28497.1,375.4
1662204822.934957,09/03/2022--21:33:42,28488.3,375.4
1662205717.8322904,09/03/2022--21:48:37,28460.05,375.35
1662205845.2876964,09/03/2022--21:50:45,28557.9,375.4
1662205979.2698529,09/03/2022--21:52:59,28558.0,162.25
1662219060.3061438,09/04/2022--01:31:00,28167.9,159.15
1662219769.5638413,09/04/2022--01:42:49,28880.15,156.3
1662220153.5368824,09/04/2022--01:49:13,28827.3,152.1
1662221399.8560996,09/04/2022--02:09:59,28856.4,170.3
1662235003.77689,09/04/2022--05:56:43,24296.05,169.55
1662235659.2866502,09/04/2022--06:07:39,23559.75,168.45
1662242440.1575584,09/04/2022--08:00:40,21130.4,166.95
1662271237.1247303,09/04/2022--16:00:37,21425.4,199.9
1662300038.3350203,09/05/2022--00:00:38,21321.8,197.9
1662328838.1739511,09/05/2022--08:00:38,19949.85,203.9
1662357639.7296872,09/05/2022--16:00:39,22182.05,171.25
1662386440.010441,09/06/2022--00:00:40,17342.35,62.05
1662415240.477175,09/06/2022--08:00:40,23063.95,60.85
1662444039.4214554,09/06/2022--16:00:39,23205.8,61.5
1662472838.6704981,09/07/2022--00:00:38,21633.75,63.8
1662501639.2524316,09/07/2022--08:00:39,21167.1,52.15
1662530437.6183803,09/07/2022--16:00:37,21506.4,49.2
