unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,1827886.1,24184905.75
1657807946.3195548,07/15/2022--00:12:26,1584018.2,20958270.65
1657865324.281464,07/15/2022--16:08:44,1524941.75,20176625.3
1657894118.107123,07/16/2022--00:08:38,309331.15,69167.5
1658812815.1912007,07/26/2022--15:20:15,458701.5,82987.0
1658815736.5710416,07/26/2022--16:08:56,512351.7,69271.0
1658844889.9973571,07/27/2022--00:14:49,567655.65,148025.3
1658848005.9232907,07/27/2022--01:06:45,550364.0,151231.25
1658876959.8061535,07/27/2022--09:09:19,722168.25,189729.5
1658906431.1616275,07/27/2022--17:20:31,688873.45,187056.15
1658964011.7123463,07/28/2022--09:20:11,469483.25,114558.95
1658991790.2457771,07/28/2022--17:03:10,321637.2,108759.45
1659049859.7900746,07/29/2022--09:10:59,329023.5,73988.25
1659079050.0223944,07/29/2022--17:17:30,538631.85,48945.15
1659135989.7470224,07/30/2022--09:06:29,529972.35,172435.5
1659164560.1930625,07/30/2022--17:02:40,209679.8,53122.25
1659193295.8534577,07/31/2022--01:01:35,688309.7,82007.4
1659223175.87765,07/31/2022--09:19:35,1176532.55,167175.55
1659394922.9589896,08/02/2022--09:02:02,1123769.0,207353.5
1659423710.70845,08/02/2022--17:01:50,375347.0,69977.9
1659452479.933005,08/03/2022--01:01:19,408450.75,157036.35
1659481254.5834172,08/03/2022--09:00:54,327754.35,136748.25
1659510483.5113194,08/03/2022--17:08:03,379956.7,157142.8
1659539025.8442419,08/04/2022--01:03:45,302280.9,135463.85
1659567977.65322,08/04/2022--09:06:17,313127.1,157460.95
1659596737.4315803,08/04/2022--17:05:37,293303.0,125099.45
1659625544.4629736,08/05/2022--01:05:44,305776.45,120168.1
1659654487.963708,08/05/2022--09:08:07,241617.85,86428.8
1659683098.9748487,08/05/2022--17:04:58,191512.85,50833.15
1659798058.491692,08/07/2022--01:00:58,466702.15,158753.8
1659826821.1099102,08/07/2022--09:00:21,593822.65,36448.05
1659886109.5671794,08/08/2022--01:28:29,391888.25,72197.65
1659915489.3146017,08/08/2022--09:38:09,263494.3,59878.35
1659942684.7980738,08/08/2022--17:11:24,354281.1,84715.15
1659971568.7314563,08/09/2022--01:12:48,279580.8,99373.35
1660030295.9264836,08/09/2022--17:31:35,555792.3,167228.6
1660172904.0226371,08/11/2022--09:08:24,361169.85,106575.65
1660202153.9173074,08/11/2022--17:15:53,382410.1,108550.1
1660260089.9444501,08/12/2022--09:21:29,420952.25,123759.5
1660288029.6810946,08/12/2022--17:07:09,445254.85,142603.9
1660316972.8768725,08/13/2022--01:09:32,568925.4,159881.0
1660347292.7260678,08/13/2022--09:34:52,546357.6,182666.1
1660374586.0104291,08/13/2022--17:09:46,534117.05,157078.0
1660434289.4885554,08/14/2022--09:44:49,665724.6,178405.1
1660462690.270382,08/14/2022--17:38:10,432631.75,162746.7
1660490144.9181502,08/15/2022--01:15:44,376101.3,112518.35
1660520035.3389182,08/15/2022--09:33:55,512533.7,149721.3
1660548110.1855645,08/15/2022--17:21:50,405201.8,121427.6
1660633733.4457946,08/16/2022--17:08:53,273543.6,156261.6
1660662258.480969,08/17/2022--01:04:18,496109.65,193883.85
1660692425.9171295,08/17/2022--09:27:05,375156.55,133403.5
1660720046.0474148,08/17/2022--17:07:26,458998.0,188006.9
1660748548.0576525,08/18/2022--01:02:28,428820.25,160386.0
1660778179.3441532,08/18/2022--09:16:19,403369.55,152404.25
1660807681.1939256,08/18/2022--17:28:01,394215.75,146229.35
1660835293.140338,08/19/2022--01:08:13,409174.3,163699.0
1660864583.2861524,08/19/2022--09:16:23,392020.5,161516.95
1660892982.9673333,08/19/2022--17:09:42,425021.75,180067.8
1660921520.297617,08/20/2022--01:05:20,552631.7,59272.95
1660950648.5543876,08/20/2022--09:10:48,439092.85,139841.05
1660979282.6113882,08/20/2022--17:08:02,434763.9,144470.5
1661036095.206883,08/21/2022--08:54:55,559676.3,146637.65
1661064380.1041234,08/21/2022--16:46:20,525231.8,131550.75
1661123013.330709,08/22/2022--09:03:33,496601.85,134243.95
1661208404.7366545,08/23/2022--08:46:44,393119.1,63362.15
1661237565.4076488,08/23/2022--16:52:45,401439.35,100411.4
1661266871.3852978,08/24/2022--01:01:11,609507.2,144169.8
1661296200.2926245,08/24/2022--09:10:00,332212.8,83387.85
1661352340.4753387,08/25/2022--00:45:40,494026.4,131645.25
1661381476.9667122,08/25/2022--08:51:16,593242.85,169577.45
1661468398.2601244,08/26/2022--08:59:58,600562.05,151733.5
1661526117.894191,08/27/2022--01:01:57,644310.0,140889.9
1661554881.5495105,08/27/2022--09:01:21,377612.5,100081.35
1661727756.8158545,08/29/2022--09:02:36,425838.85,107903.9
1661756562.5978346,08/29/2022--17:02:42,333759.9,83188.9
1661785309.2744918,08/30/2022--01:01:49,425478.85,96597.35
1661814174.102714,08/30/2022--09:02:54,371019.8,91919.25
1661842454.955498,08/30/2022--16:54:14,361061.15,88933.4
1661900684.184366,08/31/2022--09:04:44,343532.65,91004.6
1661958420.0029917,09/01/2022--01:07:00,314599.7,84721.7
1662015716.7539146,09/01/2022--17:01:56,358433.5,91755.45
1662076772.6337636,09/02/2022--09:59:32,344075.9,115757.0
