unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,2647198.05,5284337.65
1657807946.3195548,07/15/2022--00:12:26,4347035.6,5356981.9
1657865324.281464,07/15/2022--16:08:44,4463888.4,1027341.55
1657894118.107123,07/16/2022--00:08:38,3887027.25,6022896.5
1658812815.1912007,07/26/2022--15:20:15,6488450.3,7132741.15
1658815736.5710416,07/26/2022--16:08:56,6312317.4,6837473.8
1658844889.9973571,07/27/2022--00:14:49,6414322.6,178909.6
1658848005.9232907,07/27/2022--01:06:45,6276665.55,174507.5
1658876959.8061535,07/27/2022--09:09:19,8695093.25,8291768.4
1658906431.1616275,07/27/2022--17:20:31,7088473.85,4848946.1
1658964011.7123463,07/28/2022--09:20:11,8132479.05,1240625.1
1658991790.2457771,07/28/2022--17:03:10,6440507.1,6431714.05
1659049859.7900746,07/29/2022--09:10:59,5512464.0,6208369.45
1659079050.0223944,07/29/2022--17:17:30,4928725.0,347422.55
1659135989.7470224,07/30/2022--09:06:29,5107335.0,20137537.45
1659164560.1930625,07/30/2022--17:02:40,5149162.9,17284234.05
1659193295.8534577,07/31/2022--01:01:35,5413698.0,14546606.55
1659223175.87765,07/31/2022--09:19:35,6351296.05,15086807.5
1659394922.9589896,08/02/2022--09:02:02,6943343.45,18065202.05
1659423710.70845,08/02/2022--17:01:50,4041630.1,14275687.3
1659452479.933005,08/03/2022--01:01:19,9306758.4,591336.6
1659481254.5834172,08/03/2022--09:00:54,6598051.45,18737273.1
1659510483.5113194,08/03/2022--17:08:03,6190110.0,18630708.85
1659539025.8442419,08/04/2022--01:03:45,5863541.4,12183962.35
1659567977.65322,08/04/2022--09:06:17,6367927.7,15207864.45
1659596737.4315803,08/04/2022--17:05:37,6518785.95,12532731.95
1659625544.4629736,08/05/2022--01:05:44,6190972.4,18335375.2
1659654487.963708,08/05/2022--09:08:07,7794350.45,590828.55
1659683098.9748487,08/05/2022--17:04:58,6296857.3,16021164.25
1659798058.491692,08/07/2022--01:00:58,8098709.85,19130521.45
1659826821.1099102,08/07/2022--09:00:21,7669385.75,17925792.45
1659886109.5671794,08/08/2022--01:28:29,7042874.05,17417392.0
1659915489.3146017,08/08/2022--09:38:09,6886561.3,17811537.7
1659942684.7980738,08/08/2022--17:11:24,7946964.6,20724424.2
1659971568.7314563,08/09/2022--01:12:48,4127943.0,1282358.45
1660030295.9264836,08/09/2022--17:31:35,7036639.15,22001046.05
1660172904.0226371,08/11/2022--09:08:24,6783695.45,23301821.5
1660202153.9173074,08/11/2022--17:15:53,6509527.25,567792.75
1660260089.9444501,08/12/2022--09:21:29,4746438.05,14724681.1
1660288029.6810946,08/12/2022--17:07:09,5796628.5,18071592.95
1660316972.8768725,08/13/2022--01:09:32,7837402.8,750918.55
1660347292.7260678,08/13/2022--09:34:52,7351666.95,29281141.35
1660374586.0104291,08/13/2022--17:09:46,6801404.4,19521816.85
1660434289.4885554,08/14/2022--09:44:49,7820698.25,574479.45
1660462690.270382,08/14/2022--17:38:10,7790361.05,637776.85
1660490144.9181502,08/15/2022--01:15:44,7425699.0,594603.05
1660520035.3389182,08/15/2022--09:33:55,7653924.85,576430.65
1660548110.1855645,08/15/2022--17:21:50,7956372.55,323064535.9
1660633733.4457946,08/16/2022--17:08:53,4317380.25,15092055.7
1660662258.480969,08/17/2022--01:04:18,4251659.4,13920655.4
1660692425.9171295,08/17/2022--09:27:05,5188495.8,11682488.1
1660720046.0474148,08/17/2022--17:07:26,5835370.05,634767.7
1660748548.0576525,08/18/2022--01:02:28,6238763.7,16496878.4
1660778179.3441532,08/18/2022--09:16:19,5342686.6,15536877.65
1660807681.1939256,08/18/2022--17:28:01,5421510.1,19003135.65
1660835293.140338,08/19/2022--01:08:13,5680244.35,47096770.4
1660864583.2861524,08/19/2022--09:16:23,5751559.0,18220133.1
1660892982.9673333,08/19/2022--17:09:42,9962483.4,10435936.5
1660921520.297617,08/20/2022--01:05:20,4672334.25,14792143.4
1660950648.5543876,08/20/2022--09:10:48,4909657.25,13572766.6
1660979282.6113882,08/20/2022--17:08:02,5159137.3,8671579.5
1661036095.206883,08/21/2022--08:54:55,4636002.2,15074401.75
1661064380.1041234,08/21/2022--16:46:20,5456243.5,3615828.35
1661123013.330709,08/22/2022--09:03:33,5834346.8,15483077.75
1661208404.7366545,08/23/2022--08:46:44,5002556.85,11399370.4
1661237565.4076488,08/23/2022--16:52:45,4908058.6,7337649.35
1661266871.3852978,08/24/2022--01:01:11,5208341.25,21338594.3
1661296200.2926245,08/24/2022--09:10:00,4203575.1,301647.1
1661352340.4753387,08/25/2022--00:45:40,6081215.25,23151555.7
1661381476.9667122,08/25/2022--08:51:16,3779318.4,2875957.25
1661468398.2601244,08/26/2022--08:59:58,6690933.55,16981328.25
1661526117.894191,08/27/2022--01:01:57,6145491.2,10548957.85
1661554881.5495105,08/27/2022--09:01:21,5780646.8,13891094.55
1661727756.8158545,08/29/2022--09:02:36,4810960.75,12833319.0
1661756562.5978346,08/29/2022--17:02:42,5776705.7,18021766.5
1661785309.2744918,08/30/2022--01:01:49,3972011.7,526195.6
1661814174.102714,08/30/2022--09:02:54,3850109.65,521953.05
1661842454.955498,08/30/2022--16:54:14,5953549.95,14608101.6
1661900684.184366,08/31/2022--09:04:44,6791498.3,5557665.85
1661958420.0029917,09/01/2022--01:07:00,6408610.9,9749141.5
1662015716.7539146,09/01/2022--17:01:56,4618509.65,3415155.0
1662076772.6337636,09/02/2022--09:59:32,5725228.2,434719.6
