unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,3842760.55,5140528.15
1657807946.3195548,07/15/2022--00:12:26,4165740.75,3581097.65
1657865324.281464,07/15/2022--16:08:44,4478468.5,5324592.5
1657894118.107123,07/16/2022--00:08:38,2864371.05,3618189.0
1658812815.1912007,07/26/2022--15:20:15,3992002.05,118943.05
1658815736.5710416,07/26/2022--16:08:56,4159035.85,122700.55
1658844889.9973571,07/27/2022--00:14:49,4664033.6,6718093.35
1658848005.9232907,07/27/2022--01:06:45,5201288.35,6033575.85
1658876959.8061535,07/27/2022--09:09:19,6030626.95,5982803.65
1658906431.1616275,07/27/2022--17:20:31,7590174.95,5297939.1
1658964011.7123463,07/28/2022--09:20:11,4547776.65,6085738.4
1658991790.2457771,07/28/2022--17:03:10,4334597.6,5423116.15
1659049859.7900746,07/29/2022--09:10:59,4474333.4,6133997.45
1659079050.0223944,07/29/2022--17:17:30,3766399.25,6470810.5
1659135989.7470224,07/30/2022--09:06:29,4931875.45,5783839.45
1659164560.1930625,07/30/2022--17:02:40,5733641.6,4644259.35
1659193295.8534577,07/31/2022--01:01:35,5209355.85,3957328.8
1659223175.87765,07/31/2022--09:19:35,4619240.3,3789529.3
1659394922.9589896,08/02/2022--09:02:02,7004833.2,6715229.7
1659423710.70845,08/02/2022--17:01:50,2948236.7,261730.35
1659452479.933005,08/03/2022--01:01:19,7564952.9,5174144.75
1659481254.5834172,08/03/2022--09:00:54,9347537.45,5624984.25
1659510483.5113194,08/03/2022--17:08:03,3741746.55,248939.95
1659539025.8442419,08/04/2022--01:03:45,7627585.8,10923332.9
1659567977.65322,08/04/2022--09:06:17,5417965.7,9488866.15
1659596737.4315803,08/04/2022--17:05:37,5946034.3,5328058.4
1659625544.4629736,08/05/2022--01:05:44,6169330.15,10212258.15
1659654487.963708,08/05/2022--09:08:07,6536240.3,9608614.0
1659683098.9748487,08/05/2022--17:04:58,7519468.7,9765700.4
1659798058.491692,08/07/2022--01:00:58,4443476.7,291933.75
1659826821.1099102,08/07/2022--09:00:21,4952276.75,333946.3
1659886109.5671794,08/08/2022--01:28:29,6603870.85,5873622.05
1659915489.3146017,08/08/2022--09:38:09,5807950.35,8221871.7
1659942684.7980738,08/08/2022--17:11:24,7102045.7,10086513.8
1659971568.7314563,08/09/2022--01:12:48,5810565.75,14930116.95
1660030295.9264836,08/09/2022--17:31:35,5627445.85,382174.25
1660172904.0226371,08/11/2022--09:08:24,4447025.75,270710.15
1660202153.9173074,08/11/2022--17:15:53,7811607.4,5279069.85
1660260089.9444501,08/12/2022--09:21:29,5256222.3,8078954.15
1660288029.6810946,08/12/2022--17:07:09,4943748.05,239291.6
1660316972.8768725,08/13/2022--01:09:32,6813518.15,10198090.65
1660347292.7260678,08/13/2022--09:34:52,6984059.8,239878.1
1660374586.0104291,08/13/2022--17:09:46,7418364.95,16887134.8
1660434289.4885554,08/14/2022--09:44:49,7059407.1,16814466.05
1660462690.270382,08/14/2022--17:38:10,7130838.7,19797679.9
1660490144.9181502,08/15/2022--01:15:44,8335884.05,21994481.3
1660520035.3389182,08/15/2022--09:33:55,6876937.0,17930250.2
1660548110.1855645,08/15/2022--17:21:50,6050175.3,15597194.3
1660633733.4457946,08/16/2022--17:08:53,6824321.0,11495169.45
1660662258.480969,08/17/2022--01:04:18,5522244.55,5872567.95
1660692425.9171295,08/17/2022--09:27:05,6480759.85,11162600.3
1660720046.0474148,08/17/2022--17:07:26,4188597.8,6819397.1
1660748548.0576525,08/18/2022--01:02:28,4633548.3,54976.35
1660778179.3441532,08/18/2022--09:16:19,3514870.9,50877.7
1660807681.1939256,08/18/2022--17:28:01,6159586.0,11547522.0
1660835293.140338,08/19/2022--01:08:13,8502781.9,8919241.35
1660864583.2861524,08/19/2022--09:16:23,5625340.2,5953347.75
1660892982.9673333,08/19/2022--17:09:42,2703932.7,310097.15
1660921520.297617,08/20/2022--01:05:20,3027987.1,94689.65
1660950648.5543876,08/20/2022--09:10:48,4631070.55,62406.45
1660979282.6113882,08/20/2022--17:08:02,5765566.2,11068894.85
1661036095.206883,08/21/2022--08:54:55,4269580.0,76862.35
1661064380.1041234,08/21/2022--16:46:20,11695608.6,25174807.2
1661123013.330709,08/22/2022--09:03:33,4483867.95,82196.95
1661208404.7366545,08/23/2022--08:46:44,7878833.1,10778189.35
1661237565.4076488,08/23/2022--16:52:45,4016376.7,318082.55
1661266871.3852978,08/24/2022--01:01:11,4954007.7,20361142.75
1661296200.2926245,08/24/2022--09:10:00,6613870.15,9215216.05
1661352340.4753387,08/25/2022--00:45:40,5090483.4,11620268.15
1661381476.9667122,08/25/2022--08:51:16,4828654.7,10889356.55
1661468398.2601244,08/26/2022--08:59:58,6383070.65,8864495.15
1661526117.894191,08/27/2022--01:01:57,6739855.0,5866912.65
1661554881.5495105,08/27/2022--09:01:21,4652882.05,4825280.1
1661727756.8158545,08/29/2022--09:02:36,4552041.1,49991.35
1661756562.5978346,08/29/2022--17:02:42,6413493.8,425977.1
1661785309.2744918,08/30/2022--01:01:49,4151288.05,171499.8
1661814174.102714,08/30/2022--09:02:54,5041663.7,4915259.9
1661842454.955498,08/30/2022--16:54:14,6404082.65,260956.2
1661900684.184366,08/31/2022--09:04:44,6306938.1,5037207.1
1661958420.0029917,09/01/2022--01:07:00,5050543.1,9007490.95
1662015716.7539146,09/01/2022--17:01:56,3523733.2,299631.5
1662076772.6337636,09/02/2022--09:59:32,5842226.5,15826656.1
1662550903.6035295,09/07/2022--21:41:43,14538705.95,364171.05
1662551753.3573747,09/07/2022--21:55:53,8843979.95,298598.5
1662559985.5234134,09/08/2022--00:13:05,11766805.65,89685.25
1662588763.610914,09/08/2022--08:12:43,6717430.1,45294400.35
1662610812.5265677,09/08/2022--14:20:12,6508253.5,57956670.0
1662610963.4657726,09/08/2022--14:22:43,6562164.6,57976904.1
1662611794.007232,09/08/2022--14:36:34,6724737.9,57065841.45
1662611943.0167503,09/08/2022--14:39:03,6707640.2,57044895.9
1662621986.2405047,09/08/2022--17:26:26,6389123.75,56126235.35
1662622218.293981,09/08/2022--17:30:18,6417587.0,56133199.35
1662622778.1498172,09/08/2022--17:39:38,6342970.9,61223825.55
1662623809.4544508,09/08/2022--17:56:49,4615380.9,135703.85
1662624448.4393318,09/08/2022--18:07:28,5910216.0,19401221.55
1662627963.9267988,09/08/2022--19:06:03,5002635.85,102154.2
1662647099.1538022,09/09/2022--00:24:59,4392781.55,101701.65
1662648603.7050903,09/09/2022--00:50:03,4186275.9,103318.1
1662653232.5196137,09/09/2022--02:07:12,4048966.05,93447.95
1662653543.4232605,09/09/2022--02:12:23,2117578.55,26529370.8
