unixTime,dateTime,7,priceManip
1658812815.1912007,07/26/2022--15:20:15,110458.6,1173808.5
1658815736.5710416,07/26/2022--16:08:56,113530.8,1178929.5
1658844889.9973571,07/27/2022--00:14:49,685557.05,15076132.3
1658848005.9232907,07/27/2022--01:06:45,71846.1,767077.15
1658876959.8061535,07/27/2022--09:09:19,47267.0,489923.25
1658906431.1616275,07/27/2022--17:20:31,55028.15,563024.0
1658964011.7123463,07/28/2022--09:20:11,39428.45,451913.4
1658991790.2457771,07/28/2022--17:03:10,54376.3,624690.6
1659049859.7900746,07/29/2022--09:10:59,31217.8,244983.8
1659079050.0223944,07/29/2022--17:17:30,55412.6,1264279.9
1659135989.7470224,07/30/2022--09:06:29,1827424.6,67762343.45
1659164560.1930625,07/30/2022--17:02:40,18361.2,228685.1
1659193295.8534577,07/31/2022--01:01:35,31575.45,417621.2
1659223175.87765,07/31/2022--09:19:35,63375.15,809348.05
1659394922.9589896,08/02/2022--09:02:02,43384.4,500248.6
1659423710.70845,08/02/2022--17:01:50,36380.4,422395.0
1659452479.933005,08/03/2022--01:01:19,35393.5,436241.35
1659481254.5834172,08/03/2022--09:00:54,47005.8,612578.5
1659510483.5113194,08/03/2022--17:08:03,40609.45,520449.5
1659539025.8442419,08/04/2022--01:03:45,53294.15,662084.35
1659567977.65322,08/04/2022--09:06:17,54576.55,170133.25
1659596737.4315803,08/04/2022--17:05:37,23906.75,282261.35
1659625544.4629736,08/05/2022--01:05:44,16680.25,305705.45
1659654487.963708,08/05/2022--09:08:07,55006.1,557059.1
1659683098.9748487,08/05/2022--17:04:58,34276.8,386742.25
1659798058.491692,08/07/2022--01:00:58,34017.45,318457.2
1659826821.1099102,08/07/2022--09:00:21,45434.3,442772.8
1659886109.5671794,08/08/2022--01:28:29,37845.05,364733.45
1659915489.3146017,08/08/2022--09:38:09,55325.45,533301.9
1659942684.7980738,08/08/2022--17:11:24,41348.2,396115.4
1660030295.9264836,08/09/2022--17:31:35,6935887.7,53149495.4
1660172904.0226371,08/11/2022--09:08:24,23511.35,193800.25
1660202153.9173074,08/11/2022--17:15:53,32377.6,338149.5
1660260089.9444501,08/12/2022--09:21:29,47215.15,360631.05
1660288029.6810946,08/12/2022--17:07:09,42147.2,310721.75
1660316972.8768725,08/13/2022--01:09:32,97252.5,715885.1
1660347292.7260678,08/13/2022--09:34:52,42801.85,329043.0
1660374586.0104291,08/13/2022--17:09:46,36880.25,276933.6
1660434289.4885554,08/14/2022--09:44:49,35383.2,282729.8
1660462690.270382,08/14/2022--17:38:10,41527.05,332867.9
1660490144.9181502,08/15/2022--01:15:44,30240.95,151853.35
1660520035.3389182,08/15/2022--09:33:55,29410.6,228107.2
1660548110.1855645,08/15/2022--17:21:50,17092.05,116221.1
1660633733.4457946,08/16/2022--17:08:53,25189.05,162606.85
1660662258.480969,08/17/2022--01:04:18,46998.55,529435.95
1660692425.9171295,08/17/2022--09:27:05,36941.0,451064.25
1660720046.0474148,08/17/2022--17:07:26,38238.8,383161.4
1660748548.0576525,08/18/2022--01:02:28,72288.8,1245847.2
1660778179.3441532,08/18/2022--09:16:19,24367.5,271016.1
1660807681.1939256,08/18/2022--17:28:01,27101.8,312133.8
1660835293.140338,08/19/2022--01:08:13,18451.75,209251.3
1660864583.2861524,08/19/2022--09:16:23,20972.2,239233.75
1660892982.9673333,08/19/2022--17:09:42,97036.55,2075605.6
1660921520.297617,08/20/2022--01:05:20,13686.65,176535.8
1660950648.5543876,08/20/2022--09:10:48,22037.15,303041.3
1660979282.6113882,08/20/2022--17:08:02,17221.7,210708.45
1661036095.206883,08/21/2022--08:54:55,15360.95,205231.3
1661064380.1041234,08/21/2022--16:46:20,13856.1,182231.05
1661123013.330709,08/22/2022--09:03:33,16287.4,230197.9
1661208404.7366545,08/23/2022--08:46:44,24380.0,194038.9
1661237565.4076488,08/23/2022--16:52:45,20241.3,170023.55
1661296200.2926245,08/24/2022--09:10:00,17447.6,273381.65
1661352340.4753387,08/25/2022--00:45:40,20586.55,312766.65
1661381476.9667122,08/25/2022--08:51:16,28593.5,470844.45
1661468398.2601244,08/26/2022--08:59:58,33708.7,426523.6
1661526117.894191,08/27/2022--01:01:57,23698.35,285163.3
1661554881.5495105,08/27/2022--09:01:21,4384.9,171383.75
1661727756.8158545,08/29/2022--09:02:36,13257.6,187456.5
1661756562.5978346,08/29/2022--17:02:42,18600.15,239319.4
1661785309.2744918,08/30/2022--01:01:49,18931.75,263310.1
1661814174.102714,08/30/2022--09:02:54,15717.05,217187.2
1661842454.955498,08/30/2022--16:54:14,28657.85,405161.05
1661900684.184366,08/31/2022--09:04:44,30084.5,400608.95
1661958420.0029917,09/01/2022--01:07:00,12863.1,176297.6
1662015716.7539146,09/01/2022--17:01:56,18471.65,252538.6
1662076772.6337636,09/02/2022--09:59:32,15883.45,206701.7
