unixTime,dateTime,7,priceManip
1662139613.601873,09/03/2022--03:26:53,452825.65,486857.15
1662148667.154165,09/03/2022--05:57:47,304584.6,106933.75
1662148978.4758344,09/03/2022--06:02:58,280680.05,97438.1
1662149223.743534,09/03/2022--06:07:03,300521.55,102767.45
1662156045.6306205,09/03/2022--08:00:45,301434.65,109260.25
1662184846.5015855,09/03/2022--16:00:46,365648.6,97216.75
1662189150.5387588,09/03/2022--17:12:30,288796.2,84705.2
1662189335.3729067,09/03/2022--17:15:35,387678.4,102316.15
1662189432.620248,09/03/2022--17:17:12,347575.5,109432.35
1662189496.1168838,09/03/2022--17:18:16,357394.3,109452.35
1662189726.0293598,09/03/2022--17:22:06,365160.35,105838.4
1662190187.8536506,09/03/2022--17:29:47,315120.15,85896.0
1662192556.7635229,09/03/2022--18:09:16,341200.7,161.4
1662194149.252791,09/03/2022--18:35:49,425352.5,157.3
1662194231.008193,09/03/2022--18:37:11,327320.6,154.05
1662195060.3163054,09/03/2022--18:51:00,311779.1,280.25
1662195509.005806,09/03/2022--18:58:29,283112.9,283.55
1662195889.1521356,09/03/2022--19:04:49,372026.6,817.3
1662195932.8795824,09/03/2022--19:05:32,324809.1,282.25
1662195995.4459088,09/03/2022--19:06:35,327667.6,275.1
1662196119.6939344,09/03/2022--19:08:39,326728.6,283.85
1662197892.8916388,09/03/2022--19:38:12,326204.4,1094.25
1662198227.215408,09/03/2022--19:43:47,268363.1,1748.9
1662198374.5395179,09/03/2022--19:46:14,211326.1,1824.0
1662202672.043689,09/03/2022--20:57:52,230256.15,1595.95
1662202918.5309987,09/03/2022--21:01:58,241399.05,1562.8
1662203653.0187259,09/03/2022--21:14:13,413030.8,1685.7
1662203854.333217,09/03/2022--21:17:34,268258.8,1454.75
1662203886.146415,09/03/2022--21:18:06,256700.9,1561.65
1662204066.4096305,09/03/2022--21:21:06,305180.45,119163.55
1662204135.6033041,09/03/2022--21:22:15,246097.05,1498.6
1662204215.8063576,09/03/2022--21:23:35,377106.25,1757.0
1662204251.1070743,09/03/2022--21:24:11,329537.55,134004.65
1662204411.0077145,09/03/2022--21:26:51,322014.65,128821.45
1662204822.934957,09/03/2022--21:33:42,355162.25,152476.35
1662205717.8322904,09/03/2022--21:48:37,317948.5,123094.6
1662205845.2876964,09/03/2022--21:50:45,300436.5,102308.3
1662205979.2698529,09/03/2022--21:52:59,292540.0,106845.65
