unixTime,dateTime,7,priceManip
1657780153.493894,07/14/2022--16:29:13,151346.15,52417.85
1657807946.3195548,07/15/2022--00:12:26,153324.75,78733.2
1657865324.281464,07/15/2022--16:08:44,152717.1,67281.5
1657894118.107123,07/16/2022--00:08:38,108791.15,62153.55
1658812815.1912007,07/26/2022--15:20:15,266443.95,102335.25
1658815736.5710416,07/26/2022--16:08:56,280378.7,108108.3
1658844889.9973571,07/27/2022--00:14:49,294847.4,108046.4
1658848005.9232907,07/27/2022--01:06:45,325428.6,129630.6
1658876959.8061535,07/27/2022--09:09:19,340995.45,131431.0
1658906431.1616275,07/27/2022--17:20:31,329124.2,102060.9
1658964011.7123463,07/28/2022--09:20:11,288647.3,125684.75
1658991790.2457771,07/28/2022--17:03:10,325458.55,132214.3
1659049859.7900746,07/29/2022--09:10:59,487589.6,253043.75
1659079050.0223944,07/29/2022--17:17:30,423148.9,165404.6
1659135989.7470224,07/30/2022--09:06:29,531626.9,311643.4
1659164560.1930625,07/30/2022--17:02:40,452005.05,379116.9
1659193295.8534577,07/31/2022--01:01:35,362573.75,292024.1
1659223175.87765,07/31/2022--09:19:35,438276.2,248845.8
1659394922.9589896,08/02/2022--09:02:02,435966.2,248539.05
1659423710.70845,08/02/2022--17:01:50,433328.1,209575.55
1659452479.933005,08/03/2022--01:01:19,351598.1,265754.2
1659481254.5834172,08/03/2022--09:00:54,484939.0,272263.6
1659510483.5113194,08/03/2022--17:08:03,379638.3,272865.5
1659539025.8442419,08/04/2022--01:03:45,389716.5,299973.85
1659567977.65322,08/04/2022--09:06:17,435405.5,225875.25
1659596737.4315803,08/04/2022--17:05:37,488450.55,199472.95
1659625544.4629736,08/05/2022--01:05:44,494675.15,249427.6
1659654487.963708,08/05/2022--09:08:07,556253.05,306954.0
1659683098.9748487,08/05/2022--17:04:58,457646.95,278341.5
1659798058.491692,08/07/2022--01:00:58,400711.35,286481.1
1659826821.1099102,08/07/2022--09:00:21,400269.15,239346.45
1659886109.5671794,08/08/2022--01:28:29,422052.2,233507.9
1659915489.3146017,08/08/2022--09:38:09,462952.85,291982.25
1659942684.7980738,08/08/2022--17:11:24,493374.5,284863.2
1659971568.7314563,08/09/2022--01:12:48,421353.8,323701.4
1660030295.9264836,08/09/2022--17:31:35,399742.0,276063.75
1660172904.0226371,08/11/2022--09:08:24,460441.75,343960.65
1660202153.9173074,08/11/2022--17:15:53,373922.6,359736.5
1660260089.9444501,08/12/2022--09:21:29,476177.0,272619.95
1660288029.6810946,08/12/2022--17:07:09,432464.85,355764.15
1660316972.8768725,08/13/2022--01:09:32,329404.7,288737.7
1660347292.7260678,08/13/2022--09:34:52,374126.1,372955.55
1660374586.0104291,08/13/2022--17:09:46,462102.0,350941.65
1660434289.4885554,08/14/2022--09:44:49,402375.2,355167.95
1660462690.270382,08/14/2022--17:38:10,435230.6,434090.95
1660490144.9181502,08/15/2022--01:15:44,480388.05,323792.65
1660520035.3389182,08/15/2022--09:33:55,346593.65,337031.1
1660548110.1855645,08/15/2022--17:21:50,462558.3,365991.2
1660633733.4457946,08/16/2022--17:08:53,394353.5,286410.15
1660662258.480969,08/17/2022--01:04:18,473151.3,373544.05
1660692425.9171295,08/17/2022--09:27:05,431442.5,275127.2
1660720046.0474148,08/17/2022--17:07:26,507579.45,456515.6
1660748548.0576525,08/18/2022--01:02:28,481482.0,257895.1
1660778179.3441532,08/18/2022--09:16:19,441880.65,267006.0
1660807681.1939256,08/18/2022--17:28:01,514482.85,321995.95
1660835293.140338,08/19/2022--01:08:13,435135.6,332426.7
1660864583.2861524,08/19/2022--09:16:23,383498.05,167215.85
1660892982.9673333,08/19/2022--17:09:42,529559.7,264534.85
1660921520.297617,08/20/2022--01:05:20,415465.8,249535.2
1660950648.5543876,08/20/2022--09:10:48,544841.4,247322.1
1660979282.6113882,08/20/2022--17:08:02,482184.2,296008.8
1661036095.206883,08/21/2022--08:54:55,620828.85,269248.75
1661064380.1041234,08/21/2022--16:46:20,520921.3,255085.75
1661123013.330709,08/22/2022--09:03:33,383544.95,277762.4
1661208404.7366545,08/23/2022--08:46:44,546589.75,306528.6
1661237565.4076488,08/23/2022--16:52:45,492623.85,178431.25
1661266871.3852978,08/24/2022--01:01:11,373861.2,238753.3
1661296200.2926245,08/24/2022--09:10:00,13565.25,1996.65
1661352340.4753387,08/25/2022--00:45:40,475263.6,293601.05
1661381476.9667122,08/25/2022--08:51:16,235310.55,84076.05
1661468398.2601244,08/26/2022--08:59:58,578533.55,271185.55
1661526117.894191,08/27/2022--01:01:57,796595.0,385632.6
1661554881.5495105,08/27/2022--09:01:21,545363.25,386475.7
1661727756.8158545,08/29/2022--09:02:36,974459.85,106704.55
1661756562.5978346,08/29/2022--17:02:42,877180.85,127540.15
1661785309.2744918,08/30/2022--01:01:49,553163.3,138695.2
1661814174.102714,08/30/2022--09:02:54,471788.55,163618.0
1661842454.955498,08/30/2022--16:54:14,467437.15,300047.2
1661900684.184366,08/31/2022--09:04:44,442111.85,54377.85
1661958420.0029917,09/01/2022--01:07:00,642457.1,101778.85
1662015716.7539146,09/01/2022--17:01:56,491404.5,89687.7
1662076772.6337636,09/02/2022--09:59:32,454750.05,78838.8
