unixTime,dateTime,7,priceManip
1662138582.51673,09/03/2022--03:09:42,298107.55,4299994.2
1662139531.6029572,09/03/2022--03:25:31,280382.5,4217027.3
1662139613.601873,09/03/2022--03:26:53,296967.85,4275652.95
1662148667.154165,09/03/2022--05:57:47,211336.05,141127.55
1662148978.4758344,09/03/2022--06:02:58,338669.35,4838133.5
1662149223.743534,09/03/2022--06:07:03,332767.95,4807312.1
1662156045.6306205,09/03/2022--08:00:45,201859.25,138909.25
1662184846.5015855,09/03/2022--16:00:46,312564.45,4276225.85
1662189150.5387588,09/03/2022--17:12:30,215573.15,153702.8
1662189335.3729067,09/03/2022--17:15:35,215565.45,152755.75
1662189432.620248,09/03/2022--17:17:12,215855.25,153724.1
1662189496.1168838,09/03/2022--17:18:16,216313.25,154453.45
1662189726.0293598,09/03/2022--17:22:06,211417.6,153830.2
1662190187.8536506,09/03/2022--17:29:47,210869.9,152078.5
1662192556.7635229,09/03/2022--18:09:16,230746.9,3103.25
1662194149.252791,09/03/2022--18:35:49,366994.2,4990805.4
1662194231.008193,09/03/2022--18:37:11,366227.05,4994829.9
1662195060.3163054,09/03/2022--18:51:00,312243.95,4778879.85
1662195509.005806,09/03/2022--18:58:29,329259.8,4733767.95
1662195889.1521356,09/03/2022--19:04:49,289082.2,4708365.2
1662204411.0077145,09/03/2022--21:26:51,339594.4,3845217.4
1662204822.934957,09/03/2022--21:33:42,215874.5,101923.1
1662205717.8322904,09/03/2022--21:48:37,345663.95,3364403.65
1662205845.2876964,09/03/2022--21:50:45,337471.85,3361957.35
1662205979.2698529,09/03/2022--21:52:59,330875.95,3356198.8
